# X mu std 2std fstd 2fstd noisestd 2noisestd attrib
-3.000000000000000000e+00 1.143543844694041134e+00 1.155012631897178954e+00 2.310025263794357908e+00 1.261780313098545027e-03 2.523560626197090054e-03 1.153750851584080417e+00 2.307501703168160834e+00 1.815677553359488217e-01
-2.993993993993993907e+00 1.143543867228180799e+00 1.155009979955536226e+00 2.310019959911072451e+00 1.259128371455807936e-03 2.518256742911615872e-03 1.153750851584080417e+00 2.307501703168160834e+00 1.815692697614274820e-01
-2.987987987987987815e+00 1.143543889762320021e+00 1.155007328013893497e+00 2.310014656027786994e+00 1.256476429813070846e-03 2.512952859626141691e-03 1.153750851584080417e+00 2.307501703168160834e+00 1.815872901878807510e-01
-2.981981981981982166e+00 1.143543912296459464e+00 1.155004676072250769e+00 2.310009352144501538e+00 1.253824488170334405e-03 2.507648976340668811e-03 1.153750851584080417e+00 2.307501703168160834e+00 1.816007202203146764e-01
-2.975975975975976073e+00 1.143543934830598463e+00 1.155002024130608040e+00 2.310004048261216081e+00 1.251172546527597315e-03 2.502345093055194630e-03 1.153750851584080417e+00 2.307501703168160834e+00 1.815544803387025841e-01
-2.969969969969969981e+00 1.143543957364737906e+00 1.154999372188965312e+00 2.309998744377930624e+00 1.248520604884860224e-03 2.497041209769720448e-03 1.153750851584080417e+00 2.307501703168160834e+00 1.815281630665766810e-01
-2.963963963963963888e+00 1.143543979898877350e+00 1.154996720247322584e+00 2.309993440494645167e+00 1.245868663242123350e-03 2.491737326484246701e-03 1.153750851584080417e+00 2.307501703168160834e+00 1.816087154722849373e-01
-2.957957957957957795e+00 1.143544002433016349e+00 1.154994068305679855e+00 2.309988136611359710e+00 1.243216721599385392e-03 2.486433443198770785e-03 1.153750851584080417e+00 2.307501703168160834e+00 1.815279758221759465e-01
-2.951951951951952147e+00 1.143544024967155792e+00 1.154991416364037127e+00 2.309982832728074253e+00 1.240564779956648952e-03 2.481129559913297904e-03 1.153750851584080417e+00 2.307501703168160834e+00 1.815349136945010600e-01
-2.945945945945946054e+00 1.143544047501295235e+00 1.154988764422394398e+00 2.309977528844788797e+00 1.237912838313911862e-03 2.475825676627823723e-03 1.153750851584080417e+00 2.307501703168160834e+00 1.815677158343811937e-01
-2.939939939939939961e+00 1.143544070035434679e+00 1.154986112480751670e+00 2.309972224961503340e+00 1.235260896671174771e-03 2.470521793342349542e-03 1.153750851584080417e+00 2.307501703168160834e+00 1.815887819540689396e-01
-2.933933933933933869e+00 1.143544092569573678e+00 1.154983460539108941e+00 2.309966921078217883e+00 1.232608955028437680e-03 2.465217910056875360e-03 1.153750851584080417e+00 2.307501703168160834e+00 1.815915676451924643e-01
-2.927927927927927776e+00 1.143544115103713121e+00 1.154980808597466213e+00 2.309961617194932426e+00 1.229957013385700590e-03 2.459914026771401179e-03 1.153750851584080417e+00 2.307501703168160834e+00 1.815689951097451682e-01
-2.921921921921922127e+00 1.143544137637852565e+00 1.154978156655823485e+00 2.309956313311646969e+00 1.227305071742963499e-03 2.454610143485926998e-03 1.153750851584080417e+00 2.307501703168160834e+00 1.815608630697650994e-01
