# X mode_0 mode_1
-3.000000000000000000e+00 5.000162090105787493e-01 4.999837909894211951e-01
-2.993993993993993907e+00 5.000275862737926236e-01 4.999724137262073764e-01
-2.987987987987987815e+00 4.999597161380112120e-01 5.000402838619887325e-01
-2.981981981981982166e+00 4.999845216406587078e-01 5.000154783593412366e-01
-2.975975975975976073e+00 5.000044839518980044e-01 4.999955160481019956e-01
-2.969969969969969981e+00 5.000185701022556994e-01 4.999814298977443006e-01
-2.963963963963963888e+00 5.000117446914941199e-01 4.999882553085058801e-01
-2.957957957957957795e+00 4.999818325794602725e-01 5.000181674205397275e-01
-2.951951951951952147e+00 5.000447146941245924e-01 4.999552853058752966e-01
-2.945945945945946054e+00 5.000194719041337610e-01 4.999805280958661835e-01
-2.939939939939939961e+00 4.999925310777945109e-01 5.000074689222054891e-01
-2.933933933933933869e+00 5.000049972316519264e-01 4.999950027683480180e-01
-2.927927927927927776e+00 4.999959128404621311e-01 5.000040871595378134e-01
-2.921921921921922127e+00 4.999967558160753334e-01 5.000032441839246111e-01
-2.915915915915916035e+00 5.000433299282329713e-01 4.999566700717669732e-01
-2.909909909909909942e+00 4.999653780950458204e-01 5.000346219049541796e-01
-2.903903903903903849e+00 5.000490848705397839e-01 4.999509151294603271e-01
-2.897897897897897757e+00 4.999518367975700484e-01 5.000481632024299516e-01
-2.891891891891892108e+00 4.999779180437649573e-01 5.000220819562350982e-01
-2.885885885885886015e+00 5.000716909718576630e-01 4.999283090281423925e-01
-2.879879879879879923e+00 4.999626868279462566e-01 5.000373131720537989e-01
-2.873873873873873830e+00 4.999652316798295915e-01 5.000347683201703530e-01
-2.867867867867867737e+00 5.000898259845431015e-01 4.999101740154569540e-01
-2.861861861861862089e+00 5.000362051349943604e-01 4.999637948650056396e-01
-2.855855855855855996e+00 4.999679495318832267e-01 5.000320504681168288e-01
-2.849849849849849903e+00 5.000472668223755468e-01 4.999527331776245087e-01
-2.843843843843843811e+00 5.000057304034967176e-01 4.999942695965032269e-01
-2.837837837837837718e+00 5.000146568284519200e-01 4.999853431715480245e-01
-2.831831831831832069e+00 4.999851026685782074e-01 5.000148973314217926e-01
-2.825825825825825977e+00 5.000209404981297290e-01 4.999790595018702155e-01
-2.819819819819819884e+00 4.999988021546515338e-01 5.000011978453484662e-01
-2.813813813813813791e+00 4.999898924905272213e-01 5.000101075094728342e-01
-2.807807807807807698e+00 5.000065482241540238e-01 4.999934517758459762e-01
-2.801801801801801606e+00 5.000231859222965536e-01 4.999768140777033909e-01
-2.795795795795795957e+00 5.000306219517580697e-01 4.999693780482419303e-01
-2.789789789789789864e+00 5.000087519701603700e-01 4.999912480298396300e-01
-2.783783783783783772e+00 4.999482390177684143e-01 5.000517609822315857e-01
-2.777777777777777679e+00 5.000067965080178256e-01 4.999932034919822299e-01
-2.771771771771771586e+00 5.000586071261122756e-01 4.999413928738877799e-01
-2.765765765765765938e+00 5.000288856040682184e-01 4.999711143959318371e-01
-2.759759759759759845e+00 5.000379201493659886e-01 4.999620798506340669e-01
-2.753753753753753752e+00 4.999678555780109335e-01 5.000321444219889555e-01
-2.747747747747747660e+00 5.000367226214346150e-01 4.999632773785654960e-01
-2.741741741741741567e+00 5.000055393123638003e-01 4.999944606876361441e-01
-2.735735735735735918e+00 5.000107365209645049e-01 4.999892634790354951e-01
-2.729729729729729826e+00 4.999536751182499517e-01 5.000463248817500483e-01
-2.723723723723723733e+00 5.000642990062332816e-01 4.999357009937666629e-01
-2.717717717717717640e+00 5.000101587330347819e-01 4.999898412669653291e-01
-2.711711711711711548e+00 5.000851240730367353e-01 4.999148759269632647e-01
-2.705705705705705899e+00 5.000590777094084949e-01 4.999409222905914496e-01
-2.699699699699699806e+00 5.000162822413953823e-01 4.999837177586047288e-01
-2.693693693693693714e+00 5.000109248188198130e-01 4.999890751811802425e-01
-2.687687687687687621e+00 4.999885536881909509e-01 5.000114463118090491e-01
-2.681681681681681528e+00 5.000069731661049843e-01 4.999930268338951267e-01
-2.675675675675675436e+00 5.000883626958387840e-01 4.999116373041611605e-01
-2.669669669669669787e+00 5.000494077182059405e-01 4.999505922817940595e-01
-2.663663663663663694e+00 4.999829941178574044e-01 5.000170058821424846e-01
-2.657657657657657602e+00 4.999174593331442429e-01 5.000825406668557571e-01
-2.651651651651651509e+00 5.000587096118441766e-01 4.999412903881557124e-01
-2.645645645645645416e+00 5.000118343015860223e-01 4.999881656984139777e-01
-2.639639639639639768e+00 5.000440065418290114e-01 4.999559934581710996e-01
-2.633633633633633675e+00 5.000159605765460702e-01 4.999840394234538188e-01
-2.627627627627627582e+00 5.000458281400621541e-01 4.999541718599378459e-01
-2.621621621621621490e+00 4.999986766886900802e-01 5.000013233113098643e-01
-2.615615615615615397e+00 5.000106196019785676e-01 4.999893803980214324e-01
-2.609609609609609748e+00 5.000169418094461138e-01 4.999830581905538307e-01
-2.603603603603603656e+00 4.999985833085914821e-01 5.000014166914085179e-01
-2.597597597597597563e+00 5.000675427268117534e-01 4.999324572731883021e-01
-2.591591591591591470e+00 5.000151472661861218e-01 4.999848527338138782e-01
-2.585585585585585378e+00 4.999916217501529925e-01 5.000083782498470075e-01
-2.579579579579579729e+00 4.999741017898494677e-01 5.000258982101505323e-01
-2.573573573573573636e+00 4.999710224703171058e-01 5.000289775296828942e-01
-2.567567567567567544e+00 5.000738252011833751e-01 4.999261747988166249e-01
-2.561561561561561451e+00 5.000635726414557336e-01 4.999364273585442109e-01
-2.555555555555555358e+00 4.999555622708011238e-01 5.000444377291989317e-01
-2.549549549549549710e+00 4.999750195867608826e-01 5.000249804132391729e-01
-2.543543543543543617e+00 5.000046093554497695e-01 4.999953906445501750e-01
-2.537537537537537524e+00 5.000101335635304123e-01 4.999898664364695322e-01
-2.531531531531531432e+00 5.000085746668347930e-01 4.999914253331652070e-01
-2.525525525525525339e+00 5.000375741778411154e-01 4.999624258221589401e-01
-2.519519519519519690e+00 5.000055772941438548e-01 4.999944227058560342e-01
-2.513513513513513598e+00 5.000232224248104540e-01 4.999767775751896015e-01
-2.507507507507507505e+00 4.999550859459085950e-01 5.000449140540913495e-01
-2.501501501501501412e+00 5.000916168274919249e-01 4.999083831725080751e-01
-2.495495495495495319e+00 5.000101800706590049e-01 4.999898199293409395e-01
-2.489489489489489671e+00 4.999922510643901030e-01 5.000077489356098415e-01
-2.483483483483483578e+00 5.000312446115230403e-01 4.999687553884770153e-01
-2.477477477477477485e+00 5.000212793485752094e-01 4.999787206514248461e-01
-2.471471471471471393e+00 5.000039069591865060e-01 4.999960930408136051e-01
-2.465465465465465300e+00 5.000003568950658339e-01 4.999996431049342216e-01
-2.459459459459459651e+00 4.999969241255814434e-01 5.000030758744186121e-01
-2.453453453453453559e+00 5.000333173455732139e-01 4.999666826544267306e-01
-2.447447447447447466e+00 5.000647002235926175e-01 4.999352997764074380e-01
-2.441441441441441373e+00 5.000096395332714883e-01 4.999903604667285117e-01
-2.435435435435435281e+00 4.999903914096497370e-01 5.000096085903502630e-01
-2.429429429429429632e+00 5.000432139099284523e-01 4.999567860900715477e-01
-2.423423423423423539e+00 4.999958550194441576e-01 5.000041449805557869e-01
-2.417417417417417447e+00 4.998991171425152258e-01 5.001008828574846632e-01
-2.411411411411411354e+00 4.999727145624975888e-01 5.000272854375025222e-01
-2.405405405405405261e+00 4.999802020864628771e-01 5.000197979135371229e-01
-2.399399399399399613e+00 5.000428350970016478e-01 4.999571649029984077e-01
-2.393393393393393520e+00 4.999964847986472782e-01 5.000035152013527773e-01
-2.387387387387387427e+00 5.000229112040018853e-01 4.999770887959981702e-01
-2.381381381381381335e+00 5.000253259035610798e-01 4.999746740964388647e-01
-2.375375375375375242e+00 4.999510196565311593e-01 5.000489803434688962e-01
-2.369369369369369593e+00 5.000248969896149420e-01 4.999751030103850580e-01
-2.363363363363363501e+00 5.000414309697441828e-01 4.999585690302558172e-01
-2.357357357357357408e+00 5.000510417584058676e-01 4.999489582415941880e-01
-2.351351351351351315e+00 4.999960669813865999e-01 5.000039330186133446e-01
-2.345345345345345223e+00 4.999827685911479858e-01 5.000172314088520142e-01
-2.339339339339339574e+00 5.000350986637581707e-01 4.999649013362418293e-01
-2.333333333333333481e+00 5.000241471925868098e-01 4.999758528074131902e-01
-2.327327327327327389e+00 5.000563791264739377e-01 4.999436208735261733e-01
-2.321321321321321296e+00 5.000210544996315232e-01 4.999789455003684768e-01
-2.315315315315315203e+00 5.000181861445136544e-01 4.999818138554864011e-01
-2.309309309309309555e+00 5.000264063124729708e-01 4.999735936875270292e-01
-2.303303303303303462e+00 5.000084070584288609e-01 4.999915929415712501e-01
-2.297297297297297369e+00 5.000568878086989466e-01 4.999431121913010534e-01
-2.291291291291291277e+00 5.000235419369755130e-01 4.999764580630244315e-01
-2.285285285285285184e+00 5.000075674639331558e-01 4.999924325360668997e-01
-2.279279279279279535e+00 4.999691340849337640e-01 5.000308659150661805e-01
-2.273273273273273443e+00 5.000114300953103497e-01 4.999885699046897614e-01
-2.267267267267267350e+00 4.999409976849385484e-01 5.000590023150613961e-01
-2.261261261261261257e+00 5.000524183638392905e-01 4.999475816361607650e-01
-2.255255255255255165e+00 5.000088297141913607e-01 4.999911702858086948e-01
-2.249249249249249516e+00 5.000589872552163584e-01 4.999410127447837526e-01
-2.243243243243242979e+00 4.999711631538769629e-01 5.000288368461229815e-01
-2.237237237237237331e+00 4.999848066462879714e-01 5.000151933537119175e-01
-2.231231231231231238e+00 4.999939539103701036e-01 5.000060460896298409e-01
-2.225225225225225145e+00 5.000134273835468157e-01 4.999865726164531843e-01
-2.219219219219219497e+00 5.000466795736315806e-01 4.999533204263684194e-01
-2.213213213213212960e+00 5.000602951599156798e-01 4.999397048400843757e-01
-2.207207207207207311e+00 4.999919511694697616e-01 5.000080488305302939e-01
-2.201201201201201219e+00 5.000480006769502106e-01 4.999519993230498449e-01
-2.195195195195195126e+00 5.000526581622107836e-01 4.999473418377892719e-01
-2.189189189189189033e+00 4.999758367801143133e-01 5.000241632198856312e-01
-2.183183183183182940e+00 5.000272447078283333e-01 4.999727552921716112e-01
-2.177177177177177292e+00 4.999843265082113408e-01 5.000156734917886592e-01
-2.171171171171171199e+00 4.999274957578794809e-01 5.000725042421204636e-01
-2.165165165165165106e+00 5.000037790131153237e-01 4.999962209868847873e-01
-2.159159159159159014e+00 4.999816664150384948e-01 5.000183335849615052e-01
-2.153153153153152921e+00 5.000026553479862690e-01 4.999973446520138420e-01
-2.147147147147147273e+00 5.000071293029377806e-01 4.999928706970622194e-01
-2.141141141141141180e+00 5.000652566757407547e-01 4.999347433242592453e-01
-2.135135135135135087e+00 5.000689066965839924e-01 4.999310933034160631e-01
-2.129129129129128994e+00 5.000412037653602093e-01 4.999587962346397907e-01
-2.123123123123122902e+00 5.000325699424943426e-01 4.999674300575057129e-01
-2.117117117117117253e+00 5.000024906150205561e-01 4.999975093849795549e-01
-2.111111111111111160e+00 4.999664721832437486e-01 5.000335278167562514e-01
-2.105105105105105068e+00 5.000077084441786335e-01 4.999922915558214220e-01
-2.099099099099098975e+00 5.000154346251981519e-01 4.999845653748017371e-01
-2.093093093093092882e+00 5.000085012521451322e-01 4.999914987478549233e-01
-2.087087087087087234e+00 4.999627678457786994e-01 5.000372321542213561e-01
-2.081081081081081141e+00 5.000022121674250197e-01 4.999977878325749803e-01
-2.075075075075075048e+00 4.999996161538229900e-01 5.000003838461770655e-01
-2.069069069069068956e+00 5.000278570751045537e-01 4.999721429248955018e-01
-2.063063063063062863e+00 4.999930794814486101e-01 5.000069205185513344e-01
-2.057057057057057214e+00 4.999767553011561505e-01 5.000232446988438495e-01
-2.051051051051051122e+00 5.000225388297565576e-01 4.999774611702434979e-01
-2.045045045045045029e+00 4.999447020510194295e-01 5.000552979489806260e-01
-2.039039039039038936e+00 4.999904240228260632e-01 5.000095759771738813e-01
-2.033033033033032844e+00 4.999644366870739653e-01 5.000355633129259791e-01
-2.027027027027027195e+00 5.000246741936118511e-01 4.999753258063882044e-01
-2.021021021021021102e+00 5.000327775130322117e-01 4.999672224869678439e-01
-2.015015015015015010e+00 4.999586661531115750e-01 5.000413338468884250e-01
-2.009009009009008917e+00 5.000180979070053544e-01 4.999819020929947566e-01
-2.003003003003002824e+00 5.000077421972970448e-01 4.999922578027028996e-01
-1.996996996996996954e+00 4.999470467106831295e-01 5.000529532893168705e-01
-1.990990990990991083e+00 5.000359844106891938e-01 4.999640155893107507e-01
-1.984984984984984990e+00 4.999628295367521402e-01 5.000371704632479153e-01
-1.978978978978978898e+00 4.999938934961518089e-01 5.000061065038482466e-01
-1.972972972972973027e+00 5.000301755981445551e-01 4.999698244018553894e-01
-1.966966966966966934e+00 5.000242099974320231e-01 4.999757900025679769e-01
-1.960960960960961064e+00 4.999861949069806522e-01 5.000138050930194034e-01
-1.954954954954954971e+00 5.000220531696364379e-01 4.999779468303635621e-01
-1.948948948948948878e+00 5.000491712280236145e-01 4.999508287719763855e-01
-1.942942942942943008e+00 5.000250957943719321e-01 4.999749042056280124e-01
-1.936936936936936915e+00 5.000410108729362868e-01 4.999589891270636022e-01
-1.930930930930931044e+00 5.000285936326319680e-01 4.999714063673680875e-01
-1.924924924924924952e+00 5.000156330129030824e-01 4.999843669870968621e-01
-1.918918918918918859e+00 5.000135877322489097e-01 4.999864122677510347e-01
-1.912912912912912988e+00 5.000780648807333639e-01 4.999219351192666361e-01
-1.906906906906906896e+00 5.000338874016184709e-01 4.999661125983814736e-01
-1.900900900900900803e+00 4.999790756777982570e-01 5.000209243222017985e-01
-1.894894894894894932e+00 4.999029807599342234e-01 5.000970192400657766e-01
-1.888888888888888840e+00 4.999694381894199124e-01 5.000305618105800320e-01
-1.882882882882882969e+00 5.000213125458901064e-01 4.999786874541098936e-01
-1.876876876876876876e+00 5.000255522655295826e-01 4.999744477344703619e-01
-1.870870870870870784e+00 4.999900319436024754e-01 5.000099680563975246e-01
-1.864864864864864913e+00 5.000300794569795260e-01 4.999699205430204740e-01
-1.858858858858858820e+00 4.999758309387906108e-01 5.000241690612093892e-01
-1.852852852852852950e+00 4.999538618297069692e-01 5.000461381702930863e-01
-1.846846846846846857e+00 4.999483564376389078e-01 5.000516435623610922e-01
-1.840840840840840764e+00 4.999102179454488204e-01 5.000897820545512351e-01
-1.834834834834834894e+00 5.000199245874117349e-01 4.999800754125882651e-01
-1.828828828828828801e+00 4.999900211180923204e-01 5.000099788819075686e-01
-1.822822822822822930e+00 5.000152371412645014e-01 4.999847628587354431e-01
-1.816816816816816837e+00 5.000385683453294483e-01 4.999614316546704962e-01
-1.810810810810810745e+00 4.999792527205225157e-01 5.000207472794774288e-01
-1.804804804804804874e+00 5.000354744752933955e-01 4.999645255247064934e-01
-1.798798798798798781e+00 4.999730212715350341e-01 5.000269787284649103e-01
-1.792792792792792911e+00 5.000396321216141748e-01 4.999603678783857141e-01
-1.786786786786786818e+00 5.000350696055688715e-01 4.999649303944311840e-01
-1.780780780780780725e+00 4.999634799563844045e-01 5.000365200436155400e-01
-1.774774774774774855e+00 5.000514352462637202e-01 4.999485647537362243e-01
-1.768768768768768762e+00 4.999856194888985805e-01 5.000143805111013640e-01
-1.762762762762762669e+00 4.999979525560284133e-01 5.000020474439716978e-01
-1.756756756756756799e+00 4.999744258414891562e-01 5.000255741585108993e-01
-1.750750750750750706e+00 5.000963233060267132e-01 4.999036766939733423e-01
-1.744744744744744835e+00 5.000112542547531236e-01 4.999887457452468764e-01
-1.738738738738738743e+00 5.000012615321540732e-01 4.999987384678458713e-01
-1.732732732732732650e+00 5.000548853832242902e-01 4.999451146167756543e-01
-1.726726726726726779e+00 4.999722796081521037e-01 5.000277203918479518e-01
-1.720720720720720687e+00 4.999606013424468531e-01 5.000393986575530914e-01
-1.714714714714714816e+00 4.999228253187045223e-01 5.000771746812954222e-01
-1.708708708708708723e+00 5.000432020144357503e-01 4.999567979855643052e-01
-1.702702702702702631e+00 5.000040890415331507e-01 4.999959109584667938e-01
-1.696696696696696760e+00 5.000088020816934042e-01 4.999911979183067068e-01
-1.690690690690690667e+00 5.000088953499811639e-01 4.999911046500188361e-01
-1.684684684684684797e+00 4.999582268141983254e-01 5.000417731858015635e-01
-1.678678678678678704e+00 5.000276833999064419e-01 4.999723166000935581e-01
-1.672672672672672611e+00 5.000336806126666200e-01 4.999663193873334355e-01
-1.666666666666666741e+00 5.000092619538732963e-01 4.999907380461267037e-01
-1.660660660660660648e+00 4.999828276894892620e-01 5.000171723105107935e-01
-1.654654654654654777e+00 4.999659884837673318e-01 5.000340115162327237e-01
-1.648648648648648685e+00 5.000398126163605461e-01 4.999601873836393429e-01
-1.642642642642642592e+00 5.000061912901613281e-01 4.999938087098387274e-01
-1.636636636636636721e+00 5.000492794521701478e-01 4.999507205478298522e-01
-1.630630630630630629e+00 4.999706289254012281e-01 5.000293710745987719e-01
-1.624624624624624536e+00 5.000273211413893693e-01 4.999726788586106307e-01
-1.618618618618618665e+00 4.999428942851610325e-01 5.000571057148390786e-01
-1.612612612612612573e+00 4.999936191292304044e-01 5.000063808707696511e-01
-1.606606606606606702e+00 5.000171798472888840e-01 4.999828201527111160e-01
-1.600600600600600609e+00 4.999565713172300363e-01 5.000434286827698527e-01
-1.594594594594594517e+00 5.000631154124739464e-01 4.999368845875261091e-01
-1.588588588588588646e+00 5.000522844477498507e-01 4.999477155522501493e-01
-1.582582582582582553e+00 5.000046374958850848e-01 4.999953625041150262e-01
-1.576576576576576683e+00 5.000149842073119411e-01 4.999850157926881145e-01
-1.570570570570570590e+00 5.000667929173061577e-01 4.999332070826937868e-01
-1.564564564564564497e+00 5.000491144832592827e-01 4.999508855167406618e-01
-1.558558558558558627e+00 5.000368541834652181e-01 4.999631458165347819e-01
-1.552552552552552534e+00 4.999973433938133538e-01 5.000026566061865907e-01
-1.546546546546546663e+00 4.999892763152855024e-01 5.000107236847145531e-01
-1.540540540540540571e+00 4.999790365323431018e-01 5.000209634676567871e-01
-1.534534534534534478e+00 4.999541841210892179e-01 5.000458158789107266e-01
-1.528528528528528607e+00 5.000201619514479390e-01 4.999798380485520610e-01
