# X mode_0 mode_1
-3.000000000000000000e+00 7.096907354192686368e-01 2.903092645807313632e-01
-2.993993993993993907e+00 7.096755520620328106e-01 2.903244479379671894e-01
-2.987987987987987815e+00 7.096990513108538678e-01 2.903009486891461322e-01
-2.981981981981982166e+00 7.096919513997488327e-01 2.903080486002511673e-01
-2.975975975975976073e+00 7.097281832619523056e-01 2.902718167380477499e-01
-2.969969969969969981e+00 7.096603762838178397e-01 2.903396237161822158e-01
-2.963963963963963888e+00 7.096734911561580761e-01 2.903265088438419794e-01
-2.957957957957957795e+00 7.097128445640733529e-01 2.902871554359266471e-01
-2.951951951951952147e+00 7.096639484459461578e-01 2.903360515540538977e-01
-2.945945945945946054e+00 7.096694736172742823e-01 2.903305263827257177e-01
-2.939939939939939961e+00 7.096910208977382784e-01 2.903089791022616661e-01
-2.933933933933933869e+00 7.096552382135514758e-01 2.903447617864485242e-01
-2.927927927927927776e+00 7.096908769357371805e-01 2.903091230642628195e-01
-2.921921921921922127e+00 7.096245374183015597e-01 2.903754625816985513e-01
-2.915915915915916035e+00 7.096552484690116236e-01 2.903447515309883764e-01
-2.909909909909909942e+00 7.096857455045596508e-01 2.903142544954403492e-01
-2.903903903903903849e+00 7.097330747617491831e-01 2.902669252382507614e-01
-2.897897897897897757e+00 7.096945179971807516e-01 2.903054820028193594e-01
-2.891891891891892108e+00 7.096583597506597174e-01 2.903416402493402271e-01
-2.885885885885886015e+00 7.096455176277106647e-01 2.903544823722893353e-01
-2.879879879879879923e+00 7.096436283418010582e-01 2.903563716581988308e-01
-2.873873873873873830e+00 7.096850686193371116e-01 2.903149313806629439e-01
-2.867867867867867737e+00 7.096725660426117521e-01 2.903274339573882479e-01
-2.861861861861862089e+00 7.096978542014104052e-01 2.903021457985896503e-01
-2.855855855855855996e+00 7.096687464669687584e-01 2.903312535330312416e-01
-2.849849849849849903e+00 7.096773645012308673e-01 2.903226354987690772e-01
-2.843843843843843811e+00 7.096804375719795166e-01 2.903195624280204834e-01
-2.837837837837837718e+00 7.096913007479188629e-01 2.903086992520811926e-01
-2.831831831831832069e+00 7.096471435091967761e-01 2.903528564908033349e-01
-2.825825825825825977e+00 7.096189106789513312e-01 2.903810893210486133e-01
-2.819819819819819884e+00 7.097133185632528152e-01 2.902866814367471848e-01
-2.813813813813813791e+00 7.096710956707555917e-01 2.903289043292443528e-01
-2.807807807807807698e+00 7.097005494002088799e-01 2.902994505997910091e-01
-2.801801801801801606e+00 7.096255344060461434e-01 2.903744655939539121e-01
-2.795795795795795957e+00 7.096519975924070467e-01 2.903480024075928978e-01
