# X mu std 2std fstd 2fstd noisestd 2noisestd attrib
-3.000000000000000000e+00 1.422161985615514546e+00 1.042308401890888581e+00 2.084616803781777161e+00 1.698180042525664069e-03 3.396360085051328137e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106806061440139710e-01
-2.993993993993993907e+00 1.422161968752504002e+00 1.042304832747888765e+00 2.084609665495777531e+00 1.694610899525977616e-03 3.389221799051955232e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106429784660921567e-01
-2.987987987987987815e+00 1.422161951889493459e+00 1.042301263604889172e+00 2.084602527209778344e+00 1.691041756526290079e-03 3.382083513052580159e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106021839676708418e-01
-2.981981981981982166e+00 1.422161935026482915e+00 1.042297694461889357e+00 2.084595388923778714e+00 1.687472613526603627e-03 3.374945227053207254e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106186445215606606e-01
-2.975975975975976073e+00 1.422161918163472372e+00 1.042294125318889764e+00 2.084588250637779527e+00 1.683903470526916307e-03 3.367806941053832614e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106658071198472371e-01
-2.969969969969969981e+00 1.422161901300461828e+00 1.042290556175889948e+00 2.084581112351779897e+00 1.680334327527228770e-03 3.360668655054457540e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106210053238787405e-01
-2.963963963963963888e+00 1.422161884437451285e+00 1.042286987032890355e+00 2.084573974065780710e+00 1.676765184527541450e-03 3.353530369055082901e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106704150094055983e-01
-2.957957957957957795e+00 1.422161867574440741e+00 1.042283417889890762e+00 2.084566835779781524e+00 1.673196041527853914e-03 3.346392083055707827e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106533457704228396e-01
-2.951951951951952147e+00 1.422161850711430198e+00 1.042279848746890947e+00 2.084559697493781893e+00 1.669626898528167461e-03 3.339253797056334922e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106516874968378916e-01
-2.945945945945946054e+00 1.422161833848419654e+00 1.042276279603891354e+00 2.084552559207782707e+00 1.666057755528480141e-03 3.332115511056960282e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106212248741235582e-01
-2.939939939939939961e+00 1.422161816985409111e+00 1.042272710460891538e+00 2.084545420921783077e+00 1.662488612528792604e-03 3.324977225057585209e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.105701027775175982e-01
-2.933933933933933869e+00 1.422161800122398567e+00 1.042269141317891945e+00 2.084538282635783890e+00 1.658919469529105285e-03 3.317838939058210569e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106606897840349157e-01
-2.927927927927927776e+00 1.422161783259388024e+00 1.042265572174892352e+00 2.084531144349784704e+00 1.655350326529418182e-03 3.310700653058836363e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106099895364832553e-01
-2.921921921921922127e+00 1.422161766396377480e+00 1.042262003031892537e+00 2.084524006063785073e+00 1.651781183529731295e-03 3.303562367059462591e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106204599292395119e-01
-2.915915915915916035e+00 1.422161749533367159e+00 1.042258433888892943e+00 2.084516867777785887e+00 1.648212040530043975e-03 3.296424081060087951e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106646883808592885e-01
-2.909909909909909942e+00 1.422161732670356615e+00 1.042254864745893128e+00 2.084509729491786256e+00 1.644642897530356439e-03 3.289285795060712878e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106751455444581644e-01
-2.903903903903903849e+00 1.422161715807346072e+00 1.042251295602893535e+00 2.084502591205787070e+00 1.641073754530669119e-03 3.282147509061338238e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106317702322697660e-01
-2.897897897897897757e+00 1.422161698944335528e+00 1.042247726459893720e+00 2.084495452919787439e+00 1.637504611530982233e-03 3.275009223061964465e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106448528621129412e-01
-2.891891891891892108e+00 1.422161682081324985e+00 1.042244157316894126e+00 2.084488314633788253e+00 1.633935468531295346e-03 3.267870937062590693e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106470901300026122e-01
-2.885885885885886015e+00 1.422161665218314663e+00 1.042240588173894533e+00 2.084481176347789066e+00 1.630366325531607810e-03 3.260732651063215620e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106340981682275459e-01
-2.879879879879879923e+00 1.422161648355304120e+00 1.042237019030894718e+00 2.084474038061789436e+00 1.626797182531920490e-03 3.253594365063840980e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106388206732709545e-01
-2.873873873873873830e+00 1.422161631492293576e+00 1.042233449887895125e+00 2.084466899775790250e+00 1.623228039532232953e-03 3.246456079064465906e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106332961455413377e-01
-2.867867867867867737e+00 1.422161614629283033e+00 1.042229880744895310e+00 2.084459761489790619e+00 1.619658896532546067e-03 3.239317793065092134e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106177786779010574e-01
-2.861861861861862089e+00 1.422161597766272489e+00 1.042226311601895716e+00 2.084452623203791433e+00 1.616089753532858964e-03 3.232179507065717928e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.107106006859317371e-01
-2.855855855855855996e+00 1.422161580903261946e+00 1.042222742458895901e+00 2.084445484917791802e+00 1.612520610533171644e-03 3.225041221066343288e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.107021318129415177e-01
-2.849849849849849903e+00 1.422161564040251402e+00 1.042219173315896308e+00 2.084438346631792616e+00 1.608951467533484758e-03 3.217902935066969516e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106331841460327814e-01
-2.843843843843843811e+00 1.422161547177240859e+00 1.042215604172896715e+00 2.084431208345793429e+00 1.605382324533797004e-03 3.210764649067594009e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106475632099990669e-01
-2.837837837837837718e+00 1.422161530314230315e+00 1.042212035029896899e+00 2.084424070059793799e+00 1.601813181534110118e-03 3.203626363068220236e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106643708858014885e-01
-2.831831831831832069e+00 1.422161513451219772e+00 1.042208465886897306e+00 2.084416931773794612e+00 1.598244038534423232e-03 3.196488077068846464e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106289676923134957e-01
-2.825825825825825977e+00 1.422161496588209229e+00 1.042204896743897491e+00 2.084409793487794982e+00 1.594674895534735478e-03 3.189349791069470957e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106300139738863764e-01
-2.819819819819819884e+00 1.422161479725198685e+00 1.042201327600897898e+00 2.084402655201795795e+00 1.591105752535048809e-03 3.182211505070097618e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106470753502025062e-01
-2.813813813813813791e+00 1.422161462862188142e+00 1.042197758457898082e+00 2.084395516915796165e+00 1.587536609535361706e-03 3.175073219070723412e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106469427547288498e-01
-2.807807807807807698e+00 1.422161445999177598e+00 1.042194189314898489e+00 2.084388378629796978e+00 1.583967466535673952e-03 3.167934933071347905e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106139825157515411e-01
-2.801801801801801606e+00 1.422161429136167055e+00 1.042190620171898896e+00 2.084381240343797792e+00 1.580398323535986849e-03 3.160796647071973699e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106436832498196465e-01
-2.795795795795795957e+00 1.422161412273156511e+00 1.042187051028899081e+00 2.084374102057798162e+00 1.576829180536300180e-03 3.153658361072600360e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106289374298812134e-01
-2.789789789789789864e+00 1.422161395410145968e+00 1.042183481885899488e+00 2.084366963771798975e+00 1.573260037536612643e-03 3.146520075073225287e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106347183081333618e-01
-2.783783783783783772e+00 1.422161378547135646e+00 1.042179912742899672e+00 2.084359825485799345e+00 1.569690894536925757e-03 3.139381789073851514e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.105873968158576526e-01
-2.777777777777777679e+00 1.422161361684125103e+00 1.042176343599900079e+00 2.084352687199800158e+00 1.566121751537237787e-03 3.132243503074475573e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106376143892812580e-01
-2.771771771771771586e+00 1.422161344821114559e+00 1.042172774456900486e+00 2.084345548913800972e+00 1.562552608537550900e-03 3.125105217075101801e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106598694001756811e-01
-2.765765765765765938e+00 1.422161327958104016e+00 1.042169205313900671e+00 2.084338410627801341e+00 1.558983465537864231e-03 3.117966931075728462e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106725942931236939e-01
-2.759759759759759845e+00 1.422161311095093472e+00 1.042165636170901077e+00 2.084331272341802155e+00 1.555414322538176478e-03 3.110828645076352955e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106583988688886633e-01
-2.753753753753753752e+00 1.422161294232083151e+00 1.042162067027901262e+00 2.084324134055802524e+00 1.551845179538489591e-03 3.103690359076979183e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106985813447466827e-01
-2.747747747747747660e+00 1.422161277369072607e+00 1.042158497884901669e+00 2.084316995769803338e+00 1.548276036538801838e-03 3.096552073077603676e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.106558852653042213e-01
-2.741741741741741567e+00 1.422161260506062064e+00 1.042154928741901854e+00 2.084309857483803707e+00 1.544706893539114952e-03 3.089413787078229903e-03 1.040610221848362826e+00 2.081220443696725653e+00 4.105876500633219295e-01
