# X mu var std 2std
0.000000000000000000e+00 2.907397433144309762e-01 4.132276169114412409e-03 6.428278283579835772e-02 1.285655656715967154e-01
2.004008016032063962e-03 2.878810084128500257e-01 3.836297422796682444e-03 6.193785129302341319e-02 1.238757025860468264e-01
4.008016032064127925e-03 3.411703494315359020e-01 3.664611361582292663e-03 6.053603357986293149e-02 1.210720671597258630e-01
6.012024048096191453e-03 4.391540780267324529e-01 3.585589997471038196e-03 5.987979623772143878e-02 1.197595924754428776e-01
8.016032064128255849e-03 5.669055627686410137e-01 3.559511271725737842e-03 5.966163986788946411e-02 1.193232797357789282e-01
1.002004008016032024e-02 7.095141978801622340e-01 3.556532395395870395e-03 5.963666988854986889e-02 1.192733397770997378e-01
1.202404809619238291e-02 8.542355724366652581e-01 3.560158760069440879e-03 5.966706595827752507e-02 1.193341319165550501e-01
1.402805611222444730e-02 9.913697745271439210e-01 3.563707233834622831e-03 5.969679416714621795e-02 1.193935883342924359e-01
1.603206412825651170e-02 1.114240450844940389e+00 3.565689411515918488e-03 5.971339390384638318e-02 1.194267878076927664e-01
1.803607214428857436e-02 1.218689222729119503e+00 3.566575387167466703e-03 5.972081201028220376e-02 1.194416240205644075e-01
2.004008016032064049e-02 1.302406654205199743e+00 3.567171223898345667e-03 5.972580032028323993e-02 1.194516006405664799e-01
2.204408817635270315e-02 1.364295051966700534e+00 3.568063434204859791e-03 5.973326907348081721e-02 1.194665381469616344e-01
2.404809619238476581e-02 1.403954484062476027e+00 3.569571540867497172e-03 5.974589141411731225e-02 1.194917828282346245e-01
2.605210420841683194e-02 1.421317727527487307e+00 3.571856453471268771e-03 5.976501027751328354e-02 1.195300205550265671e-01
2.805611222444889460e-02 1.416428244366520595e+00 3.575015187189107060e-03 5.979143071702756190e-02 1.195828614340551238e-01
3.006012024048096073e-02 1.389346977074335632e+00 3.579098484091775521e-03 5.982556714392079505e-02 1.196511342878415901e-01
3.206412825651302340e-02 1.340178346737960213e+00 3.584035978910326669e-03 5.986681868038693649e-02 1.197336373607738730e-01
3.406813627254508953e-02 1.269215224271454279e+00 3.589476375405058033e-03 5.991223894501905567e-02 1.198244778900381113e-01
3.607214428857714872e-02 1.177210308559176077e+00 3.594578680191537826e-03 5.995480531359882737e-02 1.199096106271976547e-01
3.807615230460921485e-02 1.065780763263084907e+00 3.597854633250691190e-03 5.998211927942102145e-02 1.199642385588420429e-01
4.008016032064128098e-02 9.379364114021893073e-01 3.597287049218059543e-03 5.997738781589324886e-02 1.199547756317864977e-01
4.208416833667334017e-02 7.986807422904889098e-01 3.591127192782099693e-03 5.992601432418227791e-02 1.198520286483645558e-01
4.408817635270540630e-02 6.555626709336175306e-01 3.579898936745596651e-03 5.983225665763908241e-02 1.196645133152781648e-01
4.609218436873747243e-02 5.189604104470788570e-01 3.569897642803695516e-03 5.974862042594536460e-02 1.194972408518907292e-01
4.809619238476953162e-02 4.017847703604082721e-01 3.577337723637765907e-03 5.981084954786853453e-02 1.196216990957370691e-01
5.010020040080159776e-02 3.182587005397612412e-01 3.629910769996164133e-03 6.024874081668565862e-02 1.204974816333713172e-01
