# X mu var std 2std
0.000000000000000000e+00 -1.047275077517072217e-01 4.780173556027266304e-03 6.913879920874578533e-02 1.382775984174915707e-01
2.004008016032063962e-03 -9.888472435555203943e-02 4.778663181077270200e-03 6.912787557185068321e-02 1.382557511437013664e-01
4.008016032064127925e-03 -9.281298190412251570e-02 4.777048168897068958e-03 6.911619324656899377e-02 1.382323864931379875e-01
6.012024048096191453e-03 -8.645756009194804914e-02 4.775348098633611267e-03 6.910389351283768855e-02 1.382077870256753771e-01
8.016032064128255849e-03 -7.978179410531738291e-02 4.773571221695291356e-03 6.909103575497541061e-02 1.381820715099508212e-01
1.002004008016032024e-02 -7.276580977855345855e-02 4.771717637179462811e-03 6.907762037866868599e-02 1.381552407573373720e-01
1.202404809619238291e-02 -6.540468672907132075e-02 4.769782846356792998e-03 6.906361448951824078e-02 1.381272289790364816e-01
1.402805611222444730e-02 -5.770629286595051199e-02 4.767761130479875736e-03 6.904897631739283226e-02 1.380979526347856645e-01
1.603206412825651170e-02 -4.968898876094075823e-02 4.765648338809476935e-03 6.903367539693563981e-02 1.380673507938712796e-01
1.803607214428857436e-02 -4.137935278197753253e-02 4.763443849871988774e-03 6.901770678508514778e-02 1.380354135701702956e-01
2.004008016032064049e-02 -3.281003321629061276e-02 4.761151639372568703e-03 6.900109882728368282e-02 1.380021976545673656e-01
2.204408817635270315e-02 -2.401779509620236008e-02 4.758780525259177080e-03 6.898391497486336399e-02 1.379678299497267280e-01
2.404809619238476581e-02 -1.504179845705364005e-02 4.756343750670097813e-03 6.896625080914647876e-02 1.379325016182929575e-01
2.605210420841683194e-02 -5.922121364381097153e-03 4.753858107966962322e-03 6.894822773622946710e-02 1.378964554724589342e-01
2.805611222444889460e-02 3.301475502928225003e-03 4.751342809504561018e-03 6.892998483609699689e-02 1.378599696721939938e-01
3.006012024048096073e-02 1.259055676378793842e-02 4.748818285252470218e-03 6.891167016734153772e-02 1.378233403346830754e-01
3.206412825651302340e-02 2.190881316360977771e-02 4.746305046463745320e-03 6.889343253506639841e-02 1.377868650701327968e-01
3.406813627254508953e-02 3.122267880493756476e-02 4.743822709011354805e-03 6.887541440173956808e-02 1.377508288034791362e-01
3.607214428857714872e-02 4.050178902109746737e-02 4.741389227468697891e-03 6.885774631418528635e-02 1.377154926283705727e-01
3.807615230460921485e-02 4.971930237214922110e-02 4.739020356001948445e-03 6.884054296707681209e-02 1.376810859341536242e-01
4.008016032064128098e-02 5.885210856683177616e-02 4.736729326478115662e-03 6.882390083741342368e-02 1.376478016748268474e-01
4.208416833667334017e-02 6.788094196084419607e-02 4.734526717732802197e-03 6.880789720470174842e-02 1.376157944094034968e-01
4.408817635270540630e-02 7.679041793490240519e-02 4.732420481394503456e-03 6.879259030880072179e-02 1.375851806176014436e-01
4.609218436873747243e-02 8.556900711684101157e-02 4.730416087197488254e-03 6.877802037858815609e-02 1.375560407571763122e-01
4.809619238476953162e-02 9.420896019125625520e-02 4.728516752458381510e-03 6.876421127634912978e-02 1.375284225526982596e-01
5.010020040080159776e-02 1.027061939975942306e-01 4.726723724674612367e-03 6.875117253308929421e-02 1.375023450661785884e-01
5.210420841683366389e-02 1.110601477861912628e-01 4.725036591705952631e-03 6.873890158931805772e-02 1.374778031786361154e-01
5.410821643286573002e-02 1.192736168817609410e-01 4.723453599776061135e-03 6.872738609736341042e-02 1.374547721947268208e-01
5.611222444889778921e-02 1.273525695888809151e-01 4.721971964965379458e-03 6.871660618049599267e-02 1.374332123609919853e-01
5.811623246492985534e-02 1.353059519500117713e-01 4.720588168617720869e-03 6.870653657853610652e-02 1.374130731570722130e-01
6.012024048096192147e-02 1.431454839081221508e-01 4.719298231007213601e-03 6.869714863811461625e-02 1.373942972762292325e-01
6.212424849699398066e-02 1.508854495204152435e-01 4.718097960698813126e-03 6.868841212823902087e-02 1.373768242564780417e-01
6.412825651302604679e-02 1.585424830887885439e-01 4.716983179354869611e-03 6.868029687876188449e-02 1.373605937575237690e-01
6.613226452905811292e-02 1.661353524034079876e-01 4.715949923400757429e-03 6.867277425152384929e-02 1.373455485030476986e-01
6.813627254509017905e-02 1.736847397164323903e-01 4.714994625088124620e-03 6.866581846223143715e-02 1.373316369244628743e-01
7.014028056112224518e-02 1.812130205605396172e-01 4.714114276202675466e-03 6.865940777637595527e-02 1.373188155527519105e-01
7.214428857715429744e-02 1.887440400892853865e-01 4.713306578061568670e-03 6.865352560547469118e-02 1.373070512109493824e-01
7.414829659318636357e-02 1.963028862345157222e-01 4.712570081622284579e-03 6.864816153126232501e-02 1.372963230625246500e-01
7.615230460921842970e-02 2.039156586402159910e-01 4.711904321551889548e-03 6.864331228569822696e-02 1.372866245713964539e-01
7.815631262525049583e-02 2.116092320479021349e-01 4.711309948037157788e-03 6.863898271417749608e-02 1.372779654283549922e-01
8.016032064128256196e-02 2.194110125676993206e-01 4.710788859989424766e-03 6.863518674841224965e-02 1.372703734968244993e-01
8.216432865731462809e-02 2.273486850869081977e-01 4.710344343133257040e-03 6.863194841422802506e-02 1.372638968284560501e-01
8.416833667334668034e-02 2.354499499464700329e-01 4.709981216264689553e-03 6.862930289799459849e-02 1.372586057959891970e-01
8.617234468937874647e-02 2.437422469727842100e-01 4.709705988697712037e-03 6.862729769339392938e-02 1.372545953867878588e-01
8.817635270541081260e-02 2.522524650099849941e-01 4.709527031527977088e-03 6.862599384728776397e-02 1.372519876945755279e-01
9.018036072144287874e-02 2.610066352664703881e-01 4.709454764725451437e-03 6.862546731881286055e-02 1.372509346376257211e-01
9.218436873747494487e-02 2.700296071113340024e-01 4.709501861057651881e-03 6.862581045829369009e-02 1.372516209165873802e-01
9.418837675350701100e-02 2.793447054423902065e-01 4.709683466199044745e-03 6.862713360034093657e-02 1.372542672006818731e-01
9.619238476953906325e-02 2.889733694404251207e-01 4.710017431764795294e-03 6.862956674615391939e-02 1.372591334923078388e-01
9.819639278557112938e-02 2.989347734427677539e-01 4.710524553979587685e-03 6.863326128037038065e-02 1.372665225607407613e-01
1.002004008016031955e-01 3.092454318467516283e-01 4.711228804727576706e-03 6.863839162398531479e-02 1.372767832479706296e-01
1.022044088176352616e-01 3.199187914063398863e-01 4.712157533242554083e-03 6.864515666267033411e-02 1.372903133253406682e-01
1.042084168336673278e-01 3.309648160281524198e-01 4.713341605140096251e-03 6.865378070536316824e-02 1.373075614107263365e-01
