# X mu var std 2std
-5.000000000000000000e+00 -2.946572570309299866e-02 3.603896887253688758e-02 1.898393238308040409e-01 3.796786476616080819e-01
-4.979959919839679117e+00 -2.927097273590033993e-02 3.603896887253688758e-02 1.898393238308040409e-01 3.796786476616080819e-01
-4.959919839679359121e+00 -2.907621975386142504e-02 3.603896887253688758e-02 1.898393238308040409e-01 3.796786476616080819e-01
-4.939879759519038238e+00 -2.888146675170510588e-02 3.603896887253688758e-02 1.898393238308040409e-01 3.796786476616080819e-01
-4.919839679358717355e+00 -2.868671372235537601e-02 3.603896887253688758e-02 1.898393238308040409e-01 3.796786476616080819e-01
-4.899799599198396471e+00 -2.849196065633724864e-02 3.603896887253688758e-02 1.898393238308040409e-01 3.796786476616080819e-01
-4.879759519038076476e+00 -2.829720754099543725e-02 3.603896887253688758e-02 1.898393238308040409e-01 3.796786476616080819e-01
-4.859719438877755593e+00 -2.810245435946957804e-02 3.603896887253688758e-02 1.898393238308040409e-01 3.796786476616080819e-01
-4.839679358717434710e+00 -2.790770108935385074e-02 3.603896887253688758e-02 1.898393238308040409e-01 3.796786476616080819e-01
-4.819639278557113826e+00 -2.771294770094850923e-02 3.603896887253688758e-02 1.898393238308040409e-01 3.796786476616080819e-01
-4.799599198396793831e+00 -2.751819415498545085e-02 3.603896887253688064e-02 1.898393238308040409e-01 3.796786476616080819e-01
-4.779559118236472948e+00 -2.732344039967763913e-02 3.603896887253688064e-02 1.898393238308040409e-01 3.796786476616080819e-01
-4.759519038076152064e+00 -2.712868636690215357e-02 3.603896887253687370e-02 1.898393238308040132e-01 3.796786476616080264e-01
-4.739478957915832069e+00 -2.693393196727600705e-02 3.603896887253687370e-02 1.898393238308040132e-01 3.796786476616080264e-01
-4.719438877755511186e+00 -2.673917708382133121e-02 3.603896887253685982e-02 1.898393238308039854e-01 3.796786476616079709e-01
-4.699398797595190302e+00 -2.654442156383883186e-02 3.603896887253683901e-02 1.898393238308039299e-01 3.796786476616078598e-01
