# X mu var std 2std
-2.201260522856935076e+00 2.579583992535265380e-01 8.256772897614134338e-05 9.086678654829901183e-03 1.817335730965980237e-02
-1.960101534103750431e+00 2.075667248675357457e-01 1.179479171169910210e-04 1.086038291760428771e-02 2.172076583520857543e-02
-1.467423420633690911e+00 6.792634604770905749e-02 7.187905025579017820e-05 8.478151346596154297e-03 1.695630269319230859e-02
-1.267282024164032128e+00 -1.953673335039404074e-02 5.443649529667589116e-05 7.378109195225826707e-03 1.475621839045165341e-02
-9.843633231843242903e-01 -1.149914658789066846e-01 1.187034717145610805e-04 1.089511228554167210e-02 2.179022457108334421e-02
-7.543621697753537525e-01 -1.485002081881350577e-01 1.751105556249111476e-04 1.323293450542664500e-02 2.646586901085328999e-02
-7.218020048726110360e-01 -1.533262813073131003e-01 1.822887997212732127e-04 1.350143695023878557e-02 2.700287390047757113e-02
-6.418262471240421263e-01 -1.693731887176377626e-01 1.900904700386496222e-04 1.378733005475134103e-02 2.757466010950268206e-02
-5.917882815006079156e-01 -1.834473528132182785e-01 1.858276729764498031e-04 1.363186241774944768e-02 2.726372483549889536e-02
-5.557738776476162101e-01 -1.956979264357165682e-01 1.783603900619187116e-04 1.335516342325763876e-02 2.671032684651527753e-02
-5.157318272884183763e-01 -2.112678058220027744e-01 1.664472272773185886e-04 1.290144283703642883e-02 2.580288567407285766e-02
-5.456794193881409072e-01 -1.994396858042274123e-01 1.756784304444757386e-04 1.325437401179232338e-02 2.650874802358464677e-02
-5.429238973374950206e-01 -2.004834509666763853e-01 1.749057761162282443e-04 1.322519474776187413e-02 2.645038949552374827e-02
-5.426270138557147682e-01 -2.005964701932096417e-01 1.748215254030266940e-04 1.322200912883615860e-02 2.644401825767231720e-02
-4.699471329658013730e-01 -2.310956444968963464e-01 1.496831471523843362e-04 1.223450641229078574e-02 2.446901282458157148e-02
-4.918648615116398837e-01 -2.213812847021475183e-01 1.580005562461603437e-04 1.256982721624129266e-02 2.513965443248258533e-02
-4.941028153419626534e-01 -2.204104652468073522e-01 1.588243848918625045e-04 1.260255469703910891e-02 2.520510939407821782e-02
-4.978779136452047283e-01 -2.187827653445868215e-01 1.602007518986182011e-04 1.265704356864659832e-02 2.531408713729319665e-02
-4.436286504351678595e-01 -2.431355661335056484e-01 1.393751958896805206e-04 1.180572724950396807e-02 2.361145449900793614e-02
-3.447844476051922236e-01 -2.879109013616094059e-01 1.056547397893629496e-04 1.027884914712551626e-02 2.055769829425103251e-02
-3.494948067364429534e-01 -2.859262378482471112e-01 1.068547860572303780e-04 1.033705886880936613e-02 2.067411773761873225e-02
3.442409463207418696e-01 -1.851430191543376735e-01 1.361419234671816807e-04 1.166798712148679404e-02 2.333597424297358808e-02
9.865927525992734815e-02 -2.560362351662692770e-01 2.027720468420800629e-04 1.423980501418752043e-02 2.847961002837504085e-02
7.857140892991703041e-01 -1.928403985012502320e-01 2.261152034793148990e-04 1.503712750093297822e-02 3.007425500186595643e-02
1.222123747737085431e+00 -7.713864311736383372e-02 1.638381143840150626e-04 1.279992634291366067e-02 2.559985268582732135e-02
1.596415610478369551e+00 -1.958506735801666260e-02 2.464506136522784602e-04 1.569874560760440088e-02 3.139749121520880176e-02
1.996284390979356616e+00 -8.896962101571016801e-03 1.420243829001082206e-04 1.191739832765978391e-02 2.383479665531956782e-02
2.326965287179372233e+00 4.798999969575893504e-02 5.161458660340863215e-04 2.271884385337612916e-02 4.543768770675225832e-02
2.701929717138023435e+00 -1.333142051602756450e-01 1.662310887235675296e-04 1.289306358952625048e-02 2.578612717905250096e-02
2.999999997920553163e+00 -1.714425103408149798e-01 1.767250670960233440e-04 1.329379806887494991e-02 2.658759613774989983e-02
