# X mu var std 2std
2.072217701789239586e-01 -2.212062669482531607e+00 1.827438320337402406e-04 1.351827770219787492e-02 2.703655540439574984e-02
1.400744663296878412e-01 -1.631717223788539339e+00 2.678318006662852840e-04 1.636556753266703301e-02 3.273113506533406603e-02
2.197857246233164696e-02 -1.049207615627833601e+00 5.242801016452291411e-04 2.289716361572387282e-02 4.579432723144774564e-02
7.211736962871057033e-02 -1.266714800322494838e+00 1.292029411552602530e-04 1.136674716685737857e-02 2.273349433371475714e-02
3.986861670867902219e-01 -5.121235626814349406e-02 4.736085184343393102e-03 6.881922103848163441e-02 1.376384420769632688e-01
2.782086129763574056e-01 -1.694789107814969498e+00 1.781630000664098038e-04 1.334777135204262555e-02 2.669554270408525110e-02
3.464756563197260442e-01 -3.893447214821958990e-01 2.882481270363579503e-04 1.697787168747478745e-02 3.395574337494957490e-02
6.056898103035068814e-01 -8.824526070113931642e-01 1.329543377844025036e-02 1.153058271660207523e-01 2.306116543320415047e-01
6.237431824748902454e-01 -1.106604097744530835e+00 4.145077095344775961e-03 6.438227314521269284e-02 1.287645462904253857e-01
6.754739379687875189e-01 -1.434763676631484630e+00 1.238123079788248427e-04 1.112709791359925253e-02 2.225419582719850506e-02
7.243355039023520181e-01 -6.746300963362434899e-01 1.184001750846731371e-04 1.088118445228611689e-02 2.176236890457223377e-02
7.876096289530551964e-01 1.638233778803827700e+00 2.028442911515279743e-04 1.424234149118493685e-02 2.848468298236987370e-02
8.756683054041807246e-01 2.931880016913863241e+00 1.150840324455942913e-04 1.072772261225998953e-02 2.145544522451997907e-02
9.337741742543543833e-01 1.480721839900411618e+00 3.294109752836765510e-04 1.814968251192500964e-02 3.629936502385001929e-02
9.782789498767805458e-01 4.284523056232909521e-01 1.961851515892031484e-03 4.429279304686069979e-02 8.858558609372139958e-02
