# X mu var std 2std
-1.000000000000000000e+00 6.690791580190148005e-07 2.503745461380263748e+01 5.003744059582047932e+00 1.000748811916409586e+01
-9.879759519038076032e-01 1.089778481296915439e-06 2.503745461380134429e+01 5.003744059581919146e+00 1.000748811916383829e+01
-9.759519038076152064e-01 1.760521009853027610e-06 2.503745461379800830e+01 5.003744059581586079e+00 1.000748811916317216e+01
-9.639278557114228096e-01 2.820778705733388546e-06 2.503745461378951376e+01 5.003744059580736980e+00 1.000748811916147396e+01
-9.519038076152304129e-01 4.482324953212790391e-06 2.503745461376826498e+01 5.003744059578613346e+00 1.000748811915722669e+01
-9.398797595190381271e-01 7.063581721820431548e-06 2.503745461371600456e+01 5.003744059573391745e+00 1.000748811914678349e+01
-9.278557114228457303e-01 1.103859462144233198e-05 2.503745461358964164e+01 5.003744059560764512e+00 1.000748811912152902e+01
-9.158316633266533335e-01 1.710600765777725641e-05 2.503745461328931654e+01 5.003744059530754740e+00 1.000748811906150948e+01
-9.038076152304609368e-01 2.628497087932914921e-05 2.503745461258780125e+01 5.003744059460655258e+00 1.000748811892131052e+01
-8.917835671342685400e-01 4.004674017818323319e-05 2.503745461097753022e+01 5.003744059299749303e+00 1.000748811859949861e+01
-8.797595190380761432e-01 6.049277418655025861e-05 2.503745460734577577e+01 5.003744058936844930e+00 1.000748811787368986e+01
-8.677354709418837464e-01 9.059229737334921441e-05 2.503745459929899297e+01 5.003744058132769013e+00 1.000748811626553803e+01
-8.557114228456913496e-01 1.344944035136863623e-04 2.503745458178655170e+01 5.003744056382835481e+00 1.000748811276567096e+01
-8.436873747494990639e-01 1.979315446335899763e-04 2.503745454435686923e+01 5.003744052642668194e+00 1.000748810528533639e+01
-8.316633266533066671e-01 2.887322965721541364e-04 2.503745446580570899e+01 5.003744044793429602e+00 1.000748808958685920e+01
-8.196392785571142703e-01 4.174610967192107043e-04 2.503745430397034610e+01 5.003744028622002737e+00 1.000748805724400547e+01
-8.076152304609218735e-01 5.982005743234871092e-04 2.503745397671164241e+01 5.003743995920618914e+00 1.000748799184123783e+01
-7.955911823647294767e-01 8.494874084843215701e-04 2.503745332730970929e+01 5.003743931029015712e+00 1.000748786205803142e+01
-7.835671342685370799e-01 1.195404592818546377e-03 2.503745206303097248e+01 5.003743804695737651e+00 1.000748760939147530e+01
-7.715430861723446831e-01 1.666820873697338716e-03 2.503744964881671464e+01 5.003743563454936982e+00 1.000748712690987396e+01
-7.595190380761522864e-01 2.302751507519900254e-03 2.503744512813856105e+01 5.003743111725317050e+00 1.000748622345063410e+01
-7.474949899799598896e-01 3.151793338243469647e-03 2.503743682941456328e+01 5.003742282473645275e+00 1.000748456494729055e+01
-7.354709418837674928e-01 4.273562207601797579e-03 2.503742189878734337e+01 5.003740790527356985e+00 1.000748158105471397e+01
-7.234468937875750960e-01 5.740033521163658524e-03 2.503739557934894222e+01 5.003738160550463832e+00 1.000747632110092766e+01
-7.114228456913826992e-01 7.636660270162691673e-03 2.503735013565506407e+01 5.003733619573994318e+00 1.000746723914798864e+01
-6.993987975951903024e-01 1.006312122153168835e-02 2.503727330587609856e+01 5.003725942322990505e+00 1.000745188464598101e+01
-6.873747494989980167e-01 1.313354103599253912e-02 2.503714616088734601e+01 5.003713237275627890e+00 1.000742647455125578e+01
-6.753507014028056199e-01 1.697603066618277867e-02 2.503694027229078145e+01 5.003692663652593353e+00 1.000738532730518671e+01
-6.633266533066132231e-01 2.173142808720480643e-02 2.503661415450506667e+01 5.003660075834995169e+00 1.000732015166999034e+01
-6.513026052104208263e-01 2.755118346698769149e-02 2.503610906355430998e+01 5.003609603431737440e+00 1.000721920686347488e+01
-6.392785571142285406e-01 3.459443480576703672e-02 2.503534441407753519e+01 5.003533193062431828e+00 1.000706638612486366e+01
-6.272545090180361438e-01 4.302446181619840049e-02 2.503421330774474285e+01 5.003420161024330959e+00 1.000684032204866192e+01
-6.152304609218437470e-01 5.300488368312580162e-02 2.503257891595623974e+01 5.003256830900872032e+00 1.000651366180174406e+01
-6.032064128256513502e-01 6.469616889936689874e-02 2.503027265742886343e+01 5.003026349863536559e+00 1.000605269972707312e+01
-5.911823647294589534e-01 7.825323174989064212e-02 2.502709514883641972e+01 5.002708781134118432e+00 1.000541756226823686e+01
