# X mu var std 2std
-1.000000000000000000e+00 -2.325354642887101364e-01 2.508240628723556753e+01 5.008233849096462187e+00 1.001646769819292437e+01
-9.879759519038076032e-01 -2.443311226418202475e-01 2.491575266981991632e+01 4.991568157385002813e+00 9.983136314770005626e+00
-9.759519038076152064e-01 -2.534738934204713856e-01 2.476678416906345959e+01 4.976623772103278220e+00 9.953247544206556441e+00
-9.639278557114228096e-01 -2.598373652712827053e-01 2.463863102976588948e+01 4.963731563024524895e+00 9.927463126049049791e+00
-9.519038076152304129e-01 -2.633583676412635244e-01 2.453200747581737318e+01 4.952979656309661749e+00 9.905959312619323498e+00
-9.398797595190381271e-01 -2.640353301416997756e-01 2.444509821139725148e+01 4.944198439726832817e+00 9.888396879453665633e+00
-9.278557114228457303e-01 -2.619234453146601083e-01 2.437378717270564010e+01 4.936981585210303614e+00 9.873963170420607227e+00
-9.158316633266533335e-01 -2.571269389016120899e-01 2.431219453745231007e+01 4.930739755599793384e+00 9.861479511199586767e+00
-9.038076152304609368e-01 -2.497889558535580090e-01 2.425344752627774270e+01 4.924778931716401686e+00 9.849557863432803373e+00
-8.917835671342685400e-01 -2.400799809351658320e-01 2.419057316263325319e+01 4.918391318574931503e+00 9.836782637149863007e+00
-8.797595190380761432e-01 -2.281855774481055532e-01 2.411740191946274692e+01 4.910947150953952622e+00 9.821894301907905245e+00
-8.677354709418837464e-01 -2.142944142313800981e-01 2.402937293253571838e+01 4.901976431250533395e+00 9.803952862501066789e+00
-8.557114228456913496e-01 -1.985876415162951825e-01 2.392416966843040171e+01 4.891233961735054869e+00 9.782467923470109739e+00
-8.436873747494990639e-01 -1.812308457686301333e-01 2.380213658295861379e+01 4.878743340549758223e+00 9.757486681099516446e+00
-8.316633266533066671e-01 -1.623681279043292514e-01 2.366644948944916393e+01 4.864817518617646996e+00 9.729635037235293993e+00
-8.196392785571142703e-01 -1.421194090763533979e-01 2.352302830727173699e+01 4.850054464361378770e+00 9.700108928722757540e+00
-8.076152304609218735e-01 -1.205806184359813904e-01 2.338017905923094375e+01 4.835305477343799119e+00 9.670610954687598237e+00
-7.955911823647294767e-01 -9.782592687089462780e-02 2.324796032769261700e+01 4.821613871691989850e+00 9.643227743383979700e+00
-7.835671342685370799e-01 -7.391188576789582687e-02 2.313729294805488479e+01 4.810124005475834075e+00 9.620248010951668149e+00
-7.715430861723446831e-01 -4.888247916073179544e-02 2.305884284822498742e+01 4.801962395544657980e+00 9.603924791089315960e+00
-7.595190380761522864e-01 -2.277454109071865365e-02 2.302176885622873215e+01 4.798100546698529811e+00 9.596201093397059623e+00
-7.474949899799598896e-01 4.377113596939332350e-03 2.303246262159678182e+01 4.799214792192237233e+00 9.598429584384474467e+00
-7.354709418837674928e-01 3.253504471736489573e-02 2.309345032587365054e+01 4.805564516877663728e+00 9.611129033755327455e+00
-7.234468937875750960e-01 6.165516480697325052e-02 2.320263986240369292e+01 4.816911859522000405e+00 9.633823719044000811e+00
-7.114228456913826992e-01 9.168336736835053236e-02 2.335308449740160341e+01 4.832502922648014732e+00 9.665005845296029463e+00
-6.993987975951903024e-01 1.225524840869315762e-01 2.353336795945614668e+01 4.851120278807375286e+00 9.702240557614750571e+00
-6.873747494989980167e-01 1.541794553506648235e-01 2.372865098727190869e+01 4.871206317460995194e+00 9.742412634921990389e+00
-6.753507014028056199e-01 1.864623348818108262e-01 2.392229307307725605e+01 4.891042125465416390e+00 9.782084250930832781e+00
-6.633266533066132231e-01 2.192772832702372665e-01 2.409787351532776967e+01 4.908958495987491233e+00 9.817916991974982466e+00
-6.513026052104208263e-01 2.524763119838759340e-01 2.424133965752791298e+01 4.923549497824502907e+00 9.847098995649005815e+00
-6.392785571142285406e-01 2.858852068416068981e-01 2.434296531013620424e+01 4.933859068734757436e+00 9.867718137469514872e+00
-6.272545090180361438e-01 3.193038494776810898e-01 2.439878655353314585e+01 4.939512785035903519e+00 9.879025570071807039e+00
-6.152304609218437470e-01 3.525086834871334340e-01 2.441125326289304454e+01 4.940774561027152068e+00 9.881549122054304135e+00
-6.032064128256513502e-01 3.852593798797188662e-01 2.438892659265301432e+01 4.938514613996096259e+00 9.877029227992192517e+00
-5.911823647294589534e-01 4.173099110442107240e-01 2.434521169149758890e+01 4.934086713009570246e+00 9.868173426019140493e+00
-5.791583166332665567e-01 4.484251613693254201e-01 2.429626973497873976e+01 4.929124641858708245e+00 9.858249283717416489e+00
-5.671342685370741599e-01 4.784034386870573696e-01 2.425842031387379549e+01 4.925283780034790837e+00 9.850567560069581674e+00
-5.551102204408817631e-01 5.071045827114448734e-01 2.424544092901404113e+01 4.923965975614986057e+00 9.847931951229972114e+00
-5.430861723446893663e-01 5.344830038675095762e-01 2.426622217529972758e+01 4.926075737876928429e+00 9.852151475753856857e+00
-5.310621242484969695e-01 5.606242832761398898e-01 2.432318471248295566e+01 4.931854084670688643e+00 9.863708169341377285e+00
-5.190380761523045727e-01 5.857833947782660200e-01 2.441174840683519420e+01 4.940824668700074085e+00 9.881649337400148170e+00
-5.070140280561121759e-01 6.104215212971479954e-01 2.452094338035732690e+01 4.951862617274163547e+00 9.903725234548327094e+00
-4.949899799599198902e-01 6.352384720175586752e-01 2.463505976577675582e+01 4.963371814178014318e+00 9.926743628356028637e+00
-4.829659318637274934e-01 6.611962815427846474e-01 2.473601898686549205e+01 4.973531842349608212e+00 9.947063684699216424e+00
-4.709418837675350966e-01 6.895299394467865328e-01 2.480603414782277838e+01 4.980565645368282723e+00 9.961131290736565447e+00
-4.589178356713426998e-01 7.217401297761566470e-01 2.483006967581210489e+01 4.982977992707985138e+00 9.965955985415970275e+00
-4.468937875751503030e-01 7.595635057312037919e-01 2.479766606812073704e+01 4.979725501282247890e+00 9.959451002564495781e+00
-4.348697394789579063e-01 8.049161596417888642e-01 2.470383750968043657e+01 4.970295515327075364e+00 9.940591030654150728e+00
-4.228456913827655095e-01 8.598070233135970408e-01 2.454892868879915468e+01 4.954687547040595774e+00 9.909375094081191548e+00
-4.108216432865731127e-01 9.262195734383363854e-01 2.433752135161914509e+01 4.933307344127177529e+00 9.866614688254355059e+00
-3.987975951903807159e-01 1.005962914959335874e+00 2.407663862813146594e+01 4.906795148376531301e+00 9.813590296753062603e+00
-3.867735470941884302e-01 1.100496173950467060e+00 2.377359634685508638e+01 4.875817505491267134e+00 9.751635010982534268e+00
-3.747494989979960334e-01 1.210733811926574477e+00 2.343387142566227510e+01 4.840854410707088995e+00 9.681708821414177990e+00
-3.627254509018036366e-01 1.336844116095369905e+00 2.305932368605962068e+01 4.802012462089162881e+00 9.604024924178325762e+00
-3.507014028056112398e-01 1.478056079003819967e+00 2.264701992163886501e+01 4.758888517462755985e+00 9.517777034925511970e+00
-3.386773547094188430e-01 1.632494131298207751e+00 2.218881024313494876e+01 4.710499999271303473e+00 9.420999998542606946e+00
-3.266533066132264462e-01 1.797061743645922416e+00 2.167171554674431633e+01 4.655288986383586014e+00 9.310577972767172028e+00
-3.146292585170340494e-01 1.967395138337614258e+00 2.107909539469213911e+01 4.591197599177379907e+00 9.182395198354759813e+00
-3.026052104208416527e-01 2.137906846932168481e+00 2.039250162969555902e+01 4.515805756417735850e+00 9.031611512835471700e+00
-2.905811623246492559e-01 2.301933790081864384e+00 1.959404910607879557e+01 4.426516588252979112e+00 8.853033176505958224e+00
-2.785571142284569701e-01 2.451997315306507108e+00 1.866907922528725905e+01 4.320772989325782909e+00 8.641545978651565818e+00
-2.665330661322645733e-01 2.580173392411200251e+00 1.760881831083614557e+01 4.196286252251643312e+00 8.392572504503286623e+00
-2.545090180360721765e-01 2.678559367716776052e+00 1.641270217199234693e+01 4.051259331614349257e+00 8.102518663228698514e+00
-2.424849699398797798e-01 2.739811974830200558e+00 1.509000987560101059e+01 3.884586191037728842e+00 7.769172382075457683e+00
-2.304609218436873830e-01 2.757719480410671054e+00 1.366050695101183443e+01 3.696012303958393641e+00 7.392024607916787282e+00
-2.184368737474949862e-01 2.727761735924028041e+00 1.215388822819147308e+01 3.486242709306320187e+00 6.972485418612640373e+00
-2.064128256513025894e-01 2.647605505223551869e+00 1.060797128845739756e+01 3.256988070051439088e+00 6.513976140102878176e+00
-1.943887775551101926e-01 2.517481601029195826e+00 9.065782855586334676e+00 3.010943847963016395e+00 6.021887695926032791e+00
-1.823647294589177958e-01 2.340394563986965437e+00 7.571864093242410831e+00 2.751702035693983195e+00 5.503404071387966390e+00
-1.703406813627255101e-01 2.122126147114957284e+00 6.168271374984862554e+00 2.483600486186307243e+00 4.967200972372614487e+00
-1.583166332665331133e-01 1.871010641307031763e+00 4.890819067793243491e+00 2.211519628624906364e+00 4.423039257249812728e+00
-1.462925851703407165e-01 1.597480057745209736e+00 3.766085656318726382e+00 1.940640527330789844e+00 3.881281054661579688e+00
-1.342685370741483197e-01 1.313402370155206000e+00 2.809586853886357982e+00 1.676182225739897946e+00 3.352364451479795893e+00
-1.222444889779559229e-01 1.031258214005847718e+00 2.025321811858975085e+00 1.423138015745126106e+00 2.846276031490252212e+00
-1.102204408817635262e-01 7.632250870182796243e-01 1.406671668978174861e+00 1.186031900489263657e+00 2.372063800978527315e+00
-9.819639278557112938e-02 5.202527774520833148e-01 9.384102737728172716e-01 9.687157858592050363e-01 1.937431571718410073e+00
-8.617234468937873260e-02 3.112223173911258800e-01 5.994280887203771169e-01 7.742274140847617003e-01 1.548454828169523401e+00
-7.414829659318633581e-02 1.422784284034211144e-01 3.656947241772212642e-01 6.047269831727547507e-01 1.209453966345509501e+00
-6.212424849699405005e-02 1.641344512249454796e-02 2.130084198517908367e-01 4.615283521646214582e-01 9.230567043292429164e-01
-5.010020040080165327e-02 -6.664417994289309477e-02 1.191837226650661052e-01 3.452299562104454989e-01 6.904599124208909977e-01
-3.807615230460925648e-02 -1.102140206500542147e-01 6.548354311191161015e-02 2.558975246302933604e-01 5.117950492605867208e-01
-2.605210420841685970e-02 -1.201359875032615571e-01 3.726537764226625637e-02 1.930424244622571395e-01 3.860848489245142789e-01
-1.402805611222446291e-02 -1.039841739948895727e-01 2.395135459318113030e-02 1.547622518354560828e-01 3.095245036709121655e-01
-2.004008016032066131e-03 -7.010929997739133446e-02 1.851804778359632947e-02 1.360810338864175684e-01 2.721620677728351367e-01
1.002004008016021963e-02 -2.662277659812980340e-02 1.673065839484182832e-02 1.293470463321131636e-01 2.586940926642263272e-01
2.204408817635261641e-02 1.955281142633885291e-02 1.632277901617495280e-02 1.277606317148398951e-01 2.555212634296797902e-01
3.406813627254501320e-02 6.344530998315271730e-02 1.626682031606330528e-02 1.275414454836674150e-01 2.550828909673348299e-01
4.609218436873740998e-02 1.025053874143971172e-01 1.621284557182393893e-02 1.273296727861339406e-01 2.546593455722678812e-01
5.811623246492980677e-02 1.367226724600391075e-01 1.611356288414685090e-02 1.269392094041350560e-01 2.538784188082701121e-01
7.014028056112220355e-02 1.683655900073814937e-01 1.601148595473565750e-02 1.265365004839933694e-01 2.530730009679867387e-01
8.216432865731460033e-02 2.013742890553224529e-01 1.594384607360052608e-02 1.262689434247413200e-01 2.525378868494826401e-01
9.418837675350699712e-02 2.404879740896190832e-01 1.591825791606797658e-02 1.261675787041503516e-01 2.523351574083007032e-01
1.062124248496993939e-01 2.902261953563788910e-01 1.592091068013723812e-02 1.261780911257467108e-01 2.523561822514934216e-01
1.182364729458917907e-01 3.538710770197527333e-01 1.593236807828283391e-02 1.262234846543337785e-01 2.524469693086675570e-01
1.302605210420841875e-01 4.326020015419670961e-01 1.593872666789251935e-02 1.262486699648456556e-01 2.524973399296913112e-01
1.422845691382765843e-01 5.249185784170927738e-01 1.593512097386800760e-02 1.262343890303589400e-01 2.524687780607178800e-01
1.543086172344689810e-01 6.264516392634165154e-01 1.592359644742389474e-02 1.261887334409213246e-01 2.523774668818426492e-01
1.663326653306613778e-01 7.302089958671813541e-01 1.590889858023729342e-02 1.261304823594887048e-01 2.522609647189774096e-01
1.783567134268537746e-01 8.272419417528611429e-01 1.589499822018907230e-02 1.260753672221067712e-01 2.521507344442135423e-01
1.903807615230461714e-01 9.076562933999468008e-01 1.588359064210012606e-02 1.260301179960572893e-01 2.520602359921145785e-01
2.024048096192385682e-01 9.618387711275330210e-01 1.587436279004551115e-02 1.259935029675955664e-01 2.519870059351911329e-01
2.144288577154307429e-01 9.817338168626197348e-01 1.586608282299800318e-02 1.259606399753430972e-01 2.519212799506861944e-01
2.264529058116231397e-01 9.619920289673034031e-01 1.585759687796484824e-02 1.259269505624782681e-01 2.518539011249565363e-01
2.384769539078155365e-01 9.008238442470751783e-01 1.584831074573747611e-02 1.258900740556517239e-01 2.517801481113034479e-01
2.505010020040079333e-01 8.004285829722112000e-01 1.583832059516832036e-02 1.258503897299023955e-01 2.517007794598047909e-01
2.625250501002003300e-01 6.669248175762916286e-01 1.582866370801697814e-02 1.258120173434039701e-01 2.516240346868079403e-01
2.745490981963927268e-01 5.097763819894459703e-01 1.582207866854976053e-02 1.257858444680869381e-01 2.515716889361738762e-01
