# X mu var std 2std
-1.000000000000000000e+00 3.137161719098098261e-09 3.810649491363209962e-01 6.173045837642232581e-01 1.234609167528446516e+00
-9.879759519038076032e-01 6.685098854156833264e-09 3.810649491363209962e-01 6.173045837642232581e-01 1.234609167528446516e+00
-9.759519038076152064e-01 1.403555125851492193e-08 3.810649491363207186e-01 6.173045837642230360e-01 1.234609167528446072e+00
-9.639278557114228096e-01 2.903191655544841423e-08 3.810649491363196084e-01 6.173045837642221478e-01 1.234609167528444296e+00
-9.519038076152304129e-01 5.915864126664911699e-08 3.810649491363151120e-01 6.173045837642185951e-01 1.234609167528437190e+00
-9.398797595190381271e-01 1.187479515249492579e-07 3.810649491362970709e-01 6.173045837642039402e-01 1.234609167528407880e+00
-9.278557114228457303e-01 2.347826389668089406e-07 3.810649491362272379e-01 6.173045837641473188e-01 1.234609167528294638e+00
-9.158316633266533335e-01 4.571946788112730248e-07 3.810649491359647811e-01 6.173045837639348221e-01 1.234609167527869644e+00
-9.038076152304609368e-01 8.767821442663183176e-07 3.810649491350092122e-01 6.173045837631607746e-01 1.234609167526321549e+00
-8.917835671342685400e-01 1.655746161518671662e-06 3.810649491316362991e-01 6.173045837604288488e-01 1.234609167520857698e+00
-8.797595190380761432e-01 3.078642354945681111e-06 3.810649491201003602e-01 6.173045837510849898e-01 1.234609167502169980e+00
-8.677354709418837464e-01 5.635535542609969653e-06 3.810649490818820984e-01 6.173045837201293073e-01 1.234609167440258615e+00
-8.557114228456913496e-01 1.015460838265161764e-05 3.810649489592688455e-01 6.173045836208158610e-01 1.234609167241631722e+00
-8.436873747494990639e-01 1.800854104906259549e-05 3.810649485784707302e-01 6.173045833123796955e-01 1.234609166624759391e+00
-8.316633266533066671e-01 3.142747360156474700e-05 3.810649474340846998e-01 6.173045823854580449e-01 1.234609164770916090e+00
-8.196392785571142703e-01 5.396051456581862991e-05 3.810649441076553456e-01 6.173045796911402761e-01 1.234609159382280552e+00
-8.076152304609218735e-01 9.113581451741548404e-05 3.810649347601497428e-01 6.173045721199137414e-01 1.234609144239827483e+00
-7.955911823647294767e-01 1.513729713731198391e-04 3.810649093808419763e-01 6.173045515633608371e-01 1.234609103126721674e+00
-7.835671342685370799e-01 2.471958202193572985e-04 3.810648428456405723e-01 6.173044976716438592e-01 1.234608995343287718e+00
-7.715430861723446831e-01 3.967710408045690604e-04 3.810646745428282745e-01 6.173043613508885086e-01 1.234608722701777017e+00
-7.595190380761522864e-01 6.257488091822694483e-04 3.810642641203718095e-01 6.173040289196012331e-01 1.234608057839202466e+00
-7.474949899799598896e-01 9.692948313574986782e-04 3.810633001964481847e-01 6.173032481661246962e-01 1.234606496332249392e+00
-7.354709418837674928e-01 1.474068072523117105e-03 3.810611223621825361e-01 6.173014841729951296e-01 1.234602968345990259e+00
-7.234468937875750960e-01 2.199709281943826571e-03 3.810563953811080817e-01 6.172976554152040940e-01 1.234595310830408188e+00
-7.114228456913826992e-01 3.219166141180372382e-03 3.810465550536217272e-01 6.172896848754413357e-01 1.234579369750882671e+00
-6.993987975951903024e-01 4.616913584608705462e-03 3.810269467345536731e-01 6.172738020802063241e-01 1.234547604160412648e+00
-6.873747494989980167e-01 6.483881440553835966e-03 3.809896376233422033e-01 6.172435804634521794e-01 1.234487160926904359e+00
-6.753507014028056199e-01 8.907759993653686578e-03 3.809220603341110789e-01 6.171888368515029422e-01 1.234377673703005884e+00
-6.633266533066132231e-01 1.195744094439333584e-02 3.808059992440320785e-01 6.170948057179156399e-01 1.234189611435831280e+00
-6.513026052104208263e-01 1.566082609884261040e-02 3.806179762488483553e-01 6.169424416011985990e-01 1.233884883202397198e+00
-6.392785571142285406e-01 1.997627764922059804e-02 3.803326945857566921e-01 6.167111922008199354e-01 1.233422384401639871e+00
-6.272545090180361438e-01 2.475975499244242525e-02 3.799314435369486320e-01 6.163857911543294543e-01 1.232771582308658909e+00
-6.152304609218437470e-01 2.973227507296319003e-02 3.794164750807504372e-01 6.159679172495515775e-01 1.231935834499103155e+00
-6.032064128256513502e-01 3.445569148231628076e-02 3.788293438448454009e-01 6.154911403463459996e-01 1.230982280692691999e+00
-5.911823647294589534e-01 3.832862632191976621e-02 3.782654822396618877e-01 6.150329115093450261e-01 1.230065823018690052e+00
-5.791583166332665567e-01 4.061811372899014339e-02 3.778699890755184976e-01 6.147113054723480907e-01 1.229422610944696181e+00
-5.671342685370741599e-01 4.054517219706089276e-02 3.777951849800212369e-01 6.146504575610606258e-01 1.229300915122121252e+00
-5.551102204408817631e-01 3.744277532808030357e-02 3.781074149950374164e-01 6.149043950038390882e-01 1.229808790007678176e+00
