# X mu var std 2std
-1.000000000000000000e+00 -1.733400630129763170e-02 4.004749639521731908e-01 6.328309126079202374e-01 1.265661825215840475e+00
-9.879759519038076032e-01 -1.802588655398409956e-02 4.069343551880201804e-01 6.379140656765769357e-01 1.275828131353153871e+00
-9.759519038076152064e-01 -2.113817047416785555e-02 4.050690762709093229e-01 6.364503721979501982e-01 1.272900744395900396e+00
-9.639278557114228096e-01 -2.494096753975951625e-02 3.936752735093678734e-01 6.274354735822385010e-01 1.254870947164477002e+00
-9.519038076152304129e-01 -2.566823538162426796e-02 3.853258794458704894e-01 6.207462278949993362e-01 1.241492455789998672e+00
-9.398797595190381271e-01 -2.169689784074201738e-02 3.924812159084243857e-01 6.264832127905937131e-01 1.252966425581187426e+00
-9.278557114228457303e-01 -1.576222425493523441e-02 4.132360359203839928e-01 6.428343767413065013e-01 1.285668753482613003e+00
-9.158316633266533335e-01 -1.222309616853122644e-02 4.318684965630664174e-01 6.571670233381057269e-01 1.314334046676211454e+00
-9.038076152304609368e-01 -1.209664990766007135e-02 4.294019246355650354e-01 6.552876655603743217e-01 1.310575331120748643e+00
-8.917835671342685400e-01 -1.286676938554190235e-02 4.026374841750763878e-01 6.345372204804666794e-01 1.269074440960933359e+00
-8.797595190380761432e-01 -1.189706800264095712e-02 3.743718519882078821e-01 6.118593400351161060e-01 1.223718680070232212e+00
-8.677354709418837464e-01 -7.669405968984734263e-03 3.668869737993808444e-01 6.057119561304538102e-01 1.211423912260907620e+00
-8.557114228456913496e-01 -5.315104399029428606e-04 3.738651283161692485e-01 6.114451147209938320e-01 1.222890229441987664e+00
-8.436873747494990639e-01 6.333220740000734816e-03 3.767117415940163805e-01 6.137684755622565547e-01 1.227536951124513109e+00
-8.316633266533066671e-01 9.776403716973415883e-03 3.722005080718088221e-01 6.100823781029974802e-01 1.220164756205994960e+00
-8.196392785571142703e-01 1.042593844309277172e-02 3.713052156018308847e-01 6.093481891347760637e-01 1.218696378269552127e+00
-8.076152304609218735e-01 1.127241990024083727e-02 3.784748930889032525e-01 6.152031315662358502e-01 1.230406263132471700e+00
-7.955911823647294767e-01 1.397714807535598881e-02 3.850450518742931649e-01 6.205199850724335553e-01 1.241039970144867111e+00
-7.835671342685370799e-01 1.815829926218963039e-02 3.884676187778757228e-01 6.232717054205779705e-01 1.246543410841155941e+00
-7.715430861723446831e-01 2.218658184824556096e-02 3.961188238827271224e-01 6.293797135932545084e-01 1.258759427186509017e+00
-7.595190380761522864e-01 2.378760019618838401e-02 4.077976308053963272e-01 6.385903466271599660e-01 1.277180693254319932e+00
-7.474949899799598896e-01 2.200578920308289207e-02 4.157930916088133366e-01 6.448202009931244261e-01 1.289640401986248852e+00
-7.354709418837674928e-01 1.844406147866258991e-02 4.152232058885410582e-01 6.443781544159772334e-01 1.288756308831954467e+00
-7.234468937875750960e-01 1.452006165727228251e-02 4.118300042971062558e-01 6.417398260176052638e-01 1.283479652035210528e+00
-7.114228456913826992e-01 8.848035053486929050e-03 4.130592640499022306e-01 6.426968679322330180e-01 1.285393735864466036e+00
-6.993987975951903024e-01 2.530836582020937154e-04 4.197618406549475933e-01 6.478902998617493969e-01 1.295780599723498794e+00
-6.873747494989980167e-01 -7.869944064399904057e-03 4.261831614203664964e-01 6.528270532234141665e-01 1.305654106446828333e+00
-6.753507014028056199e-01 -9.372857476798689136e-03 4.212283354905417831e-01 6.490210593582782517e-01 1.298042118716556503e+00
-6.633266533066132231e-01 -1.268117682356190027e-03 4.086378696354818763e-01 6.392478937278416318e-01 1.278495787455683264e+00
-6.513026052104208263e-01 1.342043067580455176e-02 4.109416593673228535e-01 6.410473144529371670e-01 1.282094628905874334e+00
-6.392785571142285406e-01 2.823539255946937859e-02 4.324946893878978682e-01 6.576432843022863572e-01 1.315286568604572714e+00
-6.272545090180361438e-01 3.851378642385804713e-02 4.503944418775531755e-01 6.711143284698615208e-01 1.342228656939723042e+00
-6.152304609218437470e-01 4.373875377566907585e-02 4.468748180872571529e-01 6.684869617930159214e-01 1.336973923586031843e+00
-6.032064128256513502e-01 4.502009422094832569e-02 4.280945257133770832e-01 6.542893287478996900e-01 1.308578657495799380e+00
-5.911823647294589534e-01 4.277031676916309699e-02 4.117084878523704083e-01 6.416451416884338954e-01 1.283290283376867791e+00
-5.791583166332665567e-01 3.726478415457360610e-02 4.005977838225105447e-01 6.329279452058587108e-01 1.265855890411717422e+00
-5.671342685370741599e-01 2.919336374877914975e-02 3.868574121048353742e-01 6.219786267267030100e-01 1.243957253453406020e+00
-5.551102204408817631e-01 1.886222178884828723e-02 3.747214083372226723e-01 6.121449242926242373e-01 1.224289848585248475e+00
-5.430861723446893663e-01 5.381660627676508775e-03 3.692997134581532115e-01 6.077003484104260833e-01 1.215400696820852167e+00
-5.310621242484969695e-01 -1.181684958303985504e-02 3.670568142967410297e-01 6.058521389718295458e-01 1.211704277943659092e+00
-5.190380761523045727e-01 -2.936373738073553077e-02 3.670155131321183872e-01 6.058180528278424015e-01 1.211636105655684803e+00
-5.070140280561121759e-01 -3.942239507877254301e-02 3.672741065587752374e-01 6.060314402395103883e-01 1.212062880479020777e+00
-4.949899799599198902e-01 -3.456406335001056818e-02 3.678964398730160124e-01 6.065446726111902720e-01 1.213089345222380544e+00
-4.829659318637274934e-01 -1.304159879884814362e-02 3.719631293683487994e-01 6.098878006390592299e-01 1.219775601278118460e+00
-4.709418837675350966e-01 2.142414813875735680e-02 3.718234326041205962e-01 6.097732632742440817e-01 1.219546526548488163e+00
-4.589178356713426998e-01 6.587484955440740808e-02 3.617937145094617946e-01 6.014929047872982215e-01 1.202985809574596443e+00
-4.468937875751503030e-01 1.227074761741765996e-01 3.516333782085411808e-01 5.929868280227994504e-01 1.185973656045598901e+00
-4.348697394789579063e-01 1.950120338044386559e-01 3.493624581758822401e-01 5.910689115288353390e-01 1.182137823057670678e+00
-4.228456913827655095e-01 2.790197408012876634e-01 3.528699180685667680e-01 5.940285498766593175e-01 1.188057099753318635e+00
-4.108216432865731127e-01 3.640408378728233751e-01 3.533287019360067394e-01 5.944145875868178663e-01 1.188829175173635733e+00
-3.987975951903807159e-01 4.365115274513680643e-01 3.442816344370183135e-01 5.867551741885351779e-01 1.173510348377070356e+00
-3.867735470941884302e-01 4.827408107275029114e-01 3.229673194333455011e-01 5.683021374527333913e-01 1.136604274905466783e+00
-3.747494989979960334e-01 4.950348547635612384e-01 2.926071242837270381e-01 5.409317186888997764e-01 1.081863437377799553e+00
