# X mu var std 2std
0.000000000000000000e+00 -9.350006370674205369e-01 4.842893974907241948e-06 2.200657623281559571e-03 4.401315246563119142e-03
1.002004008016032024e-02 -9.313895293625349403e-01 2.875448183352023938e-06 1.695714652691314049e-03 3.391429305382628098e-03
2.004008016032064049e-02 -9.278142001123100835e-01 1.832351958723331013e-06 1.353643955670519360e-03 2.707287911341038720e-03
3.006012024048096073e-02 -9.241985774367298401e-01 1.326971068247298085e-06 1.151942302481898670e-03 2.303884604963797340e-03
4.008016032064128098e-02 -9.204686976348386285e-01 1.110584183303683880e-06 1.053842579944312121e-03 2.107685159888624243e-03
5.010020040080159776e-02 -9.165530484677437695e-01 1.032891714445614402e-06 1.016312803444694574e-03 2.032625606889389147e-03
6.012024048096192147e-02 -9.123828908579502128e-01 1.011080358141213362e-06 1.005524916718235004e-03 2.011049833436470008e-03
7.014028056112224518e-02 -9.078925564871584974e-01 1.006261099547359072e-06 1.003125664883198521e-03 2.006251329766397043e-03
8.016032064128256196e-02 -9.030197189708377703e-01 1.006098559909067473e-06 1.003044645022876068e-03 2.006089290045752135e-03
9.018036072144287874e-02 -8.977056365066480303e-01 1.012496571709196966e-06 1.006228886342067303e-03 2.012457772684134606e-03
1.002004008016031955e-01 -8.918953641359428364e-01 1.033289249459136101e-06 1.016508361726127735e-03 2.033016723452255470e-03
1.102204408817635123e-01 -8.855379340191771309e-01 1.076998880548578330e-06 1.037785565783499531e-03 2.075571131566999062e-03
1.202404809619238429e-01 -8.785865024059853479e-01 1.149851649579438764e-06 1.072311358505279770e-03 2.144622717010559541e-03
1.302605210420841597e-01 -8.709984622759638917e-01 1.254380162007617200e-06 1.119991143718385585e-03 2.239982287436771170e-03
1.402805611222444904e-01 -8.627355209334569563e-01 1.389079334683857305e-06 1.178592098515791452e-03 2.357184197031582905e-03
1.503006012024047933e-01 -8.537637421581408814e-01 1.548712119454860199e-06 1.244472627041213813e-03 2.488945254082427627e-03
1.603206412825651239e-01 -8.440535528353007022e-01 1.724977901713001830e-06 1.313384140955342139e-03 2.626768281910684278e-03
1.703406813627254268e-01 -8.335797143194955128e-01 1.907355026366559712e-06 1.381070246716856881e-03 2.762140493433713762e-03
1.803607214428857575e-01 -8.223212591104834823e-01 2.084007234445742257e-06 1.443609100291953122e-03 2.887218200583906245e-03
1.903807615230460881e-01 -8.102613937460561022e-01 2.242701076676259058e-06 1.497565049230336134e-03 2.995130098460672269e-03
2.004008016032063910e-01 -7.973873691334705249e-01 2.371718149075392464e-06 1.540038359611666484e-03 3.080076719223332968e-03
2.104208416833667217e-01 -7.836903198490533518e-01 2.460764438766722126e-06 1.568682389385028407e-03 3.137364778770056813e-03
2.204408817635270246e-01 -7.691650742304070310e-01 2.501882108463536270e-06 1.581733893062779424e-03 3.163467786125558848e-03
2.304609218436873552e-01 -7.538099373639209899e-01 2.490360442220418496e-06 1.578087590161084434e-03 3.156175180322168868e-03
2.404809619238476859e-01 -7.376264493295353608e-01 2.425626747803157753e-06 1.557442373830620350e-03 3.114884747661240700e-03
2.505010020040079888e-01 -7.206191213015757935e-01 2.312078763754703816e-06 1.520552124642461601e-03 3.041104249284923202e-03
2.605210420841683194e-01 -7.027951523171838133e-01 2.159801765829851308e-06 1.469626403488264637e-03 2.939252806976529273e-03
