# X mu var std 2std
-4.000000000000000000e+00 -9.834181108818749184e-01 4.030044352919323614e-01 6.348263032451729737e-01 1.269652606490345947e+00
-3.967935871743486942e+00 -9.869855326193741618e-01 4.005361108383094226e-01 6.328792229472456343e-01 1.265758445894491269e+00
-3.935871743486973884e+00 -9.906278002454669274e-01 3.979366004846331961e-01 6.308221623283642998e-01 1.261644324656728600e+00
-3.903807615230460826e+00 -9.943408538939204622e-01 3.952021300483632427e-01 6.286510399644330560e-01 1.257302079928866112e+00
-3.871743486973947768e+00 -9.981204194939470309e-01 3.923290830328301504e-01 6.263617828642087382e-01 1.252723565728417476e+00
-3.839679358717434710e+00 -1.001962006431028618e+00 3.893140263110316801e-01 6.239503396192934703e-01 1.247900679238586941e+00
-3.807615230460921651e+00 -1.005860905350402845e+00 3.861537364674330064e-01 6.214126941634142698e-01 1.242825388326828540e+00
-3.775551102204409037e+00 -1.009812186117767574e+00 3.828452266526237713e-01 6.187448801021497857e-01 1.237489760204299571e+00
-3.743486973947895979e+00 -1.013810695953289320e+00 3.793857737907870842e-01 6.159429955692223846e-01 1.231885991138444769e+00
-3.711422845691382921e+00 -1.017851057757183764e+00 3.757729459655905213e-01 6.130032185605476247e-01 1.226006437121095249e+00
-3.679358717434869863e+00 -1.021927668646954057e+00 3.720046297964609838e-01 6.099218226924341124e-01 1.219843645384868225e+00
-3.647294589178356805e+00 -1.026034698728528038e+00 3.680790576045406270e-01 6.066951933257265228e-01 1.213390386651453046e+00
-3.615230460921843747e+00 -1.030166090125418155e+00 3.639948341561029532e-01 6.033198439933025181e-01 1.206639687986605036e+00
-3.583166332665330689e+00 -1.034315556292368932e+00 3.597509627610652738e-01 5.997924330641937196e-01 1.199584866128387439e+00
-3.551102204408817631e+00 -1.038476581641678331e+00 3.553468704956999624e-01 5.961097805737630706e-01 1.192219561147526141e+00
-3.519038076152304573e+00 -1.042642421512829820e+00 3.507824323119214105e-01 5.922688851458612902e-01 1.184537770291722580e+00
-3.486973947895791515e+00 -1.046806102517704673e+00 3.460579937907733439e-01 5.882669409296882312e-01 1.176533881859376462e+00
-3.454909819639278457e+00 -1.050960423295737911e+00 3.411743922952444885e-01 5.841013544713318240e-01 1.168202708942663648e+00
-3.422845691382765843e+00 -1.055097955715216695e+00 3.361329762773399565e-01 5.797697614375382225e-01 1.159539522875076445e+00
-3.390781563126252784e+00 -1.059211046558565350e+00 3.309356224967328064e-01 5.752700431073504150e-01 1.150540086214700830e+00
-3.358717434869739726e+00 -1.063291819730891596e+00 3.255847509132728801e-01 5.706003425457023548e-01 1.141200685091404710e+00
-3.326653306613226668e+00 -1.067332179032666639e+00 3.200833370234571484e-01 5.657590803720760064e-01 1.131518160744152013e+00
-3.294589178356713610e+00 -1.071323811538267279e+00 3.144349214214806065e-01 5.607449700367187484e-01 1.121489940073437497e+00
-3.262525050100200552e+00 -1.075258191623275073e+00 3.086436163789982312e-01 5.555570325169129076e-01 1.111114065033825815e+00
-3.230460921843687494e+00 -1.079126585683782613e+00 3.027141092540177048e-01 5.501946103462098669e-01 1.100389220692419734e+00
-3.198396793587174436e+00 -1.082920057591533425e+00 2.966516625585184364e-01 5.446573808905176284e-01 1.089314761781035257e+00
-3.166332665330661378e+00 -1.086629474928610062e+00 2.904621105363311973e-01 5.389453687864208531e-01 1.077890737572841706e+00
-3.134268537074148320e+00 -1.090245516045027951e+00 2.841518521273768139e-01 5.330589574590945956e-01 1.066117914918189191e+00
-3.102204408817635262e+00 -1.093758677981763183e+00 2.777278402214627961e-01 5.269988996397078074e-01 1.053997799279415615e+00
-3.070140280561122204e+00 -1.097159285300995712e+00 2.711975671342188865e-01 5.207663268052369343e-01 1.041532653610473869e+00
-3.038076152304609145e+00 -1.100437499863384794e+00 2.645690462692110168e-01 5.143627574671507663e-01 1.028725514934301533e+00
-3.006012024048096087e+00 -1.103583331590244132e+00 2.578507899634917555e-01 5.077901042394306064e-01 1.015580208478861213e+00
-2.973947895791583029e+00 -1.106586650246318859e+00 2.510517835485939209e-01 5.010506796209280855e-01 1.002101359241856171e+00
-2.941883767535069971e+00 -1.109437198275585512e+00 2.441814556947934367e-01 4.941472004320103806e-01 9.882944008640207612e-01
-2.909819639278556913e+00 -1.112124604719416876e+00 2.372496451430602393e-01 4.870827908508575388e-01 9.741655817017150776e-01
-2.877755511022043855e+00 -1.114638400241867444e+00 2.302665639660239350e-01 4.798609840005998439e-01 9.597219680011996878e-01
-2.845691382765531241e+00 -1.116968033283484152e+00 2.232427575361236594e-01 4.724857220447234440e-01 9.449714440894468881e-01
-2.813627254509018183e+00 -1.119102887358925713e+00 2.161890614153672563e-01 4.649613547547443715e-01 9.299227095094887430e-01
-2.781563126252505125e+00 -1.121032299509092223e+00 2.091165554164065854e-01 4.572926365210865374e-01 9.145852730421730747e-01
-2.749498997995992067e+00 -1.122745579912172165e+00 2.020365151184246866e-01 4.494847217853179533e-01 8.989694435706359066e-01
-2.717434869739479009e+00 -1.124232032651531821e+00 1.949603611531970926e-01 4.415431588793977680e-01 8.830863177587955359e-01
-2.685370741482965951e+00 -1.125480977631858170e+00 1.878996066061445480e-01 4.334738822652923762e-01 8.669477645305847524e-01
-2.653306613226453337e+00 -1.126481773627175942e+00 1.808658029038618664e-01 4.252832031762621701e-01 8.505664063525243401e-01
-2.621242484969940278e+00 -1.127223842436917867e+00 1.738704845829301682e-01 4.169777986691020066e-01 8.339555973382040133e-01
-2.589178356713427220e+00 -1.127696694118204057e+00 1.669251133546341415e-01 4.085646991048469956e-01 8.171293982096939912e-01
-2.557114228456914162e+00 -1.127889953253458977e+00 1.600410218959210373e-01 4.000512740836117409e-01 8.001025481672234818e-01
-2.525050100200401104e+00 -1.127793386204506643e+00 1.532293578084194252e-01 3.914452168674684707e-01 7.828904337349369413e-01
-2.492985971943888046e+00 -1.127396929294585348e+00 1.465010281942412396e-01 3.827545273334350129e-01 7.655090546668700258e-01
-2.460921843687374988e+00 -1.126690717850803214e+00 1.398666452994595244e-01 3.739874935067475370e-01 7.479749870134950740e-01
-2.428857715430861930e+00 -1.125665116029887169e+00 1.333364736733858025e-01 3.651526717325039861e-01 7.303053434650079723e-01
-2.396793587174348872e+00 -1.124310747341233929e+00 1.269203792841289702e-01 3.562588655516223946e-01 7.125177311032447891e-01
-2.364729458917835814e+00 -1.122618525770612719e+00 1.206277810181204252e-01 3.473151033544616961e-01 6.946302067089233923e-01
-2.332665330661322756e+00 -1.120579687399709368e+00 1.144676049737502893e-01 3.383306148928150181e-01 6.766612297856300362e-01
-2.300601202404809698e+00 -1.118185822406248420e+00 1.084482419367946426e-01 3.293148067378608435e-01 6.586296134757216869e-01
-2.268537074148296639e+00 -1.115428907320765051e+00 1.025775083982335550e-01 3.202772367781287488e-01 6.405544735562574976e-01
-2.236472945891783581e+00 -1.112301337407322066e+00 9.686261144380234334e-02 3.112275878578285027e-01 6.224551757156570053e-01
-2.204408817635270523e+00 -1.108795959026394051e+00 9.131011780908712683e-02 3.021756406613331225e-01 6.043512813226662450e-01
-2.172344689378757465e+00 -1.104906101830593013e+00 8.592592735511278557e-02 2.931312459549694216e-01 5.862624919099388432e-01
-2.140280561122244407e+00 -1.100625610635710627e+00 8.071525117706443431e-02 2.841042963016652823e-01 5.682085926033305645e-01
-2.108216432865731349e+00 -1.095948876803022332e+00 7.568259451406700311e-02 2.751046973682328978e-01 5.502093947364657955e-01
-2.076152304609218291e+00 -1.090870868962156903e+00 7.083174458089404324e-02 2.661423389483417723e-01 5.322846778966835446e-01
-2.044088176352705677e+00 -1.085387162898404423e+00 6.616576339402821527e-02 2.572270658271174626e-01 5.144541316542349252e-01
-2.012024048096192619e+00 -1.079493970423226479e+00 6.168698561501117367e-02 2.483686486153418860e-01 4.967372972306837720e-01
-1.979959919839679561e+00 -1.073188167043642949e+00 5.739702138434801121e-02 2.395767546828114491e-01 4.791535093656228983e-01
-1.947895791583166503e+00 -1.066467318242427353e+00 5.329676406973387487e-02 2.308609193209926469e-01 4.617218386419852938e-01
-1.915831663326653445e+00 -1.059329704179885701e+00 4.938640280401968702e-02 2.222305172653379901e-01 4.444610345306759802e-01
-1.883767535070140386e+00 -1.051774342627195935e+00 4.566543964144238743e-02 2.136947347068766379e-01 4.273894694137532757e-01
-1.851703406813627328e+00 -1.043801009941739633e+00 4.213271111602186203e-02 2.052625419213692237e-01 4.105250838427384474e-01
-1.819639278557114270e+00 -1.035410259896590857e+00 3.878641394417898375e-02 1.969426666422971484e-01 3.938853332845942967e-01
-1.787575150300601212e+00 -1.026603440179814308e+00 3.562413457507224157e-02 1.887435683012066157e-01 3.774871366024132313e-01
-1.755511022044088154e+00 -1.017382706382958357e+00 3.264288225740006461e-02 1.806734132555204153e-01 3.613468265110408306e-01
-1.723446893787575540e+00 -1.007751033304528976e+00 2.983912526094347276e-02 1.727400511200094246e-01 3.454801022400188493e-01
-1.691382765531062482e+00 -9.977122234012207880e-01 2.720882986517595206e-02 1.649509923134018508e-01 3.299019846268037015e-01
-1.659318637274549424e+00 -9.872709122279329508e-01 2.474750170630359014e-02 1.573133869265536666e-01 3.146267738531073332e-01
-1.627254509018036366e+00 -9.764325707182390790e-01 2.245022905820850609e-02 1.498340050129092216e-01 2.996680100258184432e-01
-1.595190380761523308e+00 -9.652035041676834126e-01 2.031172761218111300e-02 1.425192183959100856e-01 2.850384367918201711e-01
-1.563126252505010250e+00 -9.535908477953638496e-01 1.832638631508121813e-02 1.353749840815548222e-01 2.707499681631096444e-01
-1.531062124248497192e+00 -9.416025587737909541e-01 1.648831382570741660e-02 1.284068293577386721e-01 2.568136587154773443e-01
-1.498997995991984133e+00 -9.292474046315100100e-01 1.479138515446183633e-02 1.216198386549737082e-01 2.432396773099474163e-01
-1.466933867735471075e+00 -9.165349479507975961e-01 1.322928806186977196e-02 1.150186422362469568e-01 2.300372844724939136e-01
-1.434869739478958017e+00 -9.034755272998044040e-01 1.179556880683641819e-02 1.086074067770537444e-01 2.172148135541074887e-01
