# X mu var std 2std
0.000000000000000000e+00 -3.018270783424198411e-02 3.671021476904756144e-03 6.058895507355079035e-02 1.211779101471015807e-01
4.008016032064127925e-03 -1.956305669966318384e-02 3.670854423145020629e-03 6.058757647525622042e-02 1.211751529505124408e-01
8.016032064128255849e-03 -9.000709888737218334e-03 3.670692237056545539e-03 6.058623801703275774e-02 1.211724760340655155e-01
1.202404809619238291e-02 1.543509020584810099e-03 3.670533594414613146e-03 6.058492877287727923e-02 1.211698575457545585e-01
1.603206412825651170e-02 1.210894744331930672e-02 3.670377416177228371e-03 6.058363983929348356e-02 1.211672796785869671e-01
2.004008016032064049e-02 2.273516853542589811e-02 3.670222876629651142e-03 6.058236440276700691e-02 1.211647288055340138e-01
2.404809619238476581e-02 3.346199736725080642e-02 3.670069414803340310e-03 6.058109783425305594e-02 1.211621956685061119e-01
2.805611222444889460e-02 4.432956718044728239e-02 3.669916750974980182e-03 6.057983782559161340e-02 1.211596756511832268e-01
3.206412825651302340e-02 5.537836413691898940e-02 3.669764909144917608e-03 6.057858457528467189e-02 1.211571691505693438e-01
3.607214428857714872e-02 6.664926849727456637e-02 3.669614245516514099e-03 6.057734102382271446e-02 1.211546820476454289e-01
4.008016032064128098e-02 7.818358948995063340e-02 3.669465482103776831e-03 6.057611313136372633e-02 1.211522262627274527e-01
4.408817635270540630e-02 9.002309023590562842e-02 3.669319743657281467e-03 6.057491018282471634e-02 1.211498203656494327e-01
4.809619238476953162e-02 1.022099979861531560e-01 3.669178595104192423e-03 6.057374509722997236e-02 1.211474901944599447e-01
5.210420841683366389e-02 1.147869936099304156e-01 3.669044075684908639e-03 6.057263470978382913e-02 1.211452694195676583e-01
5.611222444889778921e-02 1.277971727344328901e-01 3.668918725015050779e-03 6.057159998724691991e-02 1.211431999744938398e-01
6.012024048096192147e-02 1.412839692187001228e-01 3.668805595557399213e-03 6.057066613103573305e-02 1.211413322620714661e-01
6.412825651302604679e-02 1.552910297631444614e-01 3.668708245667168157e-03 6.056986251979748492e-02 1.211397250395949698e-01
6.813627254509017905e-02 1.698620264902610810e-01 3.668630707747073602e-03 6.056922244628103191e-02 1.211384448925620638e-01
7.214428857715429744e-02 1.850403923547587204e-01 3.668577427423377630e-03 6.056878261467187052e-02 1.211375652293437410e-01
7.615230460921842970e-02 2.008689624109211702e-01 3.668553172298622597e-03 6.056858238640411285e-02 1.211371647728082257e-01
8.016032064128256196e-02 2.173895024452588420e-01 3.668562912894307668e-03 6.056866279598970698e-02 1.211373255919794140e-01
8.416833667334668034e-02 2.346421055242861597e-01 3.668611683741130995e-03 6.056906540257271654e-02 1.211381308051454331e-01
8.817635270541081260e-02 2.526644369219913644e-01 3.668704438618761166e-03 6.056983109286966788e-02 1.211396621857393358e-01
9.218436873747494487e-02 2.714908090147409858e-01 3.668845919501399939e-03 6.057099899705634116e-02 1.211419979941126823e-01
9.619238476953906325e-02 2.911510705201658666e-01 3.669040561861809397e-03 6.057260570473924771e-02 1.211452114094784954e-01
1.002004008016031955e-01 3.116692993279129853e-01 3.669292456963133778e-03 6.057468495141459658e-02 1.211493699028291932e-01
1.042084168336673278e-01 3.330622956250469668e-01 3.669605381521112708e-03 6.057726786114666501e-02 1.211545357222933300e-01
1.082164328657314600e-01 3.553378824635928801e-01 3.669982883844211813e-03 6.058038365547226828e-02 1.211607673109445366e-01
1.122244488977955784e-01 3.784930347046185917e-01 3.670428381982238260e-03 6.058406046133123224e-02 1.211681209226624645e-01
1.162324649298597107e-01 4.025118745572684453e-01 3.670945185499281845e-03 6.058832548849061445e-02 1.211766509769812289e-01
1.202404809619238429e-01 4.273635925856217321e-01 3.671536305491343143e-03 6.059320345955759857e-02 1.211864069191151971e-01
1.242484969939879613e-01 4.530003765715859831e-01 3.672203881638017552e-03 6.059871188101292883e-02 1.211974237620258577e-01
1.282565130260520936e-01 4.793554559671511228e-01 3.672948052163167981e-03 6.060485172131987314e-02 1.212097034426397463e-01
1.322645290581162258e-01 5.063413951469576402e-01 3.673765149767511170e-03 6.061159253614370468e-02 1.212231850722874094e-01
1.362725450901803581e-01 5.338487919144826455e-01 3.674645250515923365e-03 6.061885226986669928e-02 1.212377045397333986e-01
1.402805611222444904e-01 5.617455555267585332e-01 3.675569348548953647e-03 6.062647399073241294e-02 1.212529479814648259e-01
1.442885771543085949e-01 5.898769470325844200e-01 3.676506766065718631e-03 6.063420458838161831e-02 1.212684091767632366e-01
1.482965931863727271e-01 6.180665596069941925e-01 3.677413781029688009e-03 6.064168352733693979e-02 1.212833670546738796e-01
1.523046092184368594e-01 6.461183933084594377e-01 3.678234755673083847e-03 6.064845221168536915e-02 1.212969044233707383e-01
1.563126252505009917e-01 6.738201332722680847e-01 3.678907116344431408e-03 6.065399505675146685e-02 1.213079901135029337e-01
