# X mu var std 2std
0.000000000000000000e+00 -3.008129531934324377e-02 3.842737822942759226e-03 6.198982031707108570e-02 1.239796406341421714e-01
4.008016032064127925e-03 -1.963804441688054431e-02 3.796698466654333925e-03 6.161735523904230544e-02 1.232347104780846109e-01
8.016032064128255849e-03 -9.159125995342619689e-03 3.754610589206257808e-03 6.127487730878176247e-02 1.225497546175635249e-01
1.202404809619238291e-02 1.203710908501133461e-03 3.724175349450545465e-03 6.102602190418891792e-02 1.220520438083778358e-01
1.603206412825651170e-02 1.169168319301664913e-02 3.702810720899467681e-03 6.085072490036144005e-02 1.217014498007228801e-01
2.004008016032064049e-02 2.239840193412995575e-02 3.682932579437479207e-03 6.068716980909127229e-02 1.213743396181825446e-01
2.404809619238476581e-02 3.305556578479063728e-02 3.674634904555275708e-03 6.061876693364254970e-02 1.212375338672850994e-01
2.805611222444889460e-02 4.389155478741797040e-02 3.661123436624999679e-03 6.050721805392311747e-02 1.210144361078462349e-01
3.206412825651302340e-02 5.478745128367095568e-02 3.655700482330089072e-03 6.046238898960318991e-02 1.209247779792063798e-01
3.607214428857714872e-02 6.584951722132639795e-02 3.652333522462361363e-03 6.043453915156763584e-02 1.208690783031352717e-01
4.008016032064128098e-02 7.732108855749654508e-02 3.647767432955916454e-03 6.039675018538594176e-02 1.207935003707718835e-01
4.408817635270540630e-02 8.916160191822776471e-02 3.645112675694212653e-03 6.037476853532618148e-02 1.207495370706523630e-01
4.809619238476953162e-02 1.012371800613780515e-01 3.646317028165919297e-03 6.038474168335838249e-02 1.207694833667167650e-01
5.210420841683366389e-02 1.137549266733304670e-01 3.642287733602666590e-03 6.035136894555637871e-02 1.207027378911127574e-01
5.611222444889778921e-02 1.267067513054545014e-01 3.646615669234670905e-03 6.038721445169226154e-02 1.207744289033845231e-01
6.012024048096192147e-02 1.402109172761728806e-01 3.646622726576733212e-03 6.038727288573920299e-02 1.207745457714784060e-01
6.412825651302604679e-02 1.541888631747439509e-01 3.647051303285302800e-03 6.039082134964967458e-02 1.207816426992993492e-01
6.813627254509017905e-02 1.687440306731724793e-01 3.651788548519743077e-03 6.043003018797643566e-02 1.208600603759528713e-01
7.214428857715429744e-02 1.837245704092742571e-01 3.652818164445872234e-03 6.043854866263643349e-02 1.208770973252728670e-01
7.615230460921842970e-02 1.996226957485499887e-01 3.654226674542376818e-03 6.045019995452766831e-02 1.209003999090553366e-01
8.016032064128256196e-02 2.160883818771971165e-01 3.659417291989856217e-03 6.049311772416640642e-02 1.209862354483328128e-01
8.416833667334668034e-02 2.333956895902834228e-01 3.661287166779254518e-03 6.050857101914781239e-02 1.210171420382956248e-01
8.817635270541081260e-02 2.513201215702035030e-01 3.665164611241019440e-03 6.054060299700540076e-02 1.210812059940108015e-01
9.218436873747494487e-02 2.702964270960595550e-01 3.669364654116598172e-03 6.057528088351384760e-02 1.211505617670276952e-01
9.619238476953906325e-02 2.900223344123980529e-01 3.674470627879761198e-03 6.061741192000662248e-02 1.212348238400132450e-01
1.002004008016031955e-01 3.105228481913809291e-01 3.681723905656814760e-03 6.067721076035725858e-02 1.213544215207145172e-01
1.042084168336673278e-01 3.318217970231941427e-01 3.687518057938335859e-03 6.072493769398479985e-02 1.214498753879695997e-01
1.082164328657314600e-01 3.543079996130960585e-01 3.698716416727909021e-03 6.081707339824820452e-02 1.216341467964964090e-01
1.122244488977955784e-01 3.774718164595609049e-01 3.704685488635475494e-03 6.086612759684548180e-02 1.217322551936909636e-01
1.162324649298597107e-01 4.014748022393829219e-01 3.710178217892858444e-03 6.091123228020312030e-02 1.218224645604062406e-01
1.202404809619238429e-01 4.264629595171720022e-01 3.719724712007280165e-03 6.098954592393093094e-02 1.219790918478618619e-01
1.242484969939879613e-01 4.521992391999777317e-01 3.732873272911185238e-03 6.109724439703631549e-02 1.221944887940726310e-01
1.282565130260520936e-01 4.788262649132742910e-01 3.741100941914055674e-03 6.116453990601135315e-02 1.223290798120227063e-01
