# X mu var std 2std
0.000000000000000000e+00 3.056680512170293906e-01 3.589253092172632088e-03 5.991037549684221503e-02 1.198207509936844301e-01
4.008016032064127925e-03 4.905379052566153919e-01 3.588951337199498739e-03 5.990785705731343364e-02 1.198157141146268673e-01
8.016032064128255849e-03 6.604761917623032108e-01 3.588720055574767549e-03 5.990592671493170235e-02 1.198118534298634047e-01
1.202404809619238291e-02 7.969918305999735830e-01 3.589859378325114658e-03 5.991543522603432620e-02 1.198308704520686524e-01
1.603206412825651170e-02 8.891912053131872939e-01 3.593185445533586195e-03 5.994318514671694020e-02 1.198863702934338804e-01
2.004008016032064049e-02 9.386061552150013476e-01 3.598924674482474953e-03 5.999103828475112199e-02 1.199820765695022440e-01
2.404809619238476581e-02 9.577659426323437142e-01 3.608306850231362672e-03 6.006918386520131853e-02 1.201383677304026371e-01
2.805611222444889460e-02 9.631225702410155520e-01 3.621230332304405802e-03 6.017665936477702149e-02 1.203533187295540430e-01
3.206412825651302340e-02 9.673337905967277495e-01 3.633150400713932877e-03 6.027562028477129880e-02 1.205512405695425976e-01
3.607214428857714872e-02 9.757278674777258853e-01 3.640624212221126380e-03 6.033758540264207854e-02 1.206751708052841571e-01
4.008016032064128098e-02 9.876497530794685620e-01 3.647737384491624157e-03 6.039650142592387083e-02 1.207930028518477417e-01
4.408817635270540630e-02 9.999371413606296111e-01 3.660901001369843300e-03 6.050537993740592174e-02 1.210107598748118435e-01
4.809619238476953162e-02 1.009648542653611036e+00 3.679164166293372694e-03 6.065611400587225810e-02 1.213122280117445162e-01
5.210420841683366389e-02 1.015041129654798313e+00 3.693379789450364995e-03 6.077318314396872728e-02 1.215463662879374546e-01
5.611222444889778921e-02 1.015351021781376817e+00 3.694329751716820837e-03 6.078099827838319424e-02 1.215619965567663885e-01
6.012024048096192147e-02 1.010351494136571660e+00 3.681069344159246595e-03 6.067181672044481139e-02 1.213436334408896228e-01
6.412825651302604679e-02 1.000388904163844739e+00 3.662379881656228388e-03 6.051759976780497069e-02 1.210351995356099414e-01
6.813627254509017905e-02 9.870778524426253586e-01 3.649090509568054218e-03 6.040770240265767865e-02 1.208154048053153573e-01
7.214428857715429744e-02 9.740180147211114914e-01 3.642511002004736407e-03 6.035321865488812998e-02 1.207064373097762600e-01
7.615230460921842970e-02 9.655783919738701870e-01 3.633466232984694164e-03 6.027824012846338952e-02 1.205564802569267790e-01
8.016032064128256196e-02 9.608537018530481921e-01 3.617978901958691755e-03 6.014963758792476328e-02 1.202992751758495266e-01
8.416833667334668034e-02 9.425199074793170206e-01 3.603843879312972932e-03 6.003202378158654928e-02 1.200640475631730986e-01
8.817635270541081260e-02 8.694832679847679380e-01 3.594926517401300214e-03 5.995770607187453360e-02 1.199154121437490672e-01
9.218436873747494487e-02 6.908682122027914874e-01 3.590415921369191025e-03 5.992007945062482327e-02 1.198401589012496465e-01
9.619238476953906325e-02 3.863255205712239349e-01 3.590126731630266695e-03 5.991766627323085598e-02 1.198353325464617120e-01
1.002004008016031955e-01 4.717487558301147743e-04 3.590380792480936129e-03 5.991978631871892891e-02 1.198395726374378578e-01
1.042084168336673278e-01 -3.738752800984493918e-01 3.591322473270573429e-03 5.992764364857484927e-02 1.198552872971496985e-01
1.082164328657314600e-01 -6.572734141093770077e-01 3.592495150357509666e-03 5.993742695809947674e-02 1.198748539161989535e-01
1.122244488977955784e-01 -8.284586139420140327e-01 3.596244326912311634e-03 5.996869455734643584e-02 1.199373891146928717e-01
1.162324649298597107e-01 -9.150855498669596688e-01 3.602298382323168655e-03 6.001915012996408838e-02 1.200383002599281768e-01
1.202404809619238429e-01 -9.565526749470059098e-01 3.609051847778545555e-03 6.007538470770325267e-02 1.201507694154065053e-01
1.242484969939879613e-01 -9.793795153987876478e-01 3.618771172895402649e-03 6.015622306042328615e-02 1.203124461208465723e-01
1.282565130260520936e-01 -9.947210410311460027e-01 3.627277999244287506e-03 6.022688767688637312e-02 1.204537753537727462e-01
1.322645290581162258e-01 -1.005536001095401311e+00 3.632308375139487507e-03 6.026863508608343994e-02 1.205372701721668799e-01
1.362725450901803581e-01 -1.012540552052723086e+00 3.641312855513834969e-03 6.034329171924444207e-02 1.206865834384888841e-01
1.402805611222444904e-01 -1.016487333746681765e+00 3.658589874213613244e-03 6.048627839612562285e-02 1.209725567922512457e-01
1.442885771543085949e-01 -1.018314700730834854e+00 3.676133547592118182e-03 6.063112688703813091e-02 1.212622537740762618e-01
1.482965931863727271e-01 -1.018749023059139169e+00 3.681573266234660670e-03 6.067596942970635704e-02 1.213519388594127141e-01
1.523046092184368594e-01 -1.018030067274547257e+00 3.670808076517748098e-03 6.058719399772321407e-02 1.211743879954464281e-01
1.563126252505009917e-01 -1.015878513841556696e+00 3.651538534258840039e-03 6.042796152658833769e-02 1.208559230531766754e-01
1.603206412825651239e-01 -1.011667912782265422e+00 3.635513120222162893e-03 6.029521639584821402e-02 1.205904327916964280e-01
1.643286573146292562e-01 -1.004735184592018049e+00 3.627530249843895910e-03 6.022898180978901450e-02 1.204579636195780290e-01
1.683366733466933607e-01 -9.946586478236100204e-01 3.622658525329572332e-03 6.018852486420955827e-02 1.203770497284191165e-01
1.723446893787574929e-01 -9.810640845078706374e-01 3.615131683143680240e-03 6.012596513274177934e-02 1.202519302654835587e-01
1.763527054108216252e-01 -9.622322062360626482e-01 3.606553561345936069e-03 6.005458817897210699e-02 1.201091763579442140e-01
1.803607214428857575e-01 -9.320331903423009212e-01 3.600653763093631353e-03 6.000544777846117395e-02 1.200108955569223479e-01
1.843687374749498897e-01 -8.762860487486039407e-01 3.596137747596192535e-03 5.996780592614834454e-02 1.199356118522966891e-01
1.883767535070140220e-01 -7.723283073674878096e-01 3.592203219432269640e-03 5.993499161118043955e-02 1.198699832223608791e-01
1.923847695390781265e-01 -5.966107028963616443e-01 3.590682961306484490e-03 5.992230771012148349e-02 1.198446154202429670e-01
1.963927855711422588e-01 -3.404377115616477600e-01 3.590030865572089828e-03 5.991686628631449213e-02 1.198337325726289843e-01
2.004008016032063910e-01 -2.439859717980855103e-02 3.588973603844438937e-03 5.990804289779828179e-02 1.198160857955965636e-01
