# X mu var std 2std
0.000000000000000000e+00 2.735679178128045397e-01 8.846624329328407754e-02 2.974327542374646804e-01 5.948655084749293609e-01
4.008016032064127925e-03 4.515557738064290838e-01 6.697949880822121060e-02 2.588039775741887705e-01 5.176079551483775409e-01
8.016032064128255849e-03 6.234977577803283433e-01 4.462982422476666905e-02 2.112577199175610376e-01 4.225154398351220753e-01
1.202404809619238291e-02 7.670194027402770232e-01 2.222959913445616761e-02 1.490959393627343810e-01 2.981918787254687619e-01
1.603206412825651170e-02 8.688037929210122856e-01 1.016202166941522836e-02 1.008068532859508898e-01 2.016137065719017796e-01
2.004008016032064049e-02 9.264011336091848570e-01 5.207674133861252622e-03 7.216421643627299320e-02 1.443284328725459864e-01
2.404809619238476581e-02 9.536890255540673156e-01 3.760126685236104757e-03 6.131987186252189914e-02 1.226397437250437983e-01
2.805611222444889460e-02 9.628528101405020578e-01 3.590596006078779125e-03 5.992158213931587235e-02 1.198431642786317447e-01
3.206412825651302340e-02 9.679868129103621488e-01 3.652775657677344908e-03 6.043819700882335777e-02 1.208763940176467155e-01
3.607214428857714872e-02 9.758274726675633115e-01 3.838045924622625858e-03 6.195196465506663808e-02 1.239039293101332762e-01
4.008016032064128098e-02 9.870293402663693483e-01 4.221240149491298048e-03 6.497107163570028932e-02 1.299421432714005786e-01
4.408817635270540630e-02 9.989187627339509712e-01 4.875187587027205068e-03 6.982254354452582801e-02 1.396450870890516560e-01
4.809619238476953162e-02 1.008483674954256948e+00 5.587536621119463739e-03 7.474982689691972437e-02 1.494996537938394487e-01
5.210420841683366389e-02 1.013628556023671301e+00 6.098568622356035154e-03 7.809333276507050836e-02 1.561866655301410167e-01
5.611222444889778921e-02 1.014039264249316119e+00 6.131461295729079622e-03 7.830364803589344447e-02 1.566072960717868889e-01
6.012024048096192147e-02 1.009160000642924437e+00 5.652266215549182210e-03 7.518155502215408126e-02 1.503631100443081625e-01
6.412825651302604679e-02 9.993102300008638306e-01 4.871805609788408022e-03 6.979832096682847542e-02 1.395966419336569508e-01
6.813627254509017905e-02 9.860232283620575799e-01 4.151493423475555861e-03 6.443208380516306233e-02 1.288641676103261247e-01
7.214428857715429744e-02 9.735788332405679313e-01 3.753565919873333261e-03 6.126635226511639720e-02 1.225327045302327944e-01
7.615230460921842970e-02 9.651873247704704228e-01 3.588240093446653112e-03 5.990192061567519571e-02 1.198038412313503914e-01
8.016032064128256196e-02 9.607889937535093461e-01 3.564401608825644441e-03 5.970260973211844596e-02 1.194052194642368919e-01
8.416833667334668034e-02 9.430866557972311659e-01 3.663581522577054068e-03 6.052752698216782440e-02 1.210550539643356488e-01
8.817635270541081260e-02 8.692773783283612721e-01 4.656436857995646661e-03 6.823808949549838021e-02 1.364761789909967604e-01
9.218436873747494487e-02 6.870986957554869878e-01 7.895937650103398639e-03 8.885908873099812588e-02 1.777181774619962518e-01
9.619238476953906325e-02 3.886176161957118347e-01 1.333755365059407019e-02 1.154883269018738140e-01 2.309766538037476280e-01
1.002004008016031955e-01 2.223660225335082324e-03 1.375609033751709794e-02 1.172863604069846605e-01 2.345727208139693210e-01
1.042084168336673278e-01 -3.770942236475038900e-01 1.112504593163563156e-02 1.054753332852550463e-01 2.109506665705100925e-01
1.082164328657314600e-01 -6.585152564309122436e-01 7.127187158602881802e-03 8.442266969601755489e-02 1.688453393920351098e-01
1.122244488977955784e-01 -8.298942343309142489e-01 4.559270318809654707e-03 6.752236902545448449e-02 1.350447380509089690e-01
1.162324649298597107e-01 -9.157900639472719151e-01 3.845948222299758103e-03 6.201570947993546856e-02 1.240314189598709371e-01
1.202404809619238429e-01 -9.563482556331530660e-01 3.633511422633959372e-03 6.027861496943969638e-02 1.205572299388793928e-01
1.242484969939879613e-01 -9.791816183414197017e-01 3.604128200414329075e-03 6.003439181347912379e-02 1.200687836269582476e-01
1.282565130260520936e-01 -9.942509215417545398e-01 3.622399085957272221e-03 6.018636960273706510e-02 1.203727392054741302e-01
1.322645290581162258e-01 -1.005053819397472958e+00 3.646174499195960032e-03 6.038356149810940321e-02 1.207671229962188064e-01
1.362725450901803581e-01 -1.012055574857815499e+00 3.678340197797818484e-03 6.064932149495012165e-02 1.212986429899002433e-01
1.402805611222444904e-01 -1.015890479333404706e+00 3.708121821462918941e-03 6.089434966778870667e-02 1.217886993355774133e-01
1.442885771543085949e-01 -1.017752168099149257e+00 3.733824613986602616e-03 6.110502936736551816e-02 1.222100587347310363e-01
1.482965931863727271e-01 -1.018219642741386322e+00 3.742192208764758606e-03 6.117346000321347704e-02 1.223469200064269541e-01
1.523046092184368594e-01 -1.017446778652707717e+00 3.728590496808773316e-03 6.106218548994764989e-02 1.221243709798952998e-01
1.563126252505009917e-01 -1.015230837830499500e+00 3.699991084034421479e-03 6.082755201415245006e-02 1.216551040283049001e-01
1.603206412825651239e-01 -1.010968688919261949e+00 3.667819319830945262e-03 6.056252405432707014e-02 1.211250481086541403e-01
1.643286573146292562e-01 -1.004032317347144376e+00 3.639796813327241757e-03 6.033072859934016791e-02 1.206614571986803358e-01
1.683366733466933607e-01 -9.940026199721294642e-01 3.615244164611531533e-03 6.012690050727321350e-02 1.202538010145464270e-01
1.723446893787574929e-01 -9.806972907822205654e-01 3.599353215891456636e-03 5.999460989031812214e-02 1.199892197806362443e-01
1.763527054108216252e-01 -9.622385614409273424e-01 3.604189524575846567e-03 6.003490255323020580e-02 1.200698051064604116e-01
1.803607214428857575e-01 -9.320299972932374333e-01 3.691877534258734134e-03 6.076082236325257291e-02 1.215216447265051458e-01
1.843687374749498897e-01 -8.764721170844893550e-01 3.982894989489917797e-03 6.311018134572200788e-02 1.262203626914440158e-01
1.883767535070140220e-01 -7.723637888280434627e-01 4.932794841079401332e-03 7.023385822435929127e-02 1.404677164487185825e-01
1.923847695390781265e-01 -5.961277105124235254e-01 6.671908724244942496e-03 8.168175270061815707e-02 1.633635054012363141e-01
1.963927855711422588e-01 -3.397008432002407430e-01 8.914217656548499916e-03 9.441513467950199412e-02 1.888302693590039882e-01
2.004008016032063910e-01 -2.322803248381069899e-02 1.082680451594247167e-02 1.040519318222514894e-01 2.081038636445029788e-01
2.044088176352705233e-01 3.050716944305611467e-01 9.553482971228644677e-03 9.774192023501812598e-02 1.954838404700362520e-01
2.084168336673346555e-01 5.844386543832527092e-01 7.467924847866127050e-03 8.641715598112521823e-02 1.728343119622504365e-01
2.124248496993987878e-01 7.844807160449945860e-01 5.185911699963582401e-03 7.201327447050011321e-02 1.440265489410002264e-01
2.164328657314629201e-01 8.974492833512941470e-01 3.891609918532323853e-03 6.238276940415778127e-02 1.247655388083155625e-01
2.204408817635270246e-01 9.459282149309535814e-01 3.602541842563800317e-03 6.002117828370083508e-02 1.200423565674016702e-01
2.244488977955911568e-01 9.602985740973744022e-01 3.560371691429073393e-03 5.966885026066007236e-02 1.193377005213201447e-01
2.284569138276552891e-01 9.636489663881921963e-01 3.569684557059540474e-03 5.974683721386045421e-02 1.194936744277209084e-01
2.324649298597194214e-01 9.670588405724571679e-01 3.607782273896203377e-03 6.006481727181231522e-02 1.201296345436246304e-01
2.364729458917835536e-01 9.728601996330236146e-01 3.706228640595565955e-03 6.087880288405452672e-02 1.217576057681090534e-01
2.404809619238476859e-01 9.792299192764623017e-01 3.865853569394777679e-03 6.217598868851847982e-02 1.243519773770369596e-01
2.444889779559117904e-01 9.841061740872688590e-01 4.021800282512867988e-03 6.341766538207527226e-02 1.268353307641505445e-01
2.484969939879759226e-01 9.857855372145516437e-01 4.081417502123825536e-03 6.388597265537894476e-02 1.277719453107578895e-01
2.525050100200400549e-01 9.839546605895153064e-01 4.018090510333357374e-03 6.338840990538693876e-02 1.267768198107738775e-01
2.565130260521041872e-01 9.791590625630131051e-01 3.861850836172381774e-03 6.214379161406537178e-02 1.242875832281307436e-01
2.605210420841683194e-01 9.730207646752825346e-01 3.708183877072362966e-03 6.089485920069413055e-02 1.217897184013882611e-01
2.645290581162324517e-01 9.675741000917331691e-01 3.613874941436332529e-03 6.011551331758161615e-02 1.202310266351632323e-01
2.685370741482965840e-01 9.639892762484347788e-01 3.572656071923731736e-03 5.977169959038919345e-02 1.195433991807783869e-01
2.725450901803607162e-01 9.614008109644911482e-01 3.560155929753287991e-03 5.966704224069840912e-02 1.193340844813968182e-01
2.765531062124248485e-01 9.521183016734500182e-01 3.576499377734379276e-03 5.980384082761222575e-02 1.196076816552244515e-01
2.805611222444889807e-01 9.208786288561136013e-01 3.708680628430840141e-03 6.089893782678676426e-02 1.217978756535735285e-01
2.845691382765530575e-01 8.455740975462046061e-01 4.326381986973339665e-03 6.577523840301409408e-02 1.315504768060281882e-01
2.885771543086171897e-01 7.066535313133116558e-01 5.690249186491237905e-03 7.543374037187362824e-02 1.508674807437472565e-01
2.925851703406813220e-01 4.892817398870679679e-01 7.575019097607238808e-03 8.703458564046386015e-02 1.740691712809277203e-01
2.965931863727454543e-01 2.121565130595940984e-01 9.053090514435976205e-03 9.514772994893770652e-02 1.902954598978754130e-01
3.006012024048095865e-01 -9.040368277423242727e-02 9.369719274645655488e-03 9.679731026555260520e-02 1.935946205311052104e-01
3.046092184368737188e-01 -3.704975852668058733e-01 7.990228919997191537e-03 8.938808041342644062e-02 1.787761608268528812e-01
3.086172344689378511e-01 -5.993916511052747031e-01 6.133674545583869299e-03 7.831777924318250594e-02 1.566355584863650119e-01
3.126252505010019833e-01 -7.514898009132494616e-01 4.764696909846182458e-03 6.902678400335758579e-02 1.380535680067151716e-01
3.166332665330661156e-01 -8.518023105132781492e-01 4.029137897816448266e-03 6.347549052836416739e-02 1.269509810567283348e-01
3.206412825651302478e-01 -9.097820814223089858e-01 3.716959853271536041e-03 6.096687504925552697e-02 1.219337500985110539e-01
3.246492985971943801e-01 -9.402285815448100381e-01 3.626090971362462903e-03 6.021703223642346781e-02 1.204340644728469356e-01
3.286573146292585124e-01 -9.587198237082520391e-01 3.594334915362785814e-03 5.995277237428462552e-02 1.199055447485692510e-01
3.326653306613226446e-01 -9.701529399902012463e-01 3.583826251295760702e-03 5.986506703659288942e-02 1.197301340731857788e-01
3.366733466933867214e-01 -9.772793566644033536e-01 3.590242106783884252e-03 5.991862904626477082e-02 1.198372580925295416e-01
3.406813627254508536e-01 -9.812524882571488360e-01 3.594324483183448850e-03 5.995268537091102273e-02 1.199053707418220455e-01
3.446893787575149859e-01 -9.827372437414162443e-01 3.597680952376782273e-03 5.998067148987899083e-02 1.199613429797579817e-01
3.486973947895791182e-01 -9.819618168017132387e-01 3.598641919491078842e-03 5.998868159487320134e-02 1.199773631897464027e-01
3.527054108216432504e-01 -9.792397311410186989e-01 3.597129341917460615e-03 5.997607307849906616e-02 1.199521461569981323e-01
3.567134268537073827e-01 -9.742887018713302094e-01 3.594455851647740483e-03 5.995378096206894353e-02 1.199075619241378871e-01
3.607214428857715149e-01 -9.669832621630929381e-01 3.595912656703449586e-03 5.996592913232854510e-02 1.199318582646570902e-01
3.647294589178356472e-01 -9.567004893168226110e-01 3.601625808483554635e-03 6.001354687471450317e-02 1.200270937494290063e-01
3.687374749498997795e-01 -9.415470962540030131e-01 3.622593422224254598e-03 6.018798403522296336e-02 1.203759680704459267e-01
3.727454909819639117e-01 -9.182046823113673151e-01 3.685730769182957254e-03 6.071021964367249307e-02 1.214204392873449861e-01
3.767535070140280440e-01 -8.812743823809751076e-01 3.782552961246491915e-03 6.150246305024288651e-02 1.230049261004857730e-01
3.807615230460921762e-01 -8.227478546524085168e-01 4.083272152233406206e-03 6.390048632235444115e-02 1.278009726447088823e-01
3.847695390781562530e-01 -7.312602185281320555e-01 4.613576904558222905e-03 6.792331635424041225e-02 1.358466327084808245e-01
3.887775551102203853e-01 -5.983187460108958522e-01 5.278968482171356863e-03 7.265651025318624334e-02 1.453130205063724867e-01
3.927855711422845175e-01 -4.156637892313063687e-01 6.438748054539158994e-03 8.024180989072442205e-02 1.604836197814488441e-01
3.967935871743486498e-01 -1.988743604613725235e-01 7.308315899532992488e-03 8.548868872273683583e-02 1.709773774454736717e-01
4.008016032064127820e-01 4.426145619479429638e-02 7.824544941310438567e-03 8.845645788358495742e-02 1.769129157671699148e-01
4.048096192384769143e-01 2.827992326307274262e-01 7.214559734413339767e-03 8.493856447111253205e-02 1.698771289422250641e-01
4.088176352705410466e-01 4.928759734675335902e-01 6.272799038558476634e-03 7.920100402493945868e-02 1.584020080498789174e-01
4.128256513026051788e-01 6.564924047679638885e-01 5.089890882857958307e-03 7.134347119994903508e-02 1.426869423998980702e-01
4.168336673346693111e-01 7.730047407123384895e-01 4.362247694085726914e-03 6.604731405655893395e-02 1.320946281131178679e-01
4.208416833667334433e-01 8.491846069599200408e-01 3.956077200666780619e-03 6.289735448066778589e-02 1.257947089613355718e-01
