# X mu var std 2std
-1.000000000000000000e+00 -1.831420926356524745e-02 8.069422734415361287e-01 8.982996568192243014e-01 1.796599313638448603e+00
-9.879759519038076032e-01 -1.732100713710130191e-02 7.942860825180803053e-01 8.912272900433875211e-01 1.782454580086775042e+00
-9.759519038076152064e-01 -1.510393521516537399e-02 7.940564015798863284e-01 8.910984241821361396e-01 1.782196848364272279e+00
-9.639278557114228096e-01 -1.114551544843397565e-02 8.034455181892902198e-01 8.963512247937692745e-01 1.792702449587538549e+00
-9.519038076152304129e-01 -5.197012358573675078e-03 8.159977687280163261e-01 9.033259482202513624e-01 1.806651896440502725e+00
-9.398797595190381271e-01 2.546059224094708758e-03 8.260078536645396596e-01 9.088497420721093345e-01 1.817699484144218669e+00
-9.278557114228457303e-01 1.145939225842521059e-02 8.306294336081231355e-01 9.113887390176176329e-01 1.822777478035235266e+00
-9.158316633266533335e-01 2.068183538695559862e-02 8.292720625259675238e-01 9.106437626898717941e-01 1.821287525379743588e+00
-9.038076152304609368e-01 2.936338239676666850e-02 8.227438679577596670e-01 9.070522961537331730e-01 1.814104592307466346e+00
-8.917835671342685400e-01 3.684510851521515667e-02 8.132316599688110825e-01 9.017935794675027150e-01 1.803587158935005430e+00
-8.797595190380761432e-01 4.273037224499470071e-02 8.038717244644637550e-01 8.965889384017983188e-01 1.793177876803596638e+00
-8.677354709418837464e-01 4.688882105031563774e-02 7.973692741064976053e-01 8.929553595261622290e-01 1.785910719052324458e+00
-8.557114228456913496e-01 4.943622114356428787e-02 7.948613200403586987e-01 8.915499537548968734e-01 1.783099907509793747e+00
-8.436873747494990639e-01 5.067163652844715316e-02 7.957134072890326149e-01 8.920276942388238872e-01 1.784055388477647774e+00
-8.316633266533066671e-01 5.092561836899869854e-02 7.977690546402688154e-01 8.931791839492615459e-01 1.786358367898523092e+00
-8.196392785571142703e-01 5.034108985000045750e-02 7.980460185959628028e-01 8.933342143878532093e-01 1.786668428775706419e+00
-8.076152304609218735e-01 4.871780385222754250e-02 7.943719043396060275e-01 8.912754368541780936e-01 1.782550873708356187e+00
-7.955911823647294767e-01 4.557413555536415917e-02 7.872492055484533457e-01 8.872706495475061184e-01 1.774541299095012237e+00
-7.835671342685370799e-01 4.045524585069717322e-02 7.801633257925445486e-01 8.832685468149222840e-01 1.766537093629844568e+00
-7.715430861723446831e-01 3.332956308405833623e-02 7.776463413102735478e-01 8.818425830669970322e-01 1.763685166133994064e+00
-7.595190380761522864e-01 2.482318194431121922e-02 7.824931270117255755e-01 8.845864157965154240e-01 1.769172831593030848e+00
-7.474949899799598896e-01 1.612540392605469122e-02 7.941472584922042444e-01 8.911494030139975875e-01 1.782298806027995175e+00
-7.354709418837674928e-01 8.592759400714040235e-03 8.090639829942964933e-01 8.994798402378435531e-01 1.798959680475687106e+00
-7.234468937875750960e-01 3.243540940334271438e-03 8.224655827526621277e-01 9.068988823196675320e-01 1.813797764639335064e+00
-7.114228456913826992e-01 3.806432035960775049e-04 8.306021764011933817e-01 9.113737852282088880e-01 1.822747570456417776e+00
