# X mu var std 2std
-1.000000000000000000e+00 -1.304704478469593740e-02 5.062835207611794397e-01 7.115360291377939017e-01 1.423072058275587803e+00
-9.879759519038076032e-01 -1.129642476478668299e-02 4.986470613851620159e-01 7.061494610811240857e-01 1.412298922162248171e+00
-9.759519038076152064e-01 -1.076320665839333550e-02 4.916490825362507811e-01 7.011769266998528760e-01 1.402353853399705752e+00
-9.639278557114228096e-01 -1.011342240288889797e-02 4.880086074711612043e-01 6.985761286153150396e-01 1.397152257230630079e+00
-9.519038076152304129e-01 -8.484058005457258828e-03 4.896852178218554230e-01 6.997751194647144901e-01 1.399550238929428980e+00
-9.398797595190381271e-01 -5.818339649821807104e-03 4.959375591094280500e-01 7.042283430176806691e-01 1.408456686035361338e+00
-9.278557114228457303e-01 -2.836518841184751741e-03 5.037871229893509106e-01 7.097796298777183654e-01 1.419559259755436731e+00
-9.158316633266533335e-01 -7.001584381567417786e-04 5.101382039453954409e-01 7.142395984159625177e-01 1.428479196831925035e+00
-9.038076152304609368e-01 -5.431653312561843423e-04 5.132601921933098721e-01 7.164217976815822064e-01 1.432843595363164413e+00
-8.917835671342685400e-01 -3.076898448125134442e-03 5.127301689268155549e-01 7.160517920701096051e-01 1.432103584140219210e+00
-8.797595190380761432e-01 -8.398965216197061545e-03 5.089592935343281166e-01 7.134138304899394489e-01 1.426827660979878898e+00
-8.677354709418837464e-01 -1.599599412998300649e-02 5.032471847045169033e-01 7.093991716266074832e-01 1.418798343253214966e+00
-8.557114228456913496e-01 -2.484727894182601690e-02 4.977585166012741813e-01 7.055200327427096907e-01 1.411040065485419381e+00
-8.436873747494990639e-01 -3.357308892172304604e-02 4.947484293992328030e-01 7.033835578112647147e-01 1.406767115622529429e+00
-8.316633266533066671e-01 -4.065344193688273655e-02 4.955420510765978226e-01 7.039474774985686745e-01 1.407894954997137349e+00
-8.196392785571142703e-01 -4.474241076920094928e-02 4.999273188280152769e-01 7.070553859691723897e-01 1.414110771938344779e+00
-8.076152304609218735e-01 -4.500002585593147753e-02 5.060313421303802572e-01 7.113587998544618207e-01 1.422717599708923641e+00
-7.955911823647294767e-01 -4.127939767015012529e-02 5.108552436880714476e-01 7.147413823811179512e-01 1.429482764762235902e+00
-7.835671342685370799e-01 -3.406173883871666669e-02 5.117675024748264967e-01 7.153792717676592527e-01 1.430758543535318505e+00
-7.715430861723446831e-01 -2.420420563566507213e-02 5.085058945829831201e-01 7.130959925444702030e-01 1.426191985088940406e+00
