# X mu var std 2std
-4.000000000000000000e+00 -1.532824875896927708e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.967935871743486942e+00 -1.521834969146490479e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.935871743486973884e+00 -1.510845062396053073e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.903807615230460826e+00 -1.499855155645615845e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.871743486973947768e+00 -1.488865248895178439e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.839679358717434710e+00 -1.477875342144741211e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.807615230460921651e+00 -1.466885435394303983e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.775551102204409037e+00 -1.455895528643866932e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.743486973947895979e+00 -1.444905621893429704e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.711422845691382921e+00 -1.433915715142992298e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.679358717434869863e+00 -1.422925808392555069e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.647294589178356805e+00 -1.411935901642117841e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.615230460921843747e+00 -1.400945994891680435e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.583166332665330689e+00 -1.389956088141243384e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.551102204408817631e+00 -1.378966181390805978e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.519038076152304573e+00 -1.367976274640368928e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.486973947895791515e+00 -1.356986367889931877e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.454909819639278457e+00 -1.345996461139495004e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.422845691382765843e+00 -1.335006554389058664e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.390781563126252784e+00 -1.324016647638622679e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.358717434869739726e+00 -1.313026740888187582e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.326653306613226668e+00 -1.302036834137754440e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.294589178356713610e+00 -1.291046927387323962e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.262525050100200552e+00 -1.280057020636897924e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.230460921843687494e+00 -1.269067113886479703e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.198396793587174436e+00 -1.258077207136073739e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.166332665330661378e+00 -1.247087300385688913e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
-3.134268537074148320e+00 -1.236097393635337660e+01 3.297983349948663268e-02 1.816035062973362091e-01 3.632070125946724182e-01
