# X mu var std 2std
0.000000000000000000e+00 6.506829799597393937e-02 2.710648510567065586e-03 5.206388873842469206e-02 1.041277774768493841e-01
4.008016032064127925e-03 4.112717969139763063e-01 2.710435054834010350e-03 5.206183875771206587e-02 1.041236775154241317e-01
8.016032064128255849e-03 6.898857282168300298e-01 2.710659676475161289e-03 5.206399597106585453e-02 1.041279919421317091e-01
1.202404809619238291e-02 8.599847210687966426e-01 2.710774787949821706e-03 5.206510143992635481e-02 1.041302028798527096e-01
1.603206412825651170e-02 9.486393746922476833e-01 2.711056845929055419e-03 5.206781007425850122e-02 1.041356201485170024e-01
2.004008016032064049e-02 9.956304795398734919e-01 2.711132480283701910e-03 5.206853637547056990e-02 1.041370727509411398e-01
2.404809619238476581e-02 1.013178195752813648e+00 2.712113623275503628e-03 5.207795717264170759e-02 1.041559143452834152e-01
2.805611222444889460e-02 1.010230035813800775e+00 2.714359098554203816e-03 5.209951150014944382e-02 1.041990230002988876e-01
3.206412825651302340e-02 1.005703520137397611e+00 2.716985886305034459e-03 5.212471473595835930e-02 1.042494294719167186e-01
3.607214428857714872e-02 1.009457148740129373e+00 2.721158668742025295e-03 5.216472628838404041e-02 1.043294525767680808e-01
4.008016032064128098e-02 1.016795387491558289e+00 2.719144905853402867e-03 5.214542075631764528e-02 1.042908415126352906e-01
4.408817635270540630e-02 1.021230727949493211e+00 2.714729582605049200e-03 5.210306692129599432e-02 1.042061338425919886e-01
4.809619238476953162e-02 1.022118126654812942e+00 2.714827235327299700e-03 5.210400402394522318e-02 1.042080080478904464e-01
5.210420841683366389e-02 1.021998190288018638e+00 2.715510953699687337e-03 5.211056470332755403e-02 1.042211294066551081e-01
5.611222444889778921e-02 1.021764413434775642e+00 2.714368062918614318e-03 5.209959753125367743e-02 1.041991950625073549e-01
6.012024048096192147e-02 1.019402572133606633e+00 2.716382929889361517e-03 5.211893062879707078e-02 1.042378612575941416e-01
6.412825651302604679e-02 1.013272663122397166e+00 2.720803551016945550e-03 5.216132236645219106e-02 1.043226447329043821e-01
6.813627254509017905e-02 1.006902574914947390e+00 2.719326057429251667e-03 5.214715771189501470e-02 1.042943154237900294e-01
7.214428857715429744e-02 1.007446817002190853e+00 2.715448623587855478e-03 5.210996664351125185e-02 1.042199332870225037e-01
7.615230460921842970e-02 1.013039700325832015e+00 2.713398168353326617e-03 5.209028861844908903e-02 1.041805772368981781e-01
8.016032064128256196e-02 1.005395245521159442e+00 2.711505881011924343e-03 5.207212191770107385e-02 1.041442438354021477e-01
8.416833667334668034e-02 9.672033280130468702e-01 2.711321872167300230e-03 5.207035502248184150e-02 1.041407100449636830e-01
8.817635270541081260e-02 8.860214471569404227e-01 2.711033879268927478e-03 5.206758952812130803e-02 1.041351790562426161e-01
9.218436873747494487e-02 7.144108726362928818e-01 2.710744105904963359e-03 5.206480678831876263e-02 1.041296135766375253e-01
9.619238476953906325e-02 3.957030882510548242e-01 2.710456357803928389e-03 5.206204335025593766e-02 1.041240867005118753e-01
1.002004008016031955e-01 -2.541986937848642047e-02 2.710835912822250060e-03 5.206568844087486325e-02 1.041313768817497265e-01
1.042084168336673278e-01 -4.157517731203325684e-01 2.711159324098066405e-03 5.206879414868435807e-02 1.041375882973687161e-01
1.082164328657314600e-01 -6.859850636929343271e-01 2.710639106529367723e-03 5.206379842586754403e-02 1.041275968517350881e-01
1.122244488977955784e-01 -8.366283985209589380e-01 2.710659201933432894e-03 5.206399141377304057e-02 1.041279828275460811e-01
1.162324649298597107e-01 -9.110811823718973912e-01 2.711359338088719338e-03 5.207071478373154899e-02 1.041414295674630980e-01
