# X mu var std 2std
0.000000000000000000e+00 5.329513153198783132e-02 4.513017566319523777e-01 6.717899646704708072e-01 1.343579929340941614e+00
4.008016032064127925e-03 2.686444791939665566e-01 4.055123333330620805e-01 6.367985029293505850e-01 1.273597005858701170e+00
8.016032064128255849e-03 4.846359603730112098e-01 3.135202662855595679e-01 5.599288046578417832e-01 1.119857609315683566e+00
1.202404809619238291e-02 6.789883178324607194e-01 1.952376808642229122e-01 4.418570819441767217e-01 8.837141638883534434e-01
1.603206412825651170e-02 8.326710857187422654e-01 8.984330281514073258e-02 2.997387242502054794e-01 5.994774485004109588e-01
2.004008016032064049e-02 9.339735757143294848e-01 2.814301710217883071e-02 1.677588063327193346e-01 3.355176126654386692e-01
2.404809619238476581e-02 9.860955672592828236e-01 7.585570041233802643e-03 8.709517805960213799e-02 1.741903561192042760e-01
2.805611222444889460e-02 1.005952056351750334e+00 4.267993749024593525e-03 6.532988404263850857e-02 1.306597680852770171e-01
3.206412825651302340e-02 1.011000734749846863e+00 4.145664386169423989e-03 6.438683395050127933e-02 1.287736679010025587e-01
3.607214428857714872e-02 1.013489177827726406e+00 4.393902870448597626e-03 6.628652103141782770e-02 1.325730420628356554e-01
4.008016032064128098e-02 1.019762403822742414e+00 4.916000944069316009e-03 7.011419930420167979e-02 1.402283986084033596e-01
4.408817635270540630e-02 1.026558286117111196e+00 6.434376819422860626e-03 8.021456737664836578e-02 1.604291347532967316e-01
4.809619238476953162e-02 1.027332480555184890e+00 9.913760654312679318e-03 9.956786958809894783e-02 1.991357391761978957e-01
5.210420841683366389e-02 1.021869301181207224e+00 1.449872111365863893e-02 1.204106353843323873e-01 2.408212707686647747e-01
5.611222444889778921e-02 1.014954087153769446e+00 1.722392886656031949e-02 1.312399667272143022e-01 2.624799334544286045e-01
6.012024048096192147e-02 1.010538045491695902e+00 1.590732584122865959e-02 1.261242476339449192e-01 2.522484952678898384e-01
6.412825651302604679e-02 1.009421899574393766e+00 1.137326339123748836e-02 1.066455033802995722e-01 2.132910067605991444e-01
6.813627254509017905e-02 1.010039450668390959e+00 6.633904497158258501e-03 8.144878450387248170e-02 1.628975690077449634e-01
7.214428857715429744e-02 1.009590710507178635e+00 3.953290455672438947e-03 6.287519746030574563e-02 1.257503949206114913e-01
7.615230460921842970e-02 1.004239776147665797e+00 3.409891800139280317e-03 5.839427883054366941e-02 1.167885576610873388e-01
8.016032064128256196e-02 9.872624010538563200e-01 4.664565360251494291e-03 6.829762338655345766e-02 1.365952467731069153e-01
8.416833667334668034e-02 9.452265493194590418e-01 8.647546152878915135e-03 9.299218328912874088e-02 1.859843665782574818e-01
8.817635270541081260e-02 8.555258537676124764e-01 1.803483225838696177e-02 1.342938280725773370e-01 2.685876561451546740e-01
9.218436873747494487e-02 6.802353146304264131e-01 3.592698719106155597e-02 1.895441563094509008e-01 3.790883126189018015e-01
9.619238476953906325e-02 3.766301882549100144e-01 5.130031137653757317e-02 2.264957204375781796e-01 4.529914408751563593e-01
1.002004008016031955e-01 -2.930145932831934585e-02 4.024840488378187559e-02 2.006200510511894908e-01 4.012401021023789816e-01
1.042084168336673278e-01 -4.176935195330359063e-01 1.714473490815664192e-02 1.309379047799247575e-01 2.618758095598495150e-01
1.082164328657314600e-01 -6.900639653693062536e-01 5.967021579199328560e-03 7.724649881515231742e-02 1.544929976303046348e-01
1.122244488977955784e-01 -8.405903996185868365e-01 3.324651161018498096e-03 5.765978807642721526e-02 1.153195761528544305e-01
1.162324649298597107e-01 -9.132710721755582517e-01 2.869132032995099640e-03 5.356427944997579904e-02 1.071285588999515981e-01
