# X mu var std 2std
0.000000000000000000e+00 -1.372953363676333860e-02 4.362577895947469288e-03 6.604981374650097103e-02 1.320996274930019421e-01
4.008016032064127925e-03 -7.662056799109559328e-03 3.417562422324042781e-03 5.845992150460042197e-02 1.169198430092008439e-01
8.016032064128255849e-03 -1.456816278699651565e-03 3.110359175362608589e-03 5.577059418154524384e-02 1.115411883630904877e-01
1.202404809619238291e-02 4.843750024119429509e-03 3.110297739414230080e-03 5.577004338723639404e-02 1.115400867744727881e-01
1.603206412825651170e-02 1.129094491738070333e-02 3.175199859327243121e-03 5.634891178476513635e-02 1.126978235695302727e-01
2.004008016032064049e-02 1.797414384703470772e-02 3.189479055861596871e-03 5.647547304681561214e-02 1.129509460936312243e-01
2.404809619238476581e-02 2.499035736591018880e-02 3.137045697007373023e-03 5.600933580223365488e-02 1.120186716044673098e-01
2.805611222444889460e-02 3.244037021699368306e-02 3.054378321887842290e-03 5.526643033422588142e-02 1.105328606684517628e-01
3.206412825651302340e-02 4.043879306409369628e-02 2.986977309193553174e-03 5.465324609932655647e-02 1.093064921986531129e-01
3.607214428857714872e-02 4.912383112237927313e-02 2.960089961210081964e-03 5.440670878862350485e-02 1.088134175772470097e-01
4.008016032064128098e-02 5.865305143349831829e-02 2.969383248932019447e-03 5.449204757514640451e-02 1.089840951502928090e-01
4.408817635270540630e-02 6.917697127442520855e-02 2.990055911058660948e-03 5.468140370417223090e-02 1.093628074083444618e-01
4.809619238476953162e-02 8.079558191908366160e-02 2.995142334632026632e-03 5.472789357020811651e-02 1.094557871404162330e-01
5.210420841683366389e-02 9.351532172730286918e-02 2.971245360495182279e-03 5.450913098275537993e-02 1.090182619655107599e-01
5.611222444889778921e-02 1.072311280763942470e-01 2.923722209463157449e-03 5.407145466383494331e-02 1.081429093276698866e-01
6.012024048096192147e-02 1.217546629906444688e-01 2.870249318992311796e-03 5.357470782927623021e-02 1.071494156585524604e-01
6.412825651302604679e-02 1.368933081228886350e-01 2.828653651885339963e-03 5.318508862346042754e-02 1.063701772469208551e-01
6.813627254509017905e-02 1.525517447887415612e-01 2.808282757497394290e-03 5.299323312930995927e-02 1.059864662586199185e-01
7.214428857715429744e-02 1.687961717819231044e-01 2.809796534072019937e-03 5.300751393974273418e-02 1.060150278794854684e-01
7.615230460921842970e-02 1.858292946275170443e-01 2.829410398329623277e-03 5.319220242037006607e-02 1.063844048407401321e-01
8.016032064128256196e-02 2.038847116555637939e-01 2.860903294644754919e-03 5.348741248784385366e-02 1.069748249756877073e-01
8.416833667334668034e-02 2.231087214885266734e-01 2.894394121093124897e-03 5.379957361441747160e-02 1.075991472288349432e-01
8.817635270541081260e-02 2.434941864474929329e-01 2.916812157746294289e-03 5.400751945559335160e-02 1.080150389111867032e-01
9.218436873747494487e-02 2.648812410053336119e-01 2.918093839668615963e-03 5.401938392529681554e-02 1.080387678505936311e-01
9.619238476953906325e-02 2.870050400108848931e-01 2.899626005230172398e-03 5.384817550511969420e-02 1.076963510102393884e-01
1.002004008016031955e-01 3.095680698366315431e-01 2.876327102931698892e-03 5.363140034468332623e-02 1.072628006893666525e-01
1.042084168336673278e-01 3.323222960942904258e-01 2.868172205357465837e-03 5.355531911358073216e-02 1.071106382271614643e-01
1.082164328657314600e-01 3.551446033809160241e-01 2.886751882782134185e-03 5.372850158698020545e-02 1.074570031739604109e-01
1.122244488977955784e-01 3.780839714314119804e-01 2.927408489588718792e-03 5.410553104432779675e-02 1.082110620886555935e-01
1.162324649298597107e-01 4.013610365743956465e-01 2.972784284746251334e-03 5.452324536146258699e-02 1.090464907229251740e-01
