# X mu var std 2std
0.000000000000000000e+00 2.659381238161771799e-02 5.202621222848819414e-03 7.212919812980607415e-02 1.442583962596121483e-01
1.002004008016032024e-02 8.324112093276407887e-01 5.203954659506359465e-03 7.213844092788780638e-02 1.442768818557756128e-01
2.004008016032064049e-02 9.901129609097634177e-01 5.206225749479809033e-03 7.215418040196845684e-02 1.443083608039369137e-01
3.006012024048096073e-02 1.015894872577196573e+00 5.222214031800306508e-03 7.226488795950843091e-02 1.445297759190168618e-01
4.008016032064128098e-02 1.014899836848788706e+00 5.228701523649226073e-03 7.230976091544782935e-02 1.446195218308956587e-01
5.010020040080159776e-02 1.011621949435239198e+00 5.211976839929309373e-03 7.219402218971671115e-02 1.443880443794334223e-01
6.012024048096192147e-02 1.008398679578782042e+00 5.206329540559035025e-03 7.215489962960959514e-02 1.443097992592191903e-01
7.014028056112224518e-02 1.002782452502217092e+00 5.207221574953608753e-03 7.216108074962297725e-02 1.443221614992459545e-01
8.016032064128256196e-02 9.759285673464044297e-01 5.207587960404268766e-03 7.216361936879461814e-02 1.443272387375892363e-01
9.018036072144287874e-02 8.147637283806739017e-01 5.204437459433927660e-03 7.214178719323445510e-02 1.442835743864689102e-01
1.002004008016031955e-01 -2.964358522241641869e-02 5.201954191336928025e-03 7.212457411546309427e-02 1.442491482309261885e-01
1.102204408817635123e-01 -7.786399646349281278e-01 5.202168647974876083e-03 7.212606081004893643e-02 1.442521216200978729e-01
1.202404809619238429e-01 -9.602721107944895973e-01 5.204469264220823801e-03 7.214200762538303113e-02 1.442840152507660623e-01
1.302605210420841597e-01 -1.007275012275064663e+00 5.203379200671836950e-03 7.213445224490054597e-02 1.442689044898010919e-01
1.402805611222444904e-01 -1.017495174193240537e+00 5.204621515245185480e-03 7.214306283521088048e-02 1.442861256704217610e-01
1.503006012024047933e-01 -1.020071029114122396e+00 5.205388437726344783e-03 7.214837792858787291e-02 1.442967558571757458e-01
1.603206412825651239e-01 -1.025374746383487023e+00 5.208276782535490798e-03 7.216839185221941844e-02 1.443367837044388369e-01
1.703406813627254268e-01 -1.014189239761170036e+00 5.203487876297621835e-03 7.213520552613419956e-02 1.442704110522683991e-01
1.803607214428857575e-01 -9.472323545619869556e-01 5.203339045397976578e-03 7.213417390805815232e-02 1.442683478161163046e-01
1.903807615230460881e-01 -6.952354125472242075e-01 5.201377296042190845e-03 7.212057470682128879e-02 1.442411494136425776e-01
2.004008016032063910e-01 -5.513908929831584649e-03 5.201913492716730980e-03 7.212429197376381274e-02 1.442485839475276255e-01
2.104208416833667217e-01 6.844607158254942814e-01 5.202428461225339432e-03 7.212786189278966309e-02 1.442557237855793262e-01
2.204408817635270246e-01 9.359695836791193102e-01 5.204443415910460155e-03 7.214182847634553752e-02 1.442836569526910750e-01
2.304609218436873552e-01 9.858462101185532234e-01 5.204489278292394848e-03 7.214214633827022161e-02 1.442842926765404432e-01
2.404809619238476859e-01 1.006731046204383917e+00 5.204379215585763947e-03 7.214138351588333942e-02 1.442827670317666788e-01
2.505010020040079888e-01 1.011595951939048277e+00 5.205263831441170157e-03 7.214751438158607810e-02 1.442950287631721562e-01
2.605210420841683194e-01 1.001161902380414581e+00 5.204179300619056307e-03 7.213999792500036534e-02 1.442799958500007307e-01
2.705410821643286501e-01 9.759975285989277438e-01 5.204549214370978588e-03 7.214256173973154773e-02 1.442851234794630955e-01
2.805611222444889807e-01 9.123231466106663801e-01 5.204623575647193343e-03 7.214307711518266886e-02 1.442861542303653377e-01
2.905811623246492559e-01 6.368906011114248145e-01 5.202404192337580641e-03 7.212769365741275585e-02 1.442553873148255117e-01
3.006012024048095865e-01 -2.537301052413967750e-02 5.202025493764353935e-03 7.212506841427850091e-02 1.442501368285570018e-01
3.106212424849699172e-01 -6.624368500820109196e-01 5.201589525692892381e-03 7.212204604483217485e-02 1.442440920896643497e-01
3.206412825651302478e-01 -9.100235275318661055e-01 5.202655425103478934e-03 7.212943521963470495e-02 1.442588704392694099e-01
3.306613226452905785e-01 -9.755601744658044527e-01 5.203785106955032339e-03 7.213726572968393036e-02 1.442745314593678607e-01
3.406813627254508536e-01 -9.878953282337494812e-01 5.204725431968994752e-03 7.214378304447996437e-02 1.442875660889599287e-01
3.507014028056111843e-01 -9.814493381006131889e-01 5.205509179711005283e-03 7.214921468533809501e-02 1.442984293706761900e-01
3.607214428857715149e-01 -9.675556185584482938e-01 5.204774718339556794e-03 7.214412462799418835e-02 1.442882492559883767e-01
3.707414829659318456e-01 -9.324595868680821686e-01 5.203542637794086011e-03 7.213558510051808204e-02 1.442711702010361641e-01
3.807615230460921762e-01 -8.333169672343285761e-01 5.202197569604564455e-03 7.212626130338771480e-02 1.442525226067754296e-01
3.907815631262524514e-01 -5.526764577673546341e-01 5.201330193667710877e-03 7.212024815312070847e-02 1.442404963062414169e-01
4.008016032064127820e-01 4.642172512286282804e-03 5.201984127567544844e-03 7.212478164658486790e-02 1.442495632931697358e-01
4.108216432865731127e-01 5.725560309524062585e-01 5.202307580990874099e-03 7.212702392994510547e-02 1.442540478598902109e-01
4.208416833667334433e-01 8.569492614309381917e-01 5.205485836417486634e-03 7.214905291421008782e-02 1.442981058284201756e-01
4.308617234468937740e-01 9.449287492565650037e-01 5.207150893597797120e-03 7.216059100089049216e-02 1.443211820017809843e-01
4.408817635270540491e-01 9.690848040272888042e-01 5.206105922915361256e-03 7.215335004637941918e-02 1.443067000927588384e-01
4.509018036072143798e-01 9.669584233914479965e-01 5.208916356239210073e-03 7.217282283684911537e-02 1.443456456736982307e-01
4.609218436873747105e-01 9.393788164578942279e-01 5.210303273675481045e-03 7.218243050545943007e-02 1.443648610109188601e-01
4.709418837675350411e-01 8.709826921324785864e-01 5.206052043226155369e-03 7.215297667612996513e-02 1.443059533522599303e-01
4.809619238476953718e-01 7.216082250441649970e-01 5.202975478185407378e-03 7.213165378795502458e-02 1.442633075759100492e-01
4.909819639278556469e-01 4.288682341857878444e-01 5.202192854239575358e-03 7.212622861511321093e-02 1.442524572302264219e-01
5.010020040080159776e-01 -4.313450567197005259e-02 5.201917516905922058e-03 7.212431987135768663e-02 1.442486397427153733e-01
5.110220440881763082e-01 -5.017418575519867474e-01 5.201277927121723821e-03 7.211988579526262821e-02 1.442397715905252564e-01
5.210420841683366389e-01 -7.543181303678718752e-01 5.203234552031584664e-03 7.213344960579373688e-02 1.442668992115874738e-01
5.310621242484969695e-01 -8.647021478509219206e-01 5.204584848726693906e-03 7.214280871110227700e-02 1.442856174222045540e-01
5.410821643286573002e-01 -9.156492614342686132e-01 5.203594546186437846e-03 7.213594489702368495e-02 1.442718897940473699e-01
5.511022044088176308e-01 -9.304508163959709366e-01 5.203552318499947080e-03 7.213565220125169042e-02 1.442713044025033808e-01
5.611222444889779615e-01 -9.136584598666620538e-01 5.203526695193483494e-03 7.213547459602302758e-02 1.442709491920460552e-01
5.711422845691381811e-01 -8.572621468472916284e-01 5.202424407916923094e-03 7.212783379470731615e-02 1.442556675894146323e-01
5.811623246492985118e-01 -7.239055773112130776e-01 5.201611509796621666e-03 7.212219845371202476e-02 1.442443969074240495e-01
5.911823647294588424e-01 -4.306939201350222790e-01 5.201237266863765508e-03 7.211960390118463127e-02 1.442392078023692625e-01
6.012024048096191731e-01 4.406511410453337052e-02 5.202047795953081664e-03 7.212522302186026579e-02 1.442504460437205316e-01
6.112224448897795037e-01 4.817923136577838550e-01 5.202130496494096826e-03 7.212579633178477223e-02 1.442515926635695445e-01
6.212424849699398344e-01 7.247083125790917402e-01 5.203617113013998992e-03 7.213610131559647365e-02 1.442722026311929473e-01
6.312625250501001650e-01 8.389383234384085730e-01 5.205054611178819117e-03 7.214606441919627078e-02 1.442921288383925416e-01
6.412825651302604957e-01 8.869448731006416287e-01 5.204539324912826025e-03 7.214249319861926191e-02 1.442849863972385238e-01
6.513026052104208263e-01 8.911125020122734330e-01 5.204282164145967830e-03 7.214071086526641086e-02 1.442814217305328217e-01
6.613226452905811570e-01 8.644119445540490165e-01 5.204053901894095148e-03 7.213912878524451899e-02 1.442782575704890380e-01
6.713426853707413766e-01 7.961011311414128988e-01 5.203358919684248837e-03 7.213431166708564324e-02 1.442686233341712865e-01
6.813627254509017073e-01 6.381311009882413288e-01 5.202402454809223337e-03 7.212768161260434130e-02 1.442553632252086826e-01
6.913827655310620379e-01 3.381246151185533511e-01 5.202136614956659813e-03 7.212583874698899611e-02 1.442516774939779922e-01
7.014028056112223686e-01 -8.066696021394809124e-02 5.202051358854202501e-03 7.212524772126749362e-02 1.442504954425349872e-01
7.114228456913826992e-01 -4.696316951588490052e-01 5.201782381254327868e-03 7.212338304083029672e-02 1.442467660816605934e-01
7.214428857715430299e-01 -7.002872036089089480e-01 5.202218534026560592e-03 7.212640663464775503e-02 1.442528132692955101e-01
7.314629258517033605e-01 -8.079421258503858283e-01 5.202272637199949895e-03 7.212678169168475206e-02 1.442535633833695041e-01
7.414829659318636912e-01 -8.579348720730279876e-01 5.202395940699592290e-03 7.212763645579682581e-02 1.442552729115936516e-01
7.515030060120240218e-01 -8.700806151313926762e-01 5.202472932101550977e-03 7.212817017020153876e-02 1.442563403404030775e-01
7.615230460921843525e-01 -8.405758596913303071e-01 5.202268616208818690e-03 7.212675381721278534e-02 1.442535076344255707e-01
7.715430861723445721e-01 -7.611795442644540000e-01 5.202125267310556654e-03 7.212576008133679550e-02 1.442515201626735910e-01
7.815631262525049028e-01 -6.164009304836792769e-01 5.201926928353237979e-03 7.212438511594561341e-02 1.442487702318912268e-01
7.915831663326652334e-01 -3.655223619198442186e-01 5.201760629055306694e-03 7.212323224215139161e-02 1.442464644843027832e-01
8.016032064128255641e-01 5.672616618547746126e-03 5.202084087800021642e-03 7.212547461057031151e-02 1.442509492211406230e-01
8.116232464929858947e-01 3.758732458654248099e-01 5.202116218185262944e-03 7.212569734973287017e-02 1.442513946994657403e-01
8.216432865731462254e-01 6.208391373018274928e-01 5.202332093616143099e-03 7.212719385652087423e-02 1.442543877130417485e-01
8.316633266533065560e-01 7.490488384717337578e-01 5.202880365333109255e-03 7.213099448457029050e-02 1.442619889691405810e-01
8.416833667334668867e-01 8.059987250978704054e-01 5.203383900552771037e-03 7.213448482212075907e-02 1.442689696442415181e-01
8.517034068136272174e-01 8.167041687976169806e-01 5.203613127124471702e-03 7.213607368802707476e-02 1.442721473760541495e-01
8.617234468937875480e-01 7.894198397898709585e-01 5.203283370359164731e-03 7.213378799397106300e-02 1.442675759879421260e-01
8.717434869739478787e-01 7.176344246659641657e-01 5.202667411669506005e-03 7.212951831025565808e-02 1.442590366205113162e-01
8.817635270541080983e-01 5.745729355024096208e-01 5.202144138090926406e-03 7.212589089980744883e-02 1.442517817996148977e-01
8.917835671342684289e-01 3.171485495298066448e-01 5.202072896454169870e-03 7.212539702805226272e-02 1.442507940561045254e-01
9.018036072144287596e-01 -4.981077863129648731e-02 5.201857863019705881e-03 7.212390632113395428e-02 1.442478126422679086e-01
9.118236472945890903e-01 -4.040909879839646446e-01 5.201145746111968116e-03 7.211896939163764397e-02 1.442379387832752879e-01
9.218436873747494209e-01 -6.292239663625371904e-01 5.201184878124480437e-03 7.211924069292799389e-02 1.442384813858559878e-01
9.318637274549097516e-01 -7.373605138354720756e-01 5.201430775147788781e-03 7.212094546765029923e-02 1.442418909353005985e-01
9.418837675350700822e-01 -7.847735283400284478e-01 5.201617801274045771e-03 7.212224207048784086e-02 1.442444841409756817e-01
9.519038076152304129e-01 -7.976389576673542647e-01 5.201641129000912286e-03 7.212240379383449973e-02 1.442448075876689995e-01
9.619238476953907435e-01 -7.658711162975524456e-01 5.201492935473561730e-03 7.212137641139110267e-02 1.442427528227822053e-01
9.719438877755510742e-01 -6.591371436080850632e-01 5.201266563624445255e-03 7.211980701322241727e-02 1.442396140264448345e-01
9.819639278557112938e-01 -4.641594827305180471e-01 5.201114822492723840e-03 7.211875499821612800e-02 1.442375099964322560e-01
9.919839679358716245e-01 -2.433068210441624024e-01 5.201418515851194413e-03 7.212086047636422081e-02 1.442417209527284416e-01
