# X mu var std 2std
0.000000000000000000e+00 4.650411145043043537e-01 1.726672492104273093e-01 4.155324887544021295e-01 8.310649775088042590e-01
3.344481605351170509e-03 5.142917654922898318e-01 1.598339654308835733e-01 3.997924029179188432e-01 7.995848058358376864e-01
6.688963210702341018e-03 5.646756075990009283e-01 1.492321631500441725e-01 3.863057896926270218e-01 7.726115793852540437e-01
1.003344481605351196e-02 6.156751402861586620e-01 1.406513769725815655e-01 3.750351676477574614e-01 7.500703352955149228e-01
1.337792642140468204e-02 6.667086353398860021e-01 1.338206134965311822e-01 3.658149990043207400e-01 7.316299980086414800e-01
1.672240802675585211e-02 7.171348395900092321e-01 1.284257060601723399e-01 3.583653248574313888e-01 7.167306497148627775e-01
2.006688963210702392e-02 7.662594825972945944e-01 1.241290079260650714e-01 3.523194685595235076e-01 7.046389371190470152e-01
2.341137123745819226e-02 8.133435964616351210e-01 1.205900793474107280e-01 3.472608232257285987e-01 6.945216464514571975e-01
2.675585284280936407e-02 8.576136023273571718e-01 1.174859275302959638e-01 3.427622025986762355e-01 6.855244051973524710e-01
3.010033444816053588e-02 8.982730621312862151e-01 1.145293756263892071e-01 3.384218899929335445e-01 6.768437799858670889e-01
3.344481605351170422e-02 9.345159364560803317e-01 1.114842696750736328e-01 3.338926020071029122e-01 6.677852040142058243e-01
3.678929765886287256e-02 9.655411320595729263e-01 1.081764727580927232e-01 3.289019196631310926e-01 6.578038393262621852e-01
4.013377926421404784e-02 9.905680679617600015e-01 1.044999255799075044e-01 3.232644823977844917e-01 6.465289647955689833e-01
4.347826086956521618e-02 1.008852939170535423e+00 1.004174457381448171e-01 3.168871182900068750e-01 6.337742365800137501e-01
4.682274247491638453e-02 1.019705314471398561e+00 9.595636119119166363e-02 3.097682378669441294e-01 6.195364757338882589e-01
5.016722408026755980e-02 1.022504671309005797e+00 9.119949037802510539e-02 3.019925336461567467e-01 6.039850672923134933e-01
5.351170568561872815e-02 1.016716448507870574e+00 8.627235530915056128e-02 2.937215608516857701e-01 5.874431217033715402e-01
