# X mu var std 2std
0.000000000000000000e+00 -4.679314935506734274e-02 5.207490459662771770e-03 7.216294381233882838e-02 1.443258876246776568e-01
1.002004008016032024e-02 -1.722907826543430831e-02 5.207515325440504640e-03 7.216311610123626874e-02 1.443262322024725375e-01
2.004008016032064049e-02 1.106994095905012437e-02 5.207591230655480088e-03 7.216364202737747535e-02 1.443272840547549507e-01
3.006012024048096073e-02 3.898433332274976043e-02 5.207711871352959689e-03 7.216447790535839013e-02 1.443289558107167803e-01
4.008016032064128098e-02 6.733868804256470941e-02 5.207873373809001998e-03 7.216559688528186023e-02 1.443311937705637205e-01
5.010020040080159776e-02 9.695064321613254543e-02 5.208071527151981669e-03 7.216696977947724412e-02 1.443339395589544882e-01
6.012024048096192147e-02 1.286660231787067066e-01 5.208298507174257547e-03 7.216854236559207270e-02 1.443370847311841454e-01
7.014028056112224518e-02 1.633769241129282568e-01 5.208539076995821922e-03 7.217020906853341411e-02 1.443404181370668282e-01
8.016032064128256196e-02 2.020138969166752063e-01 5.208767361065836515e-03 7.217179061839769372e-02 1.443435812367953874e-01
9.018036072144287874e-02 2.454956715134219147e-01 5.208947562444709092e-03 7.217303902735916488e-02 1.443460780547183298e-01
1.002004008016031955e-01 2.946138110752049011e-01 5.209044721160435536e-03 7.217371211986006729e-02 1.443474242397201346e-01
1.102204408817635123e-01 3.498338290483222202e-01 5.209051105021591382e-03 7.217375634551378982e-02 1.443475126910275796e-01
1.202404809619238429e-01 4.110224394503668721e-01 5.209022376577601351e-03 7.217355732245432642e-02 1.443471146449086528e-01
1.302605210420841597e-01 4.771727265028332665e-01 5.209091367661210399e-03 7.217403527350546577e-02 1.443480705470109315e-01
1.402805611222444904e-01 5.462767877431045083e-01 5.209408279753828183e-03 7.217623071173659421e-02 1.443524614234731884e-01
1.503006012024047933e-01 6.155179703776297861e-01 5.209999495388820123e-03 7.218032623498470135e-02 1.443606524699694027e-01
1.603206412825651239e-01 6.818285027700357048e-01 5.210654539230060237e-03 7.218486364349564754e-02 1.443697272869912951e-01
1.703406813627254268e-01 7.425862751456758781e-01 5.211009056646551119e-03 7.218731922329954531e-02 1.443746384465990906e-01
1.803607214428857575e-01 7.960106031930810344e-01 5.210855929902479151e-03 7.218625859471093642e-02 1.443725171894218728e-01
1.903807615230460881e-01 8.409507943715165412e-01 5.210521302480673397e-03 7.218394075194754789e-02 1.443678815038950958e-01
2.004008016032063910e-01 8.762950648220720895e-01 5.210992492851343298e-03 7.218720449533520822e-02 1.443744089906704164e-01
2.104208416833667217e-01 9.006957627222440532e-01 5.213102752631670368e-03 7.220181959363400348e-02 1.444036391872680070e-01
2.204408817635270246e-01 9.128144335268760790e-01 5.215480782739771205e-03 7.221828565356402940e-02 1.444365713071280588e-01
2.304609218436873552e-01 9.108554929079561990e-01 5.214829232959973179e-03 7.221377453754908304e-02 1.444275490750981661e-01
2.404809619238476859e-01 8.906969062710382579e-01 5.211661655205764888e-03 7.219183925628827603e-02 1.443836785125765521e-01
2.505010020040079888e-01 8.460511866779284462e-01 5.210421262401935052e-03 7.218324779616067111e-02 1.443664955923213422e-01
2.605210420841683194e-01 7.733419222871639187e-01 5.211101760396728323e-03 7.218796132594913761e-02 1.443759226518982752e-01
2.705410821643286501e-01 6.740099100003061894e-01 5.210877069167262239e-03 7.218640501623045658e-02 1.443728100324609132e-01
2.805611222444889807e-01 5.492848472646482128e-01 5.209822249814008259e-03 7.217909842755039496e-02 1.443581968551007899e-01
2.905811623246492559e-01 4.002827682095176920e-01 5.209423898625035847e-03 7.217633891120438239e-02 1.443526778224087648e-01
3.006012024048095865e-01 2.390062968371668428e-01 5.209223943169759112e-03 7.217495371089446832e-02 1.443499074217889366e-01
3.106212424849699172e-01 8.527888552709741998e-02 5.208157669819183343e-03 7.216756660591504280e-02 1.443351332118300856e-01
3.206412825651302478e-01 -5.919966157091003517e-02 5.207772469735177240e-03 7.216489776709433812e-02 1.443297955341886762e-01
3.306613226452905785e-01 -2.152813566989909833e-01 5.208746632418962894e-03 7.217164701196004950e-02 1.443432940239200990e-01
3.406813627254508536e-01 -3.850166238283490028e-01 5.211659982657916405e-03 7.219182767223666919e-02 1.443836553444733384e-01
3.507014028056111843e-01 -5.206699448741852754e-01 5.277958558149026258e-03 7.264955993086968933e-02 1.452991198617393787e-01
3.607214428857715149e-01 -5.832251771445819966e-01 5.436833831282308904e-03 7.373488883345731548e-02 1.474697776669146310e-01
3.707414829659318456e-01 -5.878404855869718837e-01 5.468991957753708243e-03 7.395263320365075277e-02 1.479052664073015055e-01
3.807615230460921762e-01 -5.700947241298180979e-01 5.406006324030683888e-03 7.352554878428779750e-02 1.470510975685755950e-01
3.907815631262524514e-01 -5.562219578218554616e-01 5.360515970063335807e-03 7.321554459309399798e-02 1.464310891861879960e-01
4.008016032064127820e-01 -5.375974274431601918e-01 5.310342083165571665e-03 7.287209399465320592e-02 1.457441879893064118e-01
4.108216432865731127e-01 -4.812380004065823780e-01 5.241149324005648334e-03 7.239578250150797978e-02 1.447915650030159596e-01
4.208416833667334433e-01 -3.696643619219115995e-01 5.211178529194185338e-03 7.218849305252315884e-02 1.443769861050463177e-01
4.308617234468937740e-01 -2.203210008600759995e-01 5.208657195392315392e-03 7.217102739598706129e-02 1.443420547919741226e-01
4.408817635270540491e-01 -6.062457478657930915e-02 5.207655202814471217e-03 7.216408526971343496e-02 1.443281705394268699e-01
4.509018036072143798e-01 1.070129836202943358e-01 5.208457251628012367e-03 7.216964217472615628e-02 1.443392843494523126e-01
4.609218436873747105e-01 2.929316024592956147e-01 5.209808114158582561e-03 7.217900050678578705e-02 1.443580010135715741e-01
4.709418837675350411e-01 4.781614332769232867e-01 5.213085749826223796e-03 7.220170184854525497e-02 1.444034036970905099e-01
4.809619238476953718e-01 6.277581575565678307e-01 5.214003699102904080e-03 7.220805840834458589e-02 1.444161168166891718e-01
4.909819639278556469e-01 6.964892971219041051e-01 5.213273084234665289e-03 7.220299913601002650e-02 1.444059982720200530e-01
5.010020040080159776e-01 6.464788391089879571e-01 5.219090032692478946e-03 7.224326980897582962e-02 1.444865396179516592e-01
5.110220440881763082e-01 5.040893295477489877e-01 5.216253304038090399e-03 7.222363397142302077e-02 1.444472679428460415e-01
5.210420841683366389e-01 3.492683257454537449e-01 5.210136063654232687e-03 7.218127225017742510e-02 1.443625445003548502e-01
5.310621242484969695e-01 2.187972978153698289e-01 5.209489884025193633e-03 7.217679602216486856e-02 1.443535920443297371e-01
5.410821643286573002e-01 7.485397510614313910e-02 5.208158684156501475e-03 7.216757363356829380e-02 1.443351472671365876e-01
5.511022044088176308e-01 -8.747540544225840264e-02 5.207699820946424217e-03 7.216439441266325749e-02 1.443287888253265150e-01
5.611222444889779615e-01 -2.421891189778768161e-01 5.209226855357054244e-03 7.217497388539226288e-02 1.443499477707845258e-01
5.711422845691381811e-01 -3.581659693742919592e-01 5.214176050822475622e-03 7.220925183674510583e-02 1.444185036734902117e-01
5.811623246492985118e-01 -4.425461632095776254e-01 5.224212534717683973e-03 7.227871425750241607e-02 1.445574285150048321e-01
5.911823647294588424e-01 -4.818968902709916957e-01 5.241925490906420258e-03 7.240114288397953013e-02 1.448022857679590603e-01
6.012024048096191731e-01 -4.492237551880911006e-01 5.225996241145904574e-03 7.229105228965687635e-02 1.445821045793137527e-01
6.112224448897795037e-01 -3.529224046874517851e-01 5.210125607516539158e-03 7.218119982042789373e-02 1.443623996408557875e-01
6.212424849699398344e-01 -2.122472843631668660e-01 5.208362406297466392e-03 7.216898507182616107e-02 1.443379701436523221e-01
6.312625250501001650e-01 -3.572344759963137772e-02 5.207674940704318071e-03 7.216422202659929230e-02 1.443284440531985846e-01
6.412825651302604957e-01 1.498571231508959989e-01 5.208579035353519231e-03 7.217048590215753567e-02 1.443409718043150713e-01
6.513026052104208263e-01 2.934954125915282819e-01 5.210941594834295719e-03 7.218685195265336918e-02 1.443737039053067384e-01
6.613226452905811570e-01 4.123716788684108625e-01 5.210363024752857723e-03 7.218284439361515037e-02 1.443656887872303007e-01
6.713426853707413766e-01 4.404185362079062749e-01 5.209230835231443493e-03 7.217500145640069753e-02 1.443500029128013951e-01
6.813627254509017073e-01 3.831047482459635778e-01 5.209215142314999741e-03 7.217489274197087801e-02 1.443497854839417560e-01
6.913827655310620379e-01 2.696865903310193824e-01 5.209321887064855862e-03 7.217563222490576413e-02 1.443512644498115283e-01
7.014028056112223686e-01 1.007466016575285783e-01 5.208315498486914760e-03 7.216866008515687714e-02 1.443373201703137543e-01
7.114228456913826992e-01 -7.684767258335872819e-02 5.208014827108853155e-03 7.216657693911256166e-02 1.443331538782251233e-01
7.214428857715430299e-01 -2.468310955251996341e-01 5.209553790260781740e-03 7.217723872704456811e-02 1.443544774540891362e-01
7.314629258517033605e-01 -3.457688348591231309e-01 5.210062845806268453e-03 7.218076506803089432e-02 1.443615301360617886e-01
7.414829659318636912e-01 -3.988216175660652119e-01 5.213559704351226204e-03 7.220498393013619065e-02 1.444099678602723813e-01
7.515030060120240218e-01 -3.407097228885027085e-01 5.209848318956484918e-03 7.217927901383114353e-02 1.443585580276622871e-01
7.615230460921843525e-01 -2.226172254268151685e-01 5.209205154598628776e-03 7.217482355086590751e-02 1.443496471017318150e-01
7.715430861723445721e-01 -7.025853845057350444e-02 5.207967860737505554e-03 7.216625153586339603e-02 1.443325030717267921e-01
7.815631262525049028e-01 1.133573217690996143e-01 5.208360082012682656e-03 7.216896896875195366e-02 1.443379379375039073e-01
7.915831663326652334e-01 2.591366668980314425e-01 5.209124439206530392e-03 7.217426438285692858e-02 1.443485287657138572e-01
