# X mu var std 2std
0.000000000000000000e+00 -1.484189199789455460e-01 1.457101466211918606e-02 1.207104579649964926e-01 2.414209159299929852e-01
3.344481605351170509e-03 -1.337290305229881793e-01 1.000044309609859905e-02 1.000022154559517679e-01 2.000044309119035357e-01
6.688963210702341018e-03 -1.169999133586283324e-01 6.593019606479622041e-03 8.119741132868474320e-02 1.623948226573694864e-01
1.003344481605351196e-02 -9.851955273786765221e-02 4.210287086461456108e-03 6.488672504034594113e-02 1.297734500806918823e-01
1.337792642140468204e-02 -7.862733461947389590e-02 2.679437601263295887e-03 5.176328429749503524e-02 1.035265685949900705e-01
1.672240802675585211e-02 -5.770212421575586503e-02 1.810936677262231509e-03 4.255510165963925090e-02 8.511020331927850180e-02
2.006688963210702392e-02 -3.614804208576835598e-02 1.416032828414848233e-03 3.763021164456623741e-02 7.526042328913247481e-02
2.341137123745819226e-02 -1.437852217176677563e-02 1.322163220621896951e-03 3.636156240622639979e-02 7.272312481245279958e-02
2.675585284280936407e-02 7.200644637345563447e-03 1.384675260903300842e-03 3.721122493150824662e-02 7.442244986301649323e-02
3.010033444816053588e-02 2.820849097617494569e-02 1.493899432725181997e-03 3.865099523589505398e-02 7.730199047179010796e-02
3.344481605351170422e-02 4.830543976045611337e-02 1.577319351724809637e-03 3.971548000118857447e-02 7.943096000237714893e-02
3.678929765886287256e-02 6.720841578713708520e-02 1.597268130821283272e-03 3.996583704642357737e-02 7.993167409284715474e-02
4.013377926421404784e-02 8.470370231469111222e-02 1.545126645027344869e-03 3.930809897498662581e-02 7.861619794997325161e-02
4.347826086956521618e-02 1.006568288372898246e-01 1.433334387425683198e-03 3.785940289314773666e-02 7.571880578629547331e-02
4.682274247491638453e-02 1.150189036443337448e-01 1.286618793062133115e-03 3.586946881488674993e-02 7.173893762977349986e-02
5.016722408026755980e-02 1.278289680202009115e-01 1.133722780512602668e-03 3.367080011690548602e-02 6.734160023381097204e-02
5.351170568561872815e-02 1.392121407121219845e-01 1.000618796143687428e-03 3.163255911467940940e-02 6.326511822935881879e-02
5.685618729096989649e-02 1.493735325702034433e-01 9.058171289104965940e-04 3.009679599077776449e-02 6.019359198155552898e-02
6.020066889632107177e-02 1.585881317805498403e-01 8.579839443521031228e-04 2.929136296508073195e-02 5.858272593016146390e-02
