# X mu var std 2std
-1.560786800203009195e+00 1.203698898709187226e+00 3.144135608934463667e-04 1.773171060257431458e-02 3.546342120514862917e-02
-1.006448028907303449e+00 -1.013240584734464989e-01 1.372967810561657835e-04 1.171737091058253424e-02 2.343474182116506849e-02
-9.604925074051680056e-01 3.253693849461056775e-01 1.098823315140396790e-04 1.048247735576088302e-02 2.096495471152176604e-02
-7.582689672991604901e-01 1.031039433977970265e+00 1.831832790123022871e-04 1.353452175040929448e-02 2.706904350081858895e-02
-5.092136320712477016e-01 -5.626944641211256704e-01 1.796404968831682991e-04 1.340300327848830721e-02 2.680600655697661441e-02
-5.930513670017751870e-01 -1.104597499120211213e-01 9.367342100003365850e-05 9.678503035079012370e-03 1.935700607015802474e-02
-6.481963253587745832e-01 3.238480170389670398e-01 7.793477399592264106e-05 8.828067398696197790e-03 1.765613479739239558e-02
-6.218047617218465106e-01 1.112658482062599263e-01 7.491370184294056866e-05 8.655270177350939120e-03 1.731054035470187824e-02
-5.483774366233613584e-01 -3.990707432022648216e-01 1.470853549694676977e-04 1.212787512177907097e-02 2.425575024355814194e-02
-4.019304161716976687e-01 -4.598595286545625882e-01 1.206771607586499731e-04 1.098531568771011525e-02 2.197063137542023051e-02
-4.282785425086150788e-01 -5.589244954146165290e-01 1.394139355977046582e-04 1.180736785222280885e-02 2.361473570444561770e-02
-3.594338267398184961e-01 -2.229908493853150486e-01 1.209759430536225516e-04 1.099890644808030650e-02 2.199781289616061300e-02
-3.127701206176927151e-01 1.010322311602145362e-01 1.647828617512542672e-04 1.283677770124785900e-02 2.567355540249571799e-02
-2.766003993478705070e-01 3.575602948118968838e-01 2.077246308603080359e-04 1.441265523282604655e-02 2.882531046565209309e-02
-2.515006767795870957e-01 5.207323485353738679e-01 2.314813950180758819e-04 1.521451264477688935e-02 3.042902528955377869e-02
-1.944387006579519905e-01 7.986960683554509277e-01 2.545363114924248209e-04 1.595419416618792594e-02 3.190838833237585187e-02
-1.696284519622168752e-01 8.664684570664145102e-01 2.527061810267318561e-04 1.589673491716873943e-02 3.179346983433747886e-02
-1.400676540282881355e-01 9.000622335464452117e-01 2.434936910428858183e-04 1.560428438099247840e-02 3.120856876198495680e-02
-1.051447458542216218e-01 8.744215653260944965e-01 2.241690127967468720e-04 1.497227480367451999e-02 2.994454960734903998e-02
3.113271820901175602e-02 2.977324564969790477e-01 1.199055594775713250e-04 1.095013970128104475e-02 2.190027940256208949e-02
4.072829066243714990e-01 3.532550444599538153e-01 1.609598969552090422e-04 1.268699716068420399e-02 2.537399432136840799e-02
7.096249267625722723e-01 2.423741026107629759e-01 2.128903034172158345e-04 1.459076089233237415e-02 2.918152178466474830e-02
7.762357834173370108e-01 8.399556566884153197e-03 5.357014994722623501e-04 2.314522627826874970e-02 4.629045255653749941e-02
8.122011382006286695e-01 -7.642808135761633426e-02 7.457321794212379935e-04 2.730809732334418816e-02 5.461619464668837631e-02
8.514866995750112189e-01 -1.223291143544275872e-01 8.904329933353467320e-04 2.984012388270777111e-02 5.968024776541554222e-02
8.767838002946648501e-01 -1.249424229764948130e-01 9.041717321814986448e-04 3.006944848482423840e-02 6.013889696964847681e-02
9.738797641057965748e-01 2.356037003960963216e-02 4.864364688094266931e-04 2.205530477706954540e-02 4.411060955413909079e-02
1.145896707720449825e+00 4.695243479794415364e-01 1.571352644184224119e-04 1.253536056196320227e-02 2.507072112392640453e-02
1.433987738250132260e+00 9.043735030140463704e-02 1.317867806731718881e-04 1.147984236273181038e-02 2.295968472546362077e-02
1.598309688464706113e+00 -1.169372096994907295e-01 1.969837273900401219e-04 1.403508914791922954e-02 2.807017829583845908e-02
