# X mu var std 2std
3.586772256867235553e-01 -1.250274401542089020e+00 3.561163865008060357e-06 1.887104624817622679e-03 3.774209249635245358e-03
3.426965520734840398e-01 -1.282212372263630495e+00 2.188266934473808197e-06 1.479279194227312846e-03 2.958558388454625692e-03
3.512656065582144271e-01 -1.265330785852421425e+00 2.785852227918656683e-06 1.669087243950614138e-03 3.338174487901228275e-03
3.512782415919910584e-01 -1.265305478385593041e+00 2.786956685106132866e-06 1.669418067802709831e-03 3.338836135605419662e-03
3.512888823186348097e-01 -1.265284164484240526e+00 2.787887361085191842e-06 1.669696787169811783e-03 3.339393574339623565e-03
3.512888942185655727e-01 -1.265284140647601641e+00 2.787888402181681459e-06 1.669697098931923569e-03 3.339394197863847138e-03
3.512907496870897317e-01 -1.265280423963163647e+00 2.788050739266812164e-06 1.669745710959250279e-03 3.339491421918500558e-03
2.538405707209513418e-01 -1.425506818073522641e+00 2.728813070435275204e-06 1.651911943910835392e-03 3.303823887821670784e-03
1.592819125006117997e-01 -1.524238615689488929e+00 2.804830961439004678e-06 1.674762956790901928e-03 3.349525913581803856e-03
6.936732135800621757e-02 -1.588266672151227077e+00 2.918692267844707110e-06 1.708418060032352529e-03 3.416836120064705058e-03
1.187215532228130810e-02 -1.627650154385109849e+00 1.143438502305117576e-05 3.381476751812907949e-03 6.762953503625815897e-03
6.627832859303941504e-01 -2.131177906472175865e-01 1.647539185656148877e-05 4.058989019024502286e-03 8.117978038049004572e-03
7.672040207755158603e-01 3.474628499646180146e-01 1.052967122550104230e-05 3.244945488833524821e-03 6.489890977667049643e-03
8.969825502820079066e-01 9.707560272484501152e-01 5.981049807226716773e-06 2.445618491757599582e-03 4.891236983515199165e-03
9.785753826456926596e-01 1.164920544303785555e+00 2.082674589613973804e-05 4.563632971234621132e-03 9.127265942469242263e-03
