# X mu var std 2std
-1.000000000000000000e+01 -1.003062816927352774e+00 1.522065357780924371e-04 1.233720129438165697e-02 2.467440258876331394e-02
-9.979979979979979987e+00 -1.003066000783297884e+00 1.522067338057968874e-04 1.233720932001224069e-02 2.467441864002448138e-02
-9.959959959959959974e+00 -1.003069072276845830e+00 1.522069319330893460e-04 1.233721734967368339e-02 2.467443469934736677e-02
-9.939939939939939961e+00 -1.003072030439466911e+00 1.522071297404600624e-04 1.233722536636419100e-02 2.467445073272838199e-02
-9.919919919919919948e+00 -1.003074874323053756e+00 1.522073267903824756e-04 1.233723335235183474e-02 2.467446670470366948e-02
-9.899899899899899935e+00 -1.003077602999453699e+00 1.522075226283039302e-04 1.233724128921469786e-02 2.467448257842939571e-02
-9.879879879879879923e+00 -1.003080215559925659e+00 1.522077167837211783e-04 1.233724915788447438e-02 2.467449831576894875e-02
-9.859859859859859910e+00 -1.003082711114484660e+00 1.522079087713131809e-04 1.233725693869237687e-02 2.467451387738475374e-02
-9.839839839839839897e+00 -1.003085088791108914e+00 1.522080980921477708e-04 1.233726461141803309e-02 2.467452922283606617e-02
-9.819819819819819884e+00 -1.003087347734912704e+00 1.522082842349626642e-04 1.233727215534141664e-02 2.467454431068283327e-02
-9.799799799799799871e+00 -1.003089487107159172e+00 1.522084666775177597e-04 1.233727954929763997e-02 2.467455909859527993e-02
-9.779779779779779858e+00 -1.003091506084199613e+00 1.522086448880161200e-04 1.233728677173454198e-02 2.467457354346908396e-02
-9.759759759759759845e+00 -1.003093403856288424e+00 1.522088183265991683e-04 1.233729380077329407e-02 2.467458760154658814e-02
-9.739739739739739832e+00 -1.003095179626329658e+00 1.522089864469169658e-04 1.233730061427202804e-02 2.467460122854405608e-02
-9.719719719719719819e+00 -1.003096832608463718e+00 1.522091486977651936e-04 1.233730718989217712e-02 2.467461437978435423e-02
-9.699699699699699806e+00 -1.003098362026620283e+00 1.522093045248075981e-04 1.233731350516827779e-02 2.467462701033655559e-02
-9.679679679679679793e+00 -1.003099767112892060e+00 1.522094533723583653e-04 1.233731953758021062e-02 2.467463907516042124e-02
-9.659659659659659781e+00 -1.003101047105865451e+00 1.522095946852541849e-04 1.233732526462904752e-02 2.467465052925809504e-02
-9.639639639639639768e+00 -1.003102201248802228e+00 1.522097279107918289e-04 1.233733066391558796e-02 2.467466132783117591e-02
-9.619619619619619755e+00 -1.003103228787745937e+00 1.522098525007471519e-04 1.233733571322216845e-02 2.467467142644433689e-02
-9.599599599599599742e+00 -1.003104128969496855e+00 1.522099679134705568e-04 1.233734039059758425e-02 2.467468078119516850e-02
-9.579579579579579729e+00 -1.003104901039498564e+00 1.522100736160633130e-04 1.233734467444527923e-02 2.467468934889055845e-02
-9.559559559559559716e+00 -1.003105544239604185e+00 1.522101690866298511e-04 1.233734854361462352e-02 2.467469708722924704e-02
-9.539539539539539703e+00 -1.003106057805733142e+00 1.522102538166112914e-04 1.233735197749546639e-02 2.467470395499093277e-02
-9.519519519519519690e+00 -1.003106440965444879e+00 1.522103273132098555e-04 1.233735495611639789e-02 2.467470991223279578e-02
-9.499499499499499677e+00 -1.003106692935366695e+00 1.522103891018830731e-04 1.233735746024581560e-02 2.467471492049163120e-02
-9.479479479479479664e+00 -1.003106812918515445e+00 1.522104387289296588e-04 1.233735947149671407e-02 2.467471894299342813e-02
-9.459459459459459651e+00 -1.003106800101554175e+00 1.522104757641701202e-04 1.233736097243531664e-02 2.467472194487063328e-02
-9.439439439439439639e+00 -1.003106653651866242e+00 1.522104998037027460e-04 1.233736194669276739e-02 2.467472389338553479e-02
-9.419419419419419626e+00 -1.003106372714575034e+00 1.522105104727598010e-04 1.233736237908086321e-02 2.467472475816172642e-02
-9.399399399399399613e+00 -1.003105956409403587e+00 1.522105074286479363e-04 1.233736225571122405e-02 2.467472451142244810e-02
-9.379379379379379600e+00 -1.003105403827466935e+00 1.522104903638017638e-04 1.233736156411903775e-02 2.467472312823807551e-02
-9.359359359359359587e+00 -1.003104714027899691e+00 1.522104590089124029e-04 1.233736029338984748e-02 2.467472058677969496e-02
-9.339339339339339574e+00 -1.003103886034395931e+00 1.522104131361746656e-04 1.233735843429113743e-02 2.467471686858227486e-02
-9.319319319319319561e+00 -1.003102918831599633e+00 1.522103525626308448e-04 1.233735597940785814e-02 2.467471195881571627e-02
-9.299299299299299548e+00 -1.003101811361419848e+00 1.522102771536246841e-04 1.233735292328239606e-02 2.467470584656479213e-02
-9.279279279279279535e+00 -1.003100562519171790e+00 1.522101868263648250e-04 1.233734926255898937e-02 2.467469852511797873e-02
-9.259259259259259522e+00 -1.003099171149622215e+00 1.522100815536106880e-04 1.233734499613311011e-02 2.467468999226622023e-02
