# X mu var std 2std
-8.560040792156204947e-01 -2.244546834771871779e+00 4.441883717950828765e-03 6.664745845079787789e-02 1.332949169015957558e-01
-8.368089803744320765e-01 -2.264614899394178593e+00 4.110550300861832984e-03 6.411357345259920126e-02 1.282271469051984025e-01
-8.546320572186418829e-01 -2.245993057852253116e+00 4.417567813181286912e-03 6.646478626446704341e-02 1.329295725289340868e-01
-7.962712964668205995e-01 -2.305613104498902999e+00 3.475270257236280375e-03 5.895142286015054439e-02 1.179028457203010888e-01
-6.592948606250625954e-01 -2.422603654725207001e+00 1.987380980393247450e-03 4.458005137270758256e-02 8.916010274541516512e-02
-6.317402280720467722e-01 -2.440562843280931205e+00 1.803292654617149292e-03 4.246519344848377620e-02 8.493038689696755239e-02
-6.039167199731725333e-01 -2.456290330230265884e+00 1.651434204755418368e-03 4.063784202877188112e-02 8.127568405754376224e-02
-5.647782975874278133e-01 -2.473887269814494694e+00 1.489753296887695762e-03 3.859732240567596145e-02 7.719464481135192291e-02
-6.150433497346472489e-01 -2.450305478990461694e+00 1.708248299895563996e-03 4.133096054891011173e-02 8.266192109782022346e-02
-5.433823280219480800e-01 -2.481071377651453691e+00 1.424048846014984437e-03 3.773657173108050517e-02 7.547314346216101033e-02
-5.211232899877886737e-01 -2.486579701520848840e+00 1.370509090199493064e-03 3.702038749391330791e-02 7.404077498782661582e-02
-4.994043397804703854e-01 -2.489916744201031928e+00 1.331082021169774409e-03 3.648399678173670779e-02 7.296799356347341559e-02
-4.800680681358324708e-01 -2.491110696626152698e+00 1.305218503665080696e-03 3.612780790007996679e-02 7.225561580015993357e-02
-4.594680751930511065e-01 -2.490458725281129659e+00 1.285828011263961696e-03 3.585844407198898048e-02 7.171688814397796097e-02
-4.351096448836735409e-01 -2.487015417258131578e+00 1.271852943104810792e-03 3.566304730536652701e-02 7.132609461073305401e-02
-4.009299894263418373e-01 -2.477060278614842570e+00 1.264475883930523325e-03 3.555946968010804260e-02 7.111893936021608520e-02
-3.976991000613678828e-01 -2.475798796199398577e+00 1.264331969526147565e-03 3.555744604898034011e-02 7.111489209796068023e-02
-4.061539481627733927e-01 -2.478981018696746030e+00 1.264880149441519833e-03 3.556515358383146447e-02 7.113030716766292894e-02
1.457450928979197258e+00 2.194108199803595838e+00 9.378604226548087168e-04 3.062450689651686001e-02 6.124901379303372001e-02
1.999760763162356625e+00 1.699789448883467280e+00 1.408766992881532298e-03 3.753354490161477097e-02 7.506708980322954194e-02
