# X mu var std 2std
-2.357608143370162335e-01 -8.632291192299972327e-01 2.397677190541780130e-04 1.548443473473210159e-02 3.096886946946420319e-02
-1.999917283882268304e+00 -1.020559376446778632e+00 1.692430520521789926e-04 1.300934479719017232e-02 2.601868959438034465e-02
-1.951671969317581024e+00 -1.016768682073810215e+00 1.469704517800021998e-04 1.212313704368643205e-02 2.424627408737286410e-02
-1.717810206052044375e+00 -9.904995293573718440e-01 1.499531134300256590e-04 1.224553442810993355e-02 2.449106885621986709e-02
-1.632820829582955824e+00 -9.841878475072194377e-01 1.622067512135584252e-04 1.273604142634431058e-02 2.547208285268862116e-02
-1.103576120802749250e+00 -1.100917626064377819e+00 3.237787398895097292e-04 1.799385283616351458e-02 3.598770567232702916e-02
-2.521313026365294974e-01 -8.897250023320798507e-01 2.393378451131692266e-04 1.547054766687880507e-02 3.094109533375761015e-02
-2.283671101881781240e-01 -8.509588976848042607e-01 2.402517618966678811e-04 1.550005683527218119e-02 3.100011367054436237e-02
-2.182234019499749156e-01 -8.338227270519482648e-01 2.412009275132206683e-04 1.553064478742658891e-02 3.106128957485317782e-02
-2.085991533279036858e-01 -8.172454783553563251e-01 2.423979652952072011e-04 1.556913502077771766e-02 3.113827004155543532e-02
-1.973726997258504756e-01 -7.975232068607033264e-01 2.441458903854596720e-04 1.562516849142624870e-02 3.125033698285249739e-02
-1.811860923220267594e-01 -7.683727848921765302e-01 2.472994233617201165e-04 1.572575668645932387e-02 3.145151337291864774e-02
-1.532235231002709863e-01 -7.160996049430448096e-01 2.543555498701768978e-04 1.594852814118521978e-02 3.189705628237043955e-02
-1.084094889168423226e-01 -6.276002686505027794e-01 2.691974490156313080e-04 1.640723770217373742e-02 3.281447540434747484e-02
1.399532359642718937e-01 -6.570537810523775779e-02 3.919450712944393079e-04 1.979760266533398330e-02 3.959520533066796660e-02
1.999521427729892942e+00 9.919223685925034895e-01 1.328182651373407811e-04 1.152468069567833160e-02 2.304936139135666320e-02
1.558190168507658679e+00 1.024968643919228262e+00 2.309347334425803191e-04 1.519653688978447187e-02 3.039307377956894374e-02
1.943969524120126025e+00 9.879671081345327011e-01 1.428519738244021309e-04 1.195206985523437036e-02 2.390413971046874073e-02
1.999989490951648463e+00 9.919610160755172323e-01 1.330014214900068737e-04 1.153262422391395162e-02 2.306524844782790323e-02
1.999999403131570208e+00 9.919618353243677689e-01 1.330053635002295144e-04 1.153279512955248526e-02 2.306559025910497052e-02
