X	y
-1.000000000000000000e+01	-1.403468074818145839e+00
-9.949999999999999289e+00	-1.399946617201569099e+00
-9.899999999999998579e+00	-1.401028987793192293e+00
-9.849999999999997868e+00	-1.407720410853167348e+00
-9.799999999999997158e+00	-1.420551713791982307e+00
-9.749999999999996447e+00	-1.439894459166886964e+00
-9.699999999999995737e+00	-1.465602722292633775e+00
-9.649999999999995026e+00	-1.497254690568164515e+00
-9.599999999999994316e+00	-1.534073164164734049e+00
-9.549999999999993605e+00	-1.574830290776213948e+00
-9.499999999999992895e+00	-1.618141733215213263e+00
-9.449999999999992184e+00	-1.662296541630086333e+00
-9.399999999999991473e+00	-1.705454309603498197e+00
-9.349999999999990763e+00	-1.745640480591955201e+00
-9.299999999999990052e+00	-1.780921851046863402e+00
-9.249999999999989342e+00	-1.809384314980996500e+00
-9.199999999999988631e+00	-1.829269863624333414e+00
-9.149999999999987921e+00	-1.839055393421705098e+00
-9.099999999999987210e+00	-1.837545331358091172e+00
-9.049999999999986500e+00	-1.823966387758163332e+00
-8.999999999999985789e+00	-1.797858251243936945e+00
-8.949999999999985079e+00	-1.759338500348724299e+00
-8.899999999999984368e+00	-1.708989767820844552e+00
-8.849999999999983658e+00	-1.647841500961196859e+00
-8.799999999999982947e+00	-1.577496357213373557e+00
-8.749999999999982236e+00	-1.499887515874323007e+00
-8.699999999999981526e+00	-1.417459200169152389e+00
-8.649999999999980815e+00	-1.332851935300200630e+00
-8.599999999999980105e+00	-1.249045840040597266e+00
-8.549999999999979394e+00	-1.169086193177145683e+00
-8.499999999999978684e+00	-1.096113291866127382e+00
-8.449999999999977973e+00	-1.033182147180175647e+00
-8.399999999999977263e+00	-9.831754740494372813e-01
-8.349999999999976552e+00	-9.487426942131617080e-01
-8.299999999999975842e+00	-9.321257542670319252e-01
-8.249999999999975131e+00	-9.351431446745133158e-01
-8.199999999999974420e+00	-9.591444527459151992e-01
-8.149999999999973710e+00	-1.004856314419998009e+00
-8.099999999999972999e+00	-1.072400001802840341e+00
-8.049999999999972289e+00	-1.161382598751703910e+00
-7.999999999999971578e+00	-1.270687305023014746e+00
-7.949999999999970868e+00	-1.398695675009457906e+00
-7.899999999999970157e+00	-1.543175045341136142e+00
-7.849999999999969447e+00	-1.701387030015810709e+00
-7.799999999999968736e+00	-1.870282929824355733e+00
-7.749999999999968026e+00	-2.046297197898350628e+00
-7.699999999999967315e+00	-2.225751310667674066e+00
-7.649999999999966604e+00	-2.404728983114604368e+00
-7.599999999999965894e+00	-2.579290751481941868e+00
-7.549999999999965183e+00	-2.745493509951991928e+00
-7.499999999999964473e+00	-2.899552238796939019e+00
-7.449999999999963762e+00	-3.037987899022793759e+00
-7.399999999999963052e+00	-3.157549225405263726e+00
-7.349999999999962341e+00	-3.255406451809985224e+00
-7.299999999999961631e+00	-3.329377028885548651e+00
-7.249999999999960920e+00	-3.377628303872756810e+00
-7.199999999999960210e+00	-3.399022721332576324e+00
-7.149999999999959499e+00	-3.393041098297842950e+00
-7.099999999999958789e+00	-3.359804074220250403e+00
-7.049999999999958078e+00	-3.300078712249154833e+00
-6.999999999999957367e+00	-3.215287898185681392e+00
-6.949999999999956657e+00	-3.107470433304151403e+00
-6.899999999999955946e+00	-2.979182180128272073e+00
-6.849999999999955236e+00	-2.833495784133700290e+00
-6.799999999999954525e+00	-2.673859558583409513e+00
-6.749999999999953815e+00	-2.504057603257533682e+00
-6.699999999999953104e+00	-2.328155651764482137e+00
-6.649999999999952394e+00	-2.150187297712007339e+00
-6.599999999999951683e+00	-1.974275657002285689e+00
-6.549999999999950973e+00	-1.804408814081904122e+00
-6.499999999999950262e+00	-1.644271899975158213e+00
-6.449999999999949551e+00	-1.497238310416144191e+00
-6.399999999999948841e+00	-1.366281166701824867e+00
-6.349999999999948130e+00	-1.253738868344746571e+00
-6.299999999999947420e+00	-1.161445563016141103e+00
-6.249999999999946709e+00	-1.090565248224812933e+00
-6.199999999999945999e+00	-1.041591164348342424e+00
-6.149999999999945288e+00	-1.014390308695005904e+00
-6.099999999999944578e+00	-1.008224594561288656e+00
-6.049999999999943867e+00	-1.021715650618006288e+00
-5.999999999999943157e+00	-1.053078617671142192e+00
