X	y
-5.000000000000000000e+00	-1.154687071598281101e+00
-4.990000000000000213e+00	-1.162899137241746317e+00
-4.980000000000000426e+00	-1.170947888308000895e+00
-4.970000000000000639e+00	-1.178832428066269422e+00
-4.960000000000000853e+00	-1.186555989972428726e+00
-4.950000000000001066e+00	-1.194114112683353657e+00
-4.940000000000001279e+00	-1.201513805814952152e+00
-4.930000000000001492e+00	-1.208748518192127142e+00
-4.920000000000001705e+00	-1.215821029514299489e+00
-4.910000000000001918e+00	-1.222732128600725554e+00
-4.900000000000002132e+00	-1.229480633206129880e+00
-4.890000000000002345e+00	-1.236067033681199856e+00
-4.880000000000002558e+00	-1.242491520768896240e+00
-4.870000000000002771e+00	-1.248754295147834092e+00
-4.860000000000002984e+00	-1.254856735924952282e+00
-4.850000000000003197e+00	-1.260797196751084703e+00
-4.840000000000003411e+00	-1.266578509542081177e+00
-4.830000000000003624e+00	-1.272200152084054459e+00
-4.820000000000003837e+00	-1.277662723663248068e+00
-4.810000000000004050e+00	-1.282965475201786498e+00
-4.800000000000004263e+00	-1.288110671368072779e+00
-4.790000000000004476e+00	-1.293098510560925174e+00
-4.780000000000004690e+00	-1.297930162494258299e+00
-4.770000000000004903e+00	-1.302605583241905896e+00
-4.760000000000005116e+00	-1.307127278631587508e+00
-4.750000000000005329e+00	-1.311494395425637505e+00
-4.740000000000005542e+00	-1.315708621179420668e+00
-4.730000000000005755e+00	-1.319771872314847272e+00
-4.720000000000005969e+00	-1.323683930186902113e+00
-4.710000000000006182e+00	-1.327447371398873255e+00
-4.700000000000006395e+00	-1.331062670583299745e+00
-4.690000000000006608e+00	-1.334531057539324328e+00
-4.680000000000006821e+00	-1.337855794151015187e+00
-4.670000000000007034e+00	-1.341035174538376840e+00
-4.660000000000007248e+00	-1.344072453780210008e+00
-4.650000000000007461e+00	-1.346971624594433425e+00
-4.640000000000007674e+00	-1.349730593867032535e+00
-4.630000000000007887e+00	-1.352353191280709410e+00
-4.620000000000008100e+00	-1.354841434903244934e+00
-4.610000000000008313e+00	-1.357197526620067096e+00
-4.600000000000008527e+00	-1.359421806363320329e+00
-4.590000000000008740e+00	-1.361520186867623217e+00
-4.580000000000008953e+00	-1.363490832643076800e+00
-4.570000000000009166e+00	-1.365339558491792449e+00
-4.560000000000009379e+00	-1.367065651795442704e+00
-4.550000000000009592e+00	-1.368672622158213503e+00
-4.540000000000009805e+00	-1.370165401350387224e+00
-4.530000000000010019e+00	-1.371544848677280104e+00
-4.520000000000010232e+00	-1.372812568948527545e+00
-4.510000000000010445e+00	-1.373974921905752211e+00
-4.500000000000010658e+00	-1.375033174242489498e+00
-4.490000000000010871e+00	-1.375988277331589904e+00
-4.480000000000011084e+00	-1.376847914386572169e+00
-4.470000000000011298e+00	-1.377610708471827650e+00
-4.460000000000011511e+00	-1.378283675187829127e+00
-4.450000000000011724e+00	-1.378868513334297941e+00
-4.440000000000011937e+00	-1.379369239568323913e+00
-4.430000000000012150e+00	-1.379789171622102684e+00
-4.420000000000012363e+00	-1.380131561849760935e+00
-4.410000000000012577e+00	-1.380403667231320908e+00
-4.400000000000012790e+00	-1.380606071539272950e+00
-4.390000000000013003e+00	-1.380741659076121230e+00
-4.380000000000013216e+00	-1.380817785640773732e+00
-4.370000000000013429e+00	-1.380837166050645548e+00
-4.360000000000013642e+00	-1.380804047016757297e+00
-4.350000000000013856e+00	-1.380722617501513927e+00
-4.340000000000014069e+00	-1.380597702728355358e+00
-4.330000000000014282e+00	-1.380433139492584171e+00
-4.320000000000014495e+00	-1.380234669774714762e+00
-4.310000000000014708e+00	-1.380005502813248741e+00
-4.300000000000014921e+00	-1.379751347393095573e+00
-4.290000000000015135e+00	-1.379476875776159073e+00
-4.280000000000015348e+00	-1.379185947739042906e+00
-4.270000000000015561e+00	-1.378884555503077092e+00
-4.260000000000015774e+00	-1.378576443500029391e+00
-4.250000000000015987e+00	-1.378267814479487985e+00
-4.240000000000016200e+00	-1.377962251052022191e+00
-4.230000000000016414e+00	-1.377666028443699453e+00
-4.220000000000016627e+00	-1.377383471417079841e+00
-4.210000000000016840e+00	-1.377120221839193359e+00
-4.200000000000017053e+00	-1.376881300672376129e+00
-4.190000000000017266e+00	-1.376670785576245670e+00
-4.180000000000017479e+00	-1.376495064256947787e+00
-4.170000000000017693e+00	-1.376359049189100459e+00
-4.160000000000017906e+00	-1.376267653895032694e+00
-4.150000000000018119e+00	-1.376225829664199818e+00
-4.140000000000018332e+00	-1.376238435802509485e+00
-4.130000000000018545e+00	-1.376312399234913331e+00
-4.120000000000018758e+00	-1.376451305158802096e+00
-4.110000000000018971e+00	-1.376660380857186450e+00
-4.100000000000019185e+00	-1.376945142225688201e+00
-4.090000000000019398e+00	-1.377310087073338796e+00
