X	y
-2.000000000000000000e+00	2.115174253119762593e+00
-1.949999999999999956e+00	2.064922814908968007e+00
-1.899999999999999911e+00	2.002676535090807342e+00
-1.849999999999999867e+00	1.929633571427083805e+00
-1.799999999999999822e+00	1.847053773915769304e+00
-1.749999999999999778e+00	1.756237375300491177e+00
-1.699999999999999734e+00	1.658502974826118859e+00
-1.649999999999999689e+00	1.555164026892097207e+00
-1.599999999999999645e+00	1.447508317314111670e+00
-1.549999999999999600e+00	1.336776562756659459e+00
-1.499999999999999556e+00	1.224143915684815953e+00
-1.449999999999999512e+00	1.110702781896249602e+00
-1.399999999999999467e+00	9.974484451815464059e-01
-1.349999999999999423e+00	8.852681664154198327e-01
-1.299999999999999378e+00	7.749299533571311072e-01
-1.249999999999999334e+00	6.670799887373717318e-01
-1.199999999999999289e+00	5.622382390941107477e-01
-1.149999999999999245e+00	4.607987195968551442e-01
-1.099999999999999201e+00	3.630347815834941150e-01
-1.049999999999999156e+00	2.691041479533359260e-01
-9.999999999999991118e-01	1.790590601457873188e-01
-9.499999999999990674e-01	9.285642900199175820e-02
-8.999999999999990230e-01	1.037183010619691093e-02
-8.499999999999989786e-01	-6.858750354554044026e-02
-7.999999999999989342e-01	-1.442661497074654298e-01
-7.499999999999988898e-01	-2.169463682919451353e-01
-6.999999999999988454e-01	-2.869328014623994116e-01
-6.499999999999988010e-01	-3.545361204779027275e-01
-5.999999999999987566e-01	-4.200620343110804678e-01
-5.499999999999987121e-01	-4.837977131929127594e-01
-4.999999999999986677e-01	-5.460008433941356820e-01
-4.499999999999986233e-01	-6.068922778361396375e-01
-3.999999999999985789e-01	-6.666477265952148734e-01
-3.499999999999985345e-01	-7.253945802602884685e-01
-2.999999999999984901e-01	-7.832078631457639606e-01
-2.499999999999984457e-01	-8.401109004449128781e-01
-1.999999999999984013e-01	-8.960750806859929529e-01
-1.499999999999983569e-01	-9.510234062827667145e-01
-9.999999999999831246e-02	-1.004834369244071324e+00
-4.999999999999826805e-02	-1.057347014181495348e+00
1.776356839400250465e-15	-1.108366813947079477e+00
5.000000000000159872e-02	-1.157674054828746524e+00
1.000000000000018652e-01	-1.205029681497452376e+00
1.500000000000021316e-01	-1.250184372226194718e+00
2.000000000000019540e-01	-1.292886981669332247e+00
2.500000000000017764e-01	-1.332892127619386802e+00
3.000000000000020428e-01	-1.369969938753508476e+00
3.500000000000023093e-01	-1.403913355539031516e+00
4.000000000000021316e-01	-1.434547541162005224e+00
4.500000000000019540e-01	-1.461738298710119510e+00
5.000000000000022204e-01	-1.485398737007826764e+00
5.500000000000024869e-01	-1.505497999272905618e+00
6.000000000000023093e-01	-1.522067810869342397e+00
6.500000000000021316e-01	-1.535208405554109312e+00
7.000000000000023981e-01	-1.545092546056475946e+00
7.500000000000026645e-01	-1.551970199716773635e+00
8.000000000000024869e-01	-1.556169319718046173e+00
8.500000000000023093e-01	-1.558095465028671356e+00
9.000000000000025757e-01	-1.558229711122792960e+00
9.500000000000028422e-01	-1.557122799181366091e+00
1.000000000000002665e+00	-1.555387759677223425e+00
1.050000000000002487e+00	-1.553688724197302751e+00
1.100000000000002753e+00	-1.552728595799671485e+00
1.150000000000003020e+00	-1.553231946841286959e+00
1.200000000000002842e+00	-1.555927989408156797e+00
1.250000000000002665e+00	-1.561529621138869839e+00
1.300000000000002931e+00	-1.570712549697625082e+00
1.350000000000003197e+00	-1.584093432325829554e+00
1.400000000000003020e+00	-1.602207368638603580e+00
1.450000000000002842e+00	-1.625487389961185025e+00
1.500000000000003109e+00	-1.654244583862710005e+00
1.550000000000003375e+00	-1.688651925413265698e+00
1.600000000000003197e+00	-1.728729902855918876e+00
1.650000000000003020e+00	-1.774337472589094133e+00
1.700000000000003286e+00	-1.825166989040762688e+00
1.750000000000003553e+00	-1.880744095390980863e+00
1.800000000000003375e+00	-1.940432970521133615e+00
1.850000000000003197e+00	-2.003446554376873578e+00
1.900000000000003464e+00	-2.068861743092621719e+00
1.950000000000003730e+00	-2.135639695408083405e+00
