X	y
-2.000000000000000000e+00	4.471610852540212067e-01
-1.949999999999999956e+00	4.035455255938920627e-01
-1.899999999999999911e+00	3.675975845349325200e-01
-1.849999999999999867e+00	3.394388365329025214e-01
-1.799999999999999822e+00	3.190436061690887226e-01
-1.749999999999999778e+00	3.062408470240770009e-01
-1.699999999999999734e+00	3.007208315340636484e-01
-1.649999999999999689e+00	3.020446974721819888e-01
-1.599999999999999645e+00	3.096559072115691036e-01
-1.549999999999999600e+00	3.228958462606333901e-01
-1.499999999999999556e+00	3.410192781942570361e-01
-1.449999999999999512e+00	3.632127008230971454e-01
-1.399999999999999467e+00	3.886137237689799573e-01
-1.349999999999999423e+00	4.163306045085138352e-01
-1.299999999999999378e+00	4.454610169267270159e-01
-1.249999999999999334e+00	4.751114584309868438e-01
-1.199999999999999289e+00	5.044153245713463019e-01
-1.149999999999999245e+00	5.325489167453467676e-01
-1.099999999999999201e+00	5.587456808929135432e-01
-1.049999999999999156e+00	5.823092210873924701e-01
-9.999999999999991118e-01	6.026225619878806672e-01
-9.499999999999990674e-01	6.191567249782514715e-01
-8.999999999999990230e-01	6.314749597118317626e-01
-8.499999999999989786e-01	6.392359335682114008e-01
-7.999999999999989342e-01	6.421944636478846835e-01
-7.499999999999988898e-01	6.401986210679402323e-01
-6.999999999999988454e-01	6.331880863428104300e-01
-6.499999999999988010e-01	6.211878285378089615e-01
-5.999999999999987566e-01	6.043022113468958789e-01
-5.499999999999987121e-01	5.827077076419255874e-01
-4.999999999999986677e-01	5.566449397997409454e-01
-4.499999999999986233e-01	5.264099191475916095e-01
-3.999999999999985789e-01	4.923460922265204820e-01
-3.499999999999985345e-01	4.548355722637913434e-01
-2.999999999999984901e-01	4.142906359351472556e-01
-2.499999999999984457e-01	3.711462116608951756e-01
-1.999999999999984013e-01	3.258525019237854536e-01
-1.499999999999983569e-01	2.788672763625342221e-01
-9.999999999999831246e-02	2.306504218495593339e-01
-4.999999999999826805e-02	1.816577114730020259e-01
1.776356839400250465e-15	1.323350008390126731e-01
5.000000000000159872e-02	8.311390186005131187e-02
1.000000000000018652e-01	3.440642889893005818e-02
1.500000000000021316e-01	-1.339880686095318296e-02
2.000000000000019540e-01	-5.994068195645432806e-02
2.500000000000017764e-01	-1.048902116361709880e-01
3.000000000000020428e-01	-1.479532956910076524e-01
3.500000000000023093e-01	-1.888753007399712747e-01
4.000000000000021316e-01	-2.274439683640049337e-01
4.500000000000019540e-01	-2.634934942076569975e-01
5.000000000000022204e-01	-2.969065610993492088e-01
5.500000000000024869e-01	-3.276187155186193189e-01
6.000000000000023093e-01	-3.556192965517970261e-01
6.500000000000021316e-01	-3.809541555358410547e-01
7.000000000000023981e-01	-4.037269924796547116e-01
7.500000000000026645e-01	-4.240991346142753970e-01
8.000000000000024869e-01	-4.422893855439400390e-01
8.500000000000023093e-01	-4.585719737762921633e-01
9.000000000000025757e-01	-4.732741477367097271e-01
9.500000000000028422e-01	-4.867711575920167233e-01
1.000000000000002665e+00	-4.994811672096958755e-01
1.050000000000002487e+00	-5.118571753232237231e-01
1.100000000000002753e+00	-5.243792836237517463e-01
1.150000000000003020e+00	-5.375440906929579432e-01
1.200000000000002842e+00	-5.518540017767787909e-01
1.250000000000002665e+00	-5.678042777714380485e-01
1.300000000000002931e+00	-5.858707188647521713e-01
1.350000000000003197e+00	-6.064955305484227566e-01
1.400000000000003020e+00	-6.300740223041851884e-01
1.450000000000002842e+00	-6.569410064797637228e-01
1.500000000000003109e+00	-6.873578882950974744e-01
1.550000000000003375e+00	-7.215007171457670232e-01
1.600000000000003197e+00	-7.594504639297811055e-01
1.650000000000003020e+00	-8.011839366521076311e-01
1.700000000000003286e+00	-8.465674011346313588e-01
1.750000000000003553e+00	-8.953531618491992194e-01
1.800000000000003375e+00	-9.471782995818287532e-01
1.850000000000003197e+00	-1.001566785706778040e+00
1.900000000000003464e+00	-1.057933743571203289e+00
1.950000000000003730e+00	-1.115593951141774953e+00
