X	y
-3.141592653589793116e+00	-1.845734949899830446e-01
-3.041592653589793027e+00	-6.184417592653137369e-02
-2.941592653589792938e+00	-2.336356424310807034e-01
-2.841592653589792850e+00	-2.469770419230734593e-01
-2.741592653589792761e+00	-3.291083340513022426e-01
-2.641592653589792672e+00	-7.270493628525427354e-01
-2.541592653589792583e+00	-5.673646711699080747e-01
-2.441592653589792494e+00	-3.373835570514353011e-01
-2.341592653589792405e+00	-6.443402084675953212e-01
-2.241592653589792317e+00	-6.489903007636977916e-01
-2.141592653589792228e+00	-7.840832042381031819e-01
-2.041592653589792139e+00	-7.309211609424756118e-01
-1.941592653589792050e+00	-3.106305616121823876e-01
-1.841592653589791961e+00	-1.258504718080717399e+00
-1.741592653589791873e+00	-5.955067222199822430e-01
-1.641592653589791784e+00	-9.536372060031069742e-01
-1.541592653589791695e+00	-7.415749171499306236e-01
-1.441592653589791606e+00	-9.883719211840400476e-01
-1.341592653589791517e+00	-7.694127162159755118e-01
-1.241592653589791428e+00	-7.354884376075997432e-01
-1.141592653589791340e+00	-7.936876573573052873e-01
-1.041592653589791251e+00	-7.618055112325645695e-01
-9.415926535897911620e-01	-9.335697217299414596e-01
-8.415926535897910732e-01	-8.311122905369614511e-01
-7.415926535897909844e-01	-7.087266547211298340e-01
-6.415926535897908956e-01	-4.910154574786824155e-01
-5.415926535897908067e-01	-7.009331706690717922e-01
-4.415926535897907179e-01	-5.152300958645973372e-01
-3.415926535897906291e-01	-5.199505877291571432e-01
-2.415926535897905403e-01	-3.504887461409933458e-01
-1.415926535897904515e-01	2.413272474154308234e-01
-4.159265358979036264e-02	4.070532742783012914e-01
5.840734641020972617e-02	2.123896227090549954e-02
1.584073464102098150e-01	2.497420044519888527e-01
2.584073464102099038e-01	2.178019257882284343e-01
3.584073464102099926e-01	4.702829388061405269e-01
4.584073464102100814e-01	3.090022801117750517e-01
5.584073464102101703e-01	3.533405035566077323e-01
6.584073464102102591e-01	6.491229225008203763e-01
7.584073464102103479e-01	7.308001083999031700e-01
8.584073464102104367e-01	1.096304738141688162e+00
9.584073464102100814e-01	8.265260497928962335e-01
1.058407346410210614e+00	7.546110267786305670e-01
1.158407346410211147e+00	8.616091952551460098e-01
1.258407346410210792e+00	8.883134565576600306e-01
1.358407346410210437e+00	8.960593837761965386e-01
1.458407346410210970e+00	9.949158801699269361e-01
1.558407346410211503e+00	8.756234974963860163e-01
1.658407346410211147e+00	9.514674310637309951e-01
1.758407346410210792e+00	9.100764140977801731e-01
1.858407346410211325e+00	9.762678878393336035e-01
1.958407346410211858e+00	8.361530467533888622e-01
2.058407346410211503e+00	7.901799003517239184e-01
2.158407346410211147e+00	1.031722763072331350e+00
2.258407346410211680e+00	7.999128900527898711e-01
2.358407346410212213e+00	8.508056277902575903e-01
2.458407346410211858e+00	4.856937066587027063e-01
2.558407346410211503e+00	6.590916275714481243e-01
2.658407346410212035e+00	6.720260727435820591e-01
2.758407346410212568e+00	5.476546948390479397e-01
2.858407346410212213e+00	-1.413879021717893703e-01
2.958407346410211858e+00	5.327058331816709735e-01
3.058407346410212391e+00	1.304724743260368691e-02
