X	y	y_std
-4.500000000000000000e+00	2.020106933119726611e-01	4.777018469091857122e-01
-4.450000000000000178e+00	2.000910004202346437e-01	4.648360937714581254e-01
-4.400000000000000355e+00	1.975181305568438905e-01	4.518859503509777831e-01
-4.350000000000000533e+00	1.942606418905274412e-01	4.388850332745784510e-01
-4.300000000000000711e+00	1.902877932369932967e-01	4.258685493640138597e-01
-4.250000000000000888e+00	1.855697248908833585e-01	4.128731818143886456e-01
-4.200000000000001066e+00	1.800776468331862779e-01	3.999369580739150498e-01
-4.150000000000001243e+00	1.737840337280216474e-01	3.870990966931384669e-01
-4.100000000000001421e+00	1.666628260310016318e-01	3.743998296429932870e-01
-4.050000000000001599e+00	1.586896364376842172e-01	3.618801957340799791e-01
-4.000000000000001776e+00	1.498419608051458907e-01	3.495817998506480784e-01
-3.950000000000001954e+00	1.400993925835308240e-01	3.375465318271563264e-01
-3.900000000000002132e+00	1.294438396982598993e-01	3.258162380802017144e-01
-3.850000000000002309e+00	1.178597427285156679e-01	3.144323387675873605e-01
-3.800000000000002487e+00	1.053342931344916911e-01	3.034353835575243630e-01
-3.750000000000002665e+00	9.185765019604000270e-02	2.928645404052420687e-01
-3.700000000000002842e+00	7.742315523967534252e-02	2.827570144506825200e-01
-3.650000000000003020e+00	6.202754165084704147e-02	2.731473986598865755e-01
-3.600000000000003197e+00	4.567113909511854447e-02	2.640669644152240370e-01
-3.550000000000003375e+00	2.835807030636794054e-02	2.555429089427713185e-01
-3.500000000000003553e+00	1.009643874445417290e-02	2.475975868484001086e-01
-3.450000000000003730e+00	-9.101494620937853122e-03	2.402477641328515656e-01
-3.400000000000003908e+00	-2.921914717686714333e-02	2.335039432330750508e-01
-3.350000000000004086e+00	-5.023546498149426137e-02	2.273698147140841286e-01
-3.300000000000004263e+00	-7.212478932973349910e-02	2.218418928478174956e-01
-3.250000000000004441e+00	-9.485674136492484865e-02	2.169093865070683413e-01
-3.200000000000004619e+00	-1.183961265061917456e-01	2.125543427305774669e-01
-3.150000000000004796e+00	-1.427028604186572069e-01	2.087520788242067937e-01
-3.100000000000004974e+00	-1.677319181941811232e-01	2.054718926467872242e-01
-3.050000000000005151e+00	-1.934333083315733504e-01	2.026780139041839957e-01
-3.000000000000005329e+00	-2.197520730084963070e-01	2.003307364179715555e-01
-2.950000000000005507e+00	-2.466283160213607606e-01	1.983876562856699277e-01
-2.900000000000005684e+00	-2.739972596347830525e-01	1.968049357212977024e-01
-2.850000000000005862e+00	-3.017893314288707107e-01	1.955385171159618185e-01
-2.800000000000006040e+00	-3.299302820612065035e-01	1.945452245372878697e-01
-2.750000000000006217e+00	-3.583413346715094150e-01	1.937837073828460599e-01
-2.700000000000006395e+00	-3.869393664515720643e-01	1.932151998665234405e-01
-2.650000000000006573e+00	-4.156371226826095500e-01	1.928040876277687388e-01
-2.600000000000006750e+00	-4.443434633075676876e-01	1.925182871499238058e-01
-2.550000000000006928e+00	-4.729636418594690417e-01	1.923294540270077679e-01
-2.500000000000007105e+00	-5.013996163098504155e-01	1.922130424506338087e-01
-2.450000000000007283e+00	-5.295503911365139205e-01	1.921482411761417652e-01
-2.400000000000007461e+00	-5.573123896386964482e-01	1.921178115018020160e-01
-2.350000000000007638e+00	-5.845798552536990433e-01	1.921078513166425694e-01
-2.300000000000007816e+00	-6.112452803538680479e-01	1.921075067878570963e-01
-2.250000000000007994e+00	-6.371998607300036754e-01	1.921086503398498346e-01
-2.200000000000008171e+00	-6.623339736990410120e-01	1.921055406142440913e-01
-2.150000000000008349e+00	-6.865376775137279619e-01	1.920944773267154737e-01
-2.100000000000008527e+00	-7.097012295023935602e-01	1.920734614654261430e-01
-2.050000000000008704e+00	-7.317156201313748110e-01	1.920418691373626807e-01
-2.000000000000008882e+00	-7.524731199631514711e-01	1.920001455431585291e-01
-1.950000000000009059e+00	-7.718678362839929141e-01	1.919495240028028238e-01
-1.900000000000009237e+00	-7.897962759970015290e-01	1.918917736111171168e-01
-1.850000000000009415e+00	-8.061579112238678180e-01	1.918289779237060955e-01
-1.800000000000009592e+00	-8.208557439327205385e-01	1.917633460221637998e-01
-1.750000000000009770e+00	-8.337968658127852262e-01	1.916970563550403350e-01
-1.700000000000009948e+00	-8.448930095509767924e-01	1.916321328851554873e-01
-1.650000000000010125e+00	-8.540610876323982970e-01	1.915703522919028345e-01
-1.600000000000010303e+00	-8.612237147871555365e-01	1.915131802854456999e-01
-1.550000000000010481e+00	-8.663097102413735984e-01	1.914617344994128667e-01
-1.500000000000010658e+00	-8.692545760002405864e-01	1.914167709527560546e-01
-1.450000000000010836e+00	-8.700009474965467726e-01	1.913786907211766364e-01
-1.400000000000011013e+00	-8.684990130783906137e-01	1.913475632414560479e-01
