X	y	y_std
-4.500000000000000000e+00	-2.746395625561941917e-02	3.629439253655343256e-01
-4.450000000000000178e+00	-3.047298359885621671e-02	3.629243405232542297e-01
-4.400000000000000355e+00	-3.375961341114394609e-02	3.629006146281640310e-01
-4.350000000000000533e+00	-3.734308569449006077e-02	3.628719661604595248e-01
-4.300000000000000711e+00	-4.124324272817785075e-02	3.628374871975221794e-01
-4.250000000000000888e+00	-4.548046152007216569e-02	3.627961273686415300e-01
-4.200000000000001066e+00	-5.007557432063896447e-02	3.627466766324066172e-01
-4.150000000000001243e+00	-5.504977666003733200e-02	3.626877469572001855e-01
-4.100000000000001421e+00	-6.042452244826945068e-02	3.626177530258331005e-01
-4.050000000000001599e+00	-6.622140577198599998e-02	3.625348921308613748e-01
-4.000000000000001776e+00	-7.246202912927385276e-02	3.624371234771390782e-01
-3.950000000000001954e+00	-7.916785796550102061e-02	3.623221471620818313e-01
-3.900000000000002132e+00	-8.636006150876365806e-02	3.621873831611037153e-01
-3.850000000000002309e+00	-9.405934005212075733e-02	3.620299507046914611e-01
-3.800000000000002487e+00	-1.022857389908015391e-01	3.618466484933010041e-01
-3.750000000000002665e+00	-1.110584500948879894e-01	3.616339362552150605e-01
-3.700000000000002842e+00	-1.203956006802554407e-01	3.613879182090201092e-01
-3.650000000000003020e+00	-1.303140315312116826e-01	3.611043290446627751e-01
-3.600000000000003197e+00	-1.408290646254423129e-01	3.607785230832526446e-01
-3.550000000000003375e+00	-1.519542619134152672e-01	3.604054673140327236e-01
-3.500000000000003553e+00	-1.637011766079767561e-01	3.599797390354238513e-01
-3.450000000000003730e+00	-1.760790986428699134e-01	3.594955288441035179e-01
-3.400000000000003908e+00	-1.890947961585753012e-01	3.589466497202539186e-01
-3.350000000000004086e+00	-2.027522550672283264e-01	3.583265529472364208e-01
-3.300000000000004263e+00	-2.170524189323740361e-01	3.576283515792048617e-01
-3.250000000000004441e+00	-2.319929315707660034e-01	3.568448521301116338e-01
-3.200000000000004619e+00	-2.475678849391416136e-01	3.559685951021610006e-01
-3.150000000000004796e+00	-2.637675750056816537e-01	3.549919049014076400e-01
-3.100000000000004974e+00	-2.805782684205724298e-01	3.539069496036329476e-01
-3.050000000000005151e+00	-2.979819828896989597e-01	3.527058109359706983e-01
-3.000000000000005329e+00	-3.159562842171813601e-01	3.513805647303241408e-01
-2.950000000000005507e+00	-3.344741030135972015e-01	3.499233719849324520e-01
-2.900000000000005684e+00	-3.535035740649768998e-01	3.483265805420078243e-01
-2.850000000000005862e+00	-3.730079013210547134e-01	3.465828372535592061e-01
-2.800000000000006040e+00	-3.929452513881894760e-01	3.446852103654113320e-01
-2.750000000000006217e+00	-4.132686783016755183e-01	3.426273217015665673e-01
-2.700000000000006395e+00	-4.339260822032214304e-01	3.404034880772602856e-01
-2.650000000000006573e+00	-4.548602043619356938e-01	3.380088712081619207e-01
-2.600000000000006750e+00	-4.760086607517115542e-01	3.354396352127401726e-01
-2.550000000000006928e+00	-4.973040161352994537e-01	3.326931106208713129e-01
-2.500000000000007105e+00	-5.186739003071790810e-01	3.297679635984644975e-01
-2.450000000000007283e+00	-5.400411678156549211e-01	3.266643688671580503e-01
-2.400000000000007461e+00	-5.613241021220267690e-01	3.233841845294417872e-01
-2.350000000000007638e+00	-5.824366647644899642e-01	3.199311266895555894e-01
-2.300000000000007816e+00	-6.032887896802046068e-01	3.163109413730203490e-01
-2.250000000000007994e+00	-6.237867224050085424e-01	3.125315707737622573e-01
-2.200000000000008171e+00	-6.438334034210464463e-01	3.086033102765348146e-01
-2.150000000000008349e+00	-6.633288944631638984e-01	3.045389519920224108e-01
-2.100000000000008527e+00	-6.821708461304798465e-01	3.003539096827427257e-01
-2.050000000000008704e+00	-7.002550046856057531e-01	2.960663189356821934e-01
-2.000000000000008882e+00	-7.174757554661275183e-01	2.916971052508022244e-01
-1.950000000000009059e+00	-7.337266998869018675e-01	2.872700113828658419e-01
-1.900000000000009237e+00	-7.489012625830946401e-01	2.828115738509223154e-01
-1.850000000000009415e+00	-7.628933248382686605e-01	2.783510371179473419e-01
-1.800000000000009592e+00	-7.755978800645654259e-01	2.739201927118967150e-01
-1.750000000000009770e+00	-7.869117067582095393e-01	2.695531297613480426e-01
-1.700000000000009948e+00	-7.967340540479486144e-01	2.652858834000063060e-01
-1.650000000000010125e+00	-8.049673346909079763e-01	2.611559686896648413e-01
-1.600000000000010303e+00	-8.115178201535413471e-01	2.572017906140449117e-01
-1.550000000000010481e+00	-8.162963322481516792e-01	2.534619257886258081e-01
-1.500000000000010658e+00	-8.192189256805268993e-01	2.499742791689146260e-01
-1.450000000000010836e+00	-8.202075558036280301e-01	2.467751292874257041e-01
-1.400000000000011013e+00	-8.191907258673698511e-01	2.438980880014912089e-01
-1.350000000000011191e+00	-8.161041081060461666e-01	2.413730143563209696e-01
-1.300000000000011369e+00	-8.108911331129160516e-01	2.392249352487592351e-01
-1.250000000000011546e+00	-8.035035421152061375e-01	2.374730358609148662e-01
-1.200000000000011724e+00	-7.939018969810178739e-01	2.361297878866369382e-01
-1.150000000000011902e+00	-7.820560430603786806e-01	2.352002813614444965e-01
-1.100000000000012079e+00	-7.679455202834313265e-01	2.346818154326725248e-01
-1.050000000000012257e+00	-7.515599183063962352e-01	2.345637852134169199e-01
-1.000000000000012434e+00	-7.328991719068740363e-01	2.348278781538774285e-01
-9.500000000000126121e-01	-7.119737932802250313e-01	2.354485676288762264e-01
-9.000000000000127898e-01	-6.888050383737562843e-01	2.363938676663814575e-01
-8.500000000000129674e-01	-6.634250049104645219e-01	2.376262944409314182e-01
-8.000000000000131450e-01	-6.358766602941505752e-01	2.391039695593961956e-01
-7.500000000000133227e-01	-6.062137981476012349e-01	2.407817978386216640e-01
-7.000000000000135003e-01	-5.745009228099053900e-01	2.426126572232949474e-01
-6.500000000000136779e-01	-5.408130617024191622e-01	2.445485486651759466e-01
-6.000000000000138556e-01	-5.052355060600207670e-01	2.465416667204584633e-01
-5.500000000000140332e-01	-4.678634811097328594e-01	2.485453650355948507e-01
-5.000000000000142109e-01	-4.288017473572796057e-01	2.505150030526449023e-01
-4.500000000000143885e-01	-3.881641352085682950e-01	2.524086701346827666e-01
-4.000000000000145661e-01	-3.460730157025180276e-01	2.541877904918591891e-01
-3.500000000000147438e-01	-3.026587106593831011e-01	2.558176168618077617e-01
-3.000000000000149214e-01	-2.580588460502777348e-01	2.572676232381252426e-01
-2.500000000000150990e-01	-2.124176528648248352e-01	2.585118075469422516e-01
-2.000000000000152767e-01	-1.658852201908216362e-01	2.595289145496775252e-01
-1.500000000000154543e-01	-1.186167056189881830e-01	2.603025878421283967e-01
-1.000000000000156319e-01	-7.077150844396096208e-02	2.608214579757630602e-01
-5.000000000001580958e-02	-2.251241144684112960e-02	2.610791717019234626e-01
