# position velocity action_std action_loc_std action_std_diff action_mean_p_0 action_p_0_mean action_p_0_std
-2.000000000000000000e+00 -3.000000000000000000e+00 9.569315676174029450e-01 9.843901665498258069e-01 -2.745859893242286187e-02 5.720383525041246031e-01 5.507095371947898776e-01 2.836219727800567969e-01
-1.750000000000000000e+00 -3.000000000000000000e+00 9.611579996416543814e-01 9.927738916792684387e-01 -3.161589203761405731e-02 5.898003574820482875e-01 5.566290407221736736e-01 2.778705384866517747e-01
-1.500000000000000000e+00 -3.000000000000000000e+00 9.296326761928837001e-01 8.979977728257474423e-01 3.163490336713625783e-02 6.829514104777015815e-01 6.376786817565452958e-01 2.688647302254023042e-01
-1.250000000000000000e+00 -3.000000000000000000e+00 9.014344787807213599e-01 8.311822904754402330e-01 7.025218830528112690e-02 7.728746621980420173e-01 6.970639029693713740e-01 2.586796418812011833e-01
-1.000000000000000000e+00 -3.000000000000000000e+00 8.492157400373654408e-01 7.650254897714163782e-01 8.419025026594906258e-02 8.300360798535727502e-01 7.492484120193225738e-01 2.407382641594595085e-01
-7.500000000000000000e-01 -3.000000000000000000e+00 7.717024480818189813e-01 6.452162428209640144e-01 1.264862052608549670e-01 8.887643677228470596e-01 8.109809160993030064e-01 2.066604178023847271e-01
-5.000000000000000000e-01 -3.000000000000000000e+00 7.130187360367693516e-01 5.299962264016606639e-01 1.830225096351086878e-01 9.017307656369413227e-01 8.316638746342979172e-01 1.877730054964112660e-01
-2.500000000000000000e-01 -3.000000000000000000e+00 6.846400818741995575e-01 4.895058733049086341e-01 1.951342085692909234e-01 9.221271817253373637e-01 8.611874154113050572e-01 1.644177988504400834e-01
0.000000000000000000e+00 -3.000000000000000000e+00 7.035377855820176274e-01 4.598434516223978141e-01 2.436943339596198133e-01 9.065376507356283087e-01 8.495790094416484362e-01 1.622951310665371460e-01
2.500000000000000000e-01 -3.000000000000000000e+00 7.089421479187049124e-01 5.102940328869209896e-01 1.986481150317839228e-01 8.882700805071466199e-01 8.273601646492312334e-01 1.804600316962189088e-01
5.000000000000000000e-01 -3.000000000000000000e+00 7.791701160144606231e-01 6.636987268331898671e-01 1.154713891812707560e-01 8.476930069510907328e-01 7.745728454857894185e-01 2.121925296871796374e-01
7.500000000000000000e-01 -3.000000000000000000e+00 8.510395282682506890e-01 8.000000000000020428e-01 5.103952826824864619e-02 7.866461057863013417e-01 7.231765945719831334e-01 2.322452335562584513e-01
1.000000000000000000e+00 -3.000000000000000000e+00 9.245330408193929150e-01 9.093646133427440992e-01 1.516842747664881585e-02 7.077495775824776958e-01 6.527136302739690032e-01 2.518935619330240350e-01
1.250000000000000000e+00 -3.000000000000000000e+00 9.421477028879965410e-01 9.526720317087126189e-01 -1.052432882071607789e-02 6.283134537754108129e-01 5.954176858875835920e-01 2.585969789329946034e-01
1.500000000000000000e+00 -3.000000000000000000e+00 9.568941131365414909e-01 9.927738916792686608e-01 -3.587977854272716982e-02 5.612489247910490420e-01 5.424341152038606451e-01 2.670777416891377265e-01
1.750000000000000000e+00 -3.000000000000000000e+00 9.595139011126856410e-01 9.988473356824821847e-01 -3.933343456979654373e-02 4.822556421546298489e-01 4.881071397924618971e-01 2.658983444653243988e-01
2.000000000000000000e+00 -3.000000000000000000e+00 9.626754954728161673e-01 9.945772971468858081e-01 -3.190180167406964085e-02 4.584185966588272820e-01 4.699796416684750566e-01 2.627904765094062345e-01
-2.000000000000000000e+00 -2.750000000000000000e+00 9.558846645792083985e-01 9.797958971132677553e-01 -2.391123253405935678e-02 5.970339882260594644e-01 5.701890953205894785e-01 2.790572598689144979e-01
-1.750000000000000000e+00 -2.750000000000000000e+00 9.487153347506754875e-01 9.564183185196717396e-01 -7.702983768996252145e-03 6.345045792588763778e-01 5.977098228262917035e-01 2.843573385086207161e-01
-1.500000000000000000e+00 -2.750000000000000000e+00 9.247604150884072283e-01 8.940335564172073868e-01 3.072685867119984149e-02 7.375840981293388943e-01 6.668602318062594181e-01 2.734569258662346014e-01
-1.250000000000000000e+00 -2.750000000000000000e+00 8.270294396464916709e-01 7.650254897714167113e-01 6.200394987507495959e-02 8.353601512813891850e-01 7.504805602521975594e-01 2.492607244989887560e-01
-1.000000000000000000e+00 -2.750000000000000000e+00 7.804672587676458884e-01 6.452162428209644585e-01 1.352510159466814299e-01 9.021823223773892675e-01 8.140406441384401282e-01 2.277588173774115765e-01
-7.500000000000000000e-01 -2.750000000000000000e+00 6.899846562170781628e-01 4.823111029200983224e-01 2.076735532969798403e-01 9.424222025748143494e-01 8.676094584313475133e-01 1.780757651747886250e-01
-5.000000000000000000e-01 -2.750000000000000000e+00 5.457896918246475382e-01 3.411744421846379938e-01 2.046152496400095444e-01 9.574472993814395760e-01 9.035111814866386704e-01 1.430103877692275594e-01
-2.500000000000000000e-01 -2.750000000000000000e+00 5.893810653878506223e-01 2.933666647729433197e-01 2.960144006149073026e-01 9.605439279346893455e-01 9.144465455286564515e-01 1.219475142206887103e-01
0.000000000000000000e+00 -2.750000000000000000e+00 5.835056000623388694e-01 3.299454500368196319e-01 2.535601500255192375e-01 9.566685489510317053e-01 9.078148509295655977e-01 1.308743083819610964e-01
2.500000000000000000e-01 -2.750000000000000000e+00 6.098404684708400580e-01 3.725801927102404543e-01 2.372602757605996038e-01 9.379309162237507991e-01 8.866811507973818562e-01 1.404073656556691641e-01
5.000000000000000000e-01 -2.750000000000000000e+00 7.092914033912938176e-01 4.598434516223984247e-01 2.494479517688953929e-01 9.020087036689043991e-01 8.416151445108299711e-01 1.705619432043465056e-01
7.500000000000000000e-01 -2.750000000000000000e+00 7.696179014293348386e-01 6.636987268331900891e-01 1.059191745961447495e-01 8.411402892992676517e-01 7.724934652010480018e-01 2.105360392074944464e-01
1.000000000000000000e+00 -2.750000000000000000e+00 8.915186242916784964e-01 8.311822904754402330e-01 6.033633381623826342e-02 7.509461581348428894e-01 6.933766864434514066e-01 2.287329404438102620e-01
1.250000000000000000e+00 -2.750000000000000000e+00 9.455946879366851077e-01 9.474175425861600663e-01 -1.822854649474958677e-03 6.512643099756996179e-01 6.082775760390523034e-01 2.615681326780368021e-01
1.500000000000000000e+00 -2.750000000000000000e+00 9.547846584261321379e-01 9.994878688608482831e-01 -4.470321043471614519e-02 5.325392497218633947e-01 5.225766550817260159e-01 2.639679127641959000e-01
1.750000000000000000e+00 -2.750000000000000000e+00 9.658516756316151142e-01 9.990315310339309418e-01 -3.317985540231582764e-02 4.789418853539752496e-01 4.874414102060540266e-01 2.733046858034214321e-01
2.000000000000000000e+00 -2.750000000000000000e+00 9.433072314100000577e-01 9.857869952479595410e-01 -4.247976383795948330e-02 4.117930505049691159e-01 4.410613950051086585e-01 2.654750633508555224e-01
-2.000000000000000000e+00 -2.500000000000000000e+00 9.475218311550456241e-01 9.727157858285261360e-01 -2.519395467348051199e-02 5.962215838977030780e-01 5.691868385218655790e-01 2.814080967571283565e-01
-1.750000000000000000e+00 -2.500000000000000000e+00 9.200243246789199247e-01 8.979977728257475533e-01 2.202655185317237141e-02 7.173425986507595553e-01 6.543568733931743875e-01 2.801807849678024098e-01
-1.500000000000000000e+00 -2.500000000000000000e+00 8.895978529320833772e-01 8.517182632772436479e-01 3.787958965483972928e-02 8.015082812682690072e-01 7.124878974364103890e-01 2.700170149041370982e-01
