# X mu std 2std fstd 2fstd noisestd 2noisestd attrib
-1.500000000000000000e+01 -2.128813200403471310e-06 7.162792617046874755e-01 1.432558523409374951e+00 6.606308849526577598e-01 1.321261769905315520e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.577352948715404990e-01
-1.493987975951903735e+01 -3.234316273169968754e-06 7.162792617046924715e-01 1.432558523409384943e+00 6.606308849526627558e-01 1.321261769905325512e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.588649525222215697e-01
-1.487975951903807648e+01 -4.633418040963990176e-06 7.162792617027832209e-01 1.432558523405566442e+00 6.606308849507535053e-01 1.321261769901507011e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.599677328105557850e-01
-1.481963927855711383e+01 -6.425975194651207807e-06 7.162792616974332782e-01 1.432558523394866556e+00 6.606308849454035625e-01 1.321261769890807125e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.611362814155029799e-01
-1.475951903807615295e+01 -8.647128712715684124e-06 7.162792616865278905e-01 1.432558523373055781e+00 6.606308849344981748e-01 1.321261769868996350e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.622278991614377830e-01
-1.469939879759519030e+01 -1.145354030115433711e-05 7.162792616662830847e-01 1.432558523332566169e+00 6.606308849142533690e-01 1.321261769828506738e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.634534883317775522e-01
-1.463927855711422765e+01 -1.489870476075212595e-05 7.162792616319210159e-01 1.432558523263842032e+00 6.606308848798913003e-01 1.321261769759782601e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.647209394130187077e-01
-1.457915831663326678e+01 -1.912542635227649926e-05 7.162792615758931669e-01 1.432558523151786334e+00 6.606308848238634512e-01 1.321261769647726902e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.660155490825379276e-01
-1.451903807615230413e+01 -2.436359043122713071e-05 7.162792614858305429e-01 1.432558522971661086e+00 6.606308847338008272e-01 1.321261769467601654e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.673360001321047230e-01
-1.445891783567134325e+01 -3.068910996760733709e-05 7.162792613473814018e-01 1.432558522694762804e+00 6.606308845953516862e-01 1.321261769190703372e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.687722575112995615e-01
-1.439879759519038060e+01 -3.833506059584122257e-05 7.162792611376433971e-01 1.432558522275286794e+00 6.606308843856136814e-01 1.321261768771227363e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.701937340480565108e-01
-1.433867735470941795e+01 -4.777262627226668771e-05 7.162792608160906127e-01 1.432558521632181225e+00 6.606308840640608970e-01 1.321261768128121794e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.716764090830283029e-01
-1.427855711422845708e+01 -5.890644418144640659e-05 7.162792603494414490e-01 1.432558520698882898e+00 6.606308835974117333e-01 1.321261767194823467e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.731196111193107567e-01
-1.421843687374749443e+01 -7.215669973030552258e-05 7.162792596731055728e-01 1.432558519346211146e+00 6.606308829210758571e-01 1.321261765842151714e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.748879938812043733e-01
-1.415831663326653356e+01 -8.825065265171785672e-05 7.162792586777850801e-01 1.432558517355570160e+00 6.606308819257553644e-01 1.321261763851510729e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.764728044400749818e-01
-1.409819639278557091e+01 -1.073322305985590416e-04 7.162792572546410330e-01 1.432558514509282066e+00 6.606308805026113173e-01 1.321261761005222635e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.782819185375749349e-01
-1.403807615230461003e+01 -1.297854451910522274e-04 7.162792552476128227e-01 1.432558510495225645e+00 6.606308784955831070e-01 1.321261756991166214e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.801541523332307548e-01
-1.397795591182364738e+01 -1.566358773354159799e-04 7.162792523825639579e-01 1.432558504765127916e+00 6.606308756305342422e-01 1.321261751261068484e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.819770669604250601e-01
-1.391783567134268473e+01 -1.879916898874137263e-04 7.162792484048787767e-01 1.432558496809757553e+00 6.606308716528490610e-01 1.321261743305698122e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.839025798910287834e-01
-1.385771543086172386e+01 -2.249247478220440524e-04 7.162792428585336157e-01 1.432558485717067231e+00 6.606308661065039001e-01 1.321261732213007800e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.859052511755010739e-01
-1.379759519038076121e+01 -2.686234979046862371e-04 7.162792351092573950e-01 1.432558470218514790e+00 6.606308583572276794e-01 1.321261716714455359e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.881146953106557440e-01
-1.373747494989980034e+01 -3.196451064556015157e-04 7.162792244548736864e-01 1.432558448909747373e+00 6.606308477028439707e-01 1.321261695405687941e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.902008083111208725e-01
-1.367735470941883769e+01 -3.790436902399271953e-04 7.162792098974031241e-01 1.432558419794806248e+00 6.606308331453734084e-01 1.321261666290746817e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.924148898288629228e-01
-1.361723446893787504e+01 -4.483188047143046992e-04 7.162791900293146163e-01 1.432558380058629233e+00 6.606308132772849007e-01 1.321261626554569801e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.948713958596933971e-01
-1.355711422845691416e+01 -5.294197091277781392e-04 7.162791628630855723e-01 1.432558325726171145e+00 6.606307861110558566e-01 1.321261572222111713e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.972850051539346783e-01
-1.349699398797595151e+01 -6.227584079503437021e-04 7.162791264418518766e-01 1.432558252883703753e+00 6.606307496898221610e-01 1.321261499379644322e+00 5.564837675202967404e-02 1.112967535040593481e-01 5.997518676393905901e-01
-1.343687374749499064e+01 -7.303284921453843731e-04 7.162790777043549495e-01 1.432558155408709899e+00 6.606307009523252338e-01 1.321261401904650468e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.023666404622911585e-01
-1.337675350701402799e+01 -8.554320343735872471e-04 7.162790120134279181e-01 1.432558024026855836e+00 6.606306352613982025e-01 1.321261270522796405e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.051018957891676209e-01
-1.331663326653306711e+01 -9.999356931323314518e-04 7.162789242102408638e-01 1.432557848420481728e+00 6.606305474582111481e-01 1.321261094916422296e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.078674276186677439e-01
-1.325651302605210446e+01 -1.164142848973014890e-03 7.162788090866550883e-01 1.432557618173310177e+00 6.606304323346253726e-01 1.321260864669250745e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.108024122881784423e-01
-1.319639278557114181e+01 -1.354384117011552284e-03 7.162786555084406093e-01 1.432557311016881219e+00 6.606302787564108936e-01 1.321260557512821787e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.137577936110697463e-01
-1.313627254509018094e+01 -1.571320847565139999e-03 7.162784541914015701e-01 1.432556908382803140e+00 6.606300774393718545e-01 1.321260154878743709e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.168715684534836763e-01
-1.307615230460921829e+01 -1.823838945351004010e-03 7.162781850646867676e-01 1.432556370129373535e+00 6.606298083126570519e-01 1.321259616625314104e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.199868042317473460e-01
-1.301603206412825742e+01 -2.105078628216560614e-03 7.162778417285041721e-01 1.432555683457008344e+00 6.606294649764744564e-01 1.321258929952948913e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.232334313760328204e-01
-1.295591182364729477e+01 -2.426521178197280342e-03 7.162773935882464915e-01 1.432554787176492983e+00 6.606290168362167758e-01 1.321258033672433552e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.265501758895313245e-01
-1.289579158316633212e+01 -2.795104609413952973e-03 7.162768073113798817e-01 1.432553614622759763e+00 6.606284305593501660e-01 1.321256861118700332e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.301484175598122128e-01
-1.283567134268537124e+01 -3.211441019525941402e-03 7.162760529301362977e-01 1.432552105860272595e+00 6.606276761781065821e-01 1.321255352356213164e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.337211634942500060e-01
-1.277555110220440859e+01 -3.679062827658371396e-03 7.162750901125818359e-01 1.432550180225163672e+00 6.606267133605521202e-01 1.321253426721104240e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.372658086920466314e-01
-1.271543086172344772e+01 -4.208182098497015647e-03 7.162738547973018788e-01 1.432547709594603758e+00 6.606254780452721631e-01 1.321250956090544326e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.410831647043895298e-01
-1.265531062124248507e+01 -4.808476699681004003e-03 7.162722674342892892e-01 1.432544534868578578e+00 6.606238906822595736e-01 1.321247781364519147e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.449977450987173233e-01
-1.259519038076152242e+01 -5.478167323011031917e-03 7.162702656259889444e-01 1.432540531251977889e+00 6.606218888739592288e-01 1.321243777747918458e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.489788607971717083e-01
-1.253507014028056155e+01 -6.238927765499070396e-03 7.162676986931654222e-01 1.432535397386330844e+00 6.606193219411357065e-01 1.321238643882271413e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.529921559416398402e-01
-1.247494989979959890e+01 -7.094752392686346290e-03 7.162644421462934785e-01 1.432528884292586957e+00 6.606160653942637628e-01 1.321232130788527526e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.571929095198788540e-01
-1.241482965931863802e+01 -8.029126486479000457e-03 7.162604446888425347e-01 1.432520889377685069e+00 6.606120679368128190e-01 1.321224135873625638e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.614479379129074577e-01
-1.235470941883767537e+01 -9.108580825101072337e-03 7.162552570524771678e-01 1.432510514104954336e+00 6.606068803004474521e-01 1.321213760600894904e+00 5.564837675202967404e-02 1.112967535040593481e-01 6.657845182997186306e-01
