# X mode_0 mode_1
-1.500000000000000000e+01 4.625992329934165426e-01 5.374007670065834574e-01
-1.493987975951903735e+01 4.634112723540677048e-01 5.365887276459322397e-01
-1.487975951903807648e+01 4.643271835209069609e-01 5.356728164790930391e-01
-1.481963927855711383e+01 4.653192519463951737e-01 5.346807480536048818e-01
-1.475951903807615295e+01 4.663370000369991830e-01 5.336629999630008170e-01
-1.469939879759519030e+01 4.674592749741546260e-01 5.325407250258453740e-01
-1.463927855711422765e+01 4.686844548369984431e-01 5.313155451630016124e-01
-1.457915831663326678e+01 4.700479326013805581e-01 5.299520673986194419e-01
-1.451903807615230413e+01 4.714113242456989261e-01 5.285886757543011294e-01
-1.445891783567134325e+01 4.729465516744220666e-01 5.270534483255778779e-01
-1.439879759519038060e+01 4.745645152101459208e-01 5.254354847898540237e-01
-1.433867735470941795e+01 4.762847572602050272e-01 5.237152427397949728e-01
-1.427855711422845708e+01 4.780233693441097165e-01 5.219766306558902835e-01
-1.421843687374749443e+01 4.799353378247300794e-01 5.200646621752699206e-01
-1.415831663326653356e+01 4.819547679346225522e-01 5.180452320653774478e-01
-1.409819639278557091e+01 4.840645246789876399e-01 5.159354753210123601e-01
-1.403807615230461003e+01 4.863082005457128876e-01 5.136917994542871124e-01
-1.397795591182364738e+01 4.885857184803112374e-01 5.114142815196887071e-01
-1.391783567134268473e+01 4.909792041203453472e-01 5.090207958796546528e-01
-1.385771543086172386e+01 4.935030395051891450e-01 5.064969604948108550e-01
-1.379759519038076121e+01 4.961341758703184390e-01 5.038658241296815055e-01
-1.373747494989980034e+01 4.989130272585499681e-01 5.010869727414499764e-01
-1.367735470941883769e+01 5.017485139836770358e-01 4.982514860163229087e-01
-1.361723446893787504e+01 5.047403449282268362e-01 4.952596550717731638e-01
-1.355711422845691416e+01 5.078166690311067821e-01 4.921833309688931068e-01
-1.349699398797595151e+01 5.110590517156196055e-01 4.889409482843804500e-01
-1.343687374749499064e+01 5.142977557510135522e-01 4.857022442489865033e-01
-1.337675350701402799e+01 5.177764877905677299e-01 4.822235122094323811e-01
-1.331663326653306711e+01 5.212714780629330580e-01 4.787285219370669975e-01
-1.325651302605210446e+01 5.248819404531314126e-01 4.751180595468685319e-01
-1.319639278557114181e+01 5.287834455458821914e-01 4.712165544541177531e-01
-1.313627254509018094e+01 5.325380878725539668e-01 4.674619121274460332e-01
-1.307615230460921829e+01 5.366072601373120809e-01 4.633927398626879191e-01
-1.301603206412825742e+01 5.406846624248023980e-01 4.593153375751976575e-01
-1.295591182364729477e+01 5.448690212294955426e-01 4.551309787705045684e-01
-1.289579158316633212e+01 5.492822166935007466e-01 4.507177833064992534e-01
-1.283567134268537124e+01 5.536537057593566846e-01 4.463462942406434264e-01
-1.277555110220440859e+01 5.582848369304104219e-01 4.417151630695895226e-01
-1.271543086172344772e+01 5.629654502875504063e-01 4.370345497124495937e-01
-1.265531062124248507e+01 5.676356403209572576e-01 4.323643596790428534e-01
-1.259519038076152242e+01 5.725393923233874638e-01 4.274606076766125917e-01
-1.253507014028056155e+01 5.775833631431580573e-01 4.224166368568418872e-01
-1.247494989979959890e+01 5.826856287100468101e-01 4.173143712899532454e-01
-1.241482965931863802e+01 5.879206244630029721e-01 4.120793755369970279e-01
-1.235470941883767537e+01 5.931830851156131290e-01 4.068169148843868155e-01
-1.229458917835671272e+01 5.985675894938760067e-01 4.014324105061239378e-01
-1.223446893787575185e+01 6.039812260819005241e-01 3.960187739180994759e-01
-1.217434869739478920e+01 6.095830921359632892e-01 3.904169078640367108e-01
-1.211422845691382832e+01 6.153259856574621045e-01 3.846740143425378955e-01
-1.205410821643286567e+01 6.210224252498874886e-01 3.789775747501125114e-01
-1.199398797595190302e+01 6.268774514316867164e-01 3.731225485683133947e-01
-1.193386773547094215e+01 6.327214067381808915e-01 3.672785932618191085e-01
-1.187374749498997950e+01 6.387242070008206651e-01 3.612757929991792794e-01
-1.181362725450901863e+01 6.448229208277707070e-01 3.551770791722293485e-01
-1.175350701402805598e+01 6.508405092585174412e-01 3.491594907414825033e-01
