# X mu std 2std fstd 2fstd noisestd 2noisestd attrib
-1.500000000000000000e+01 -2.297054691918042155e-03 1.061080918099359005e+00 2.122161836198718010e+00 8.908851306385052737e-01 1.781770261277010547e+00 1.701957874608536758e-01 3.403915749217073516e-01 2.172363328423194406e-01
-1.493987975951903735e+01 -2.356371017363331159e-03 1.060843572928020784e+00 2.121687145856041568e+00 8.906477854671670524e-01 1.781295570934334105e+00 1.701957874608536758e-01 3.403915749217073516e-01 2.156363690729986571e-01
-1.487975951903807648e+01 -2.415137729284056681e-03 1.060602693759866710e+00 2.121205387519733421e+00 8.904069062990129790e-01 1.780813812598025958e+00 1.701957874608536758e-01 3.403915749217073516e-01 2.139521153543869070e-01
-1.481963927855711383e+01 -2.472473838061816330e-03 1.060362249206784346e+00 2.120724498413568693e+00 8.901664617459307260e-01 1.780332923491861452e+00 1.701957874608536758e-01 3.403915749217073516e-01 2.121421610015218062e-01
-1.475951903807615295e+01 -2.528235469027985925e-03 1.060123348743801763e+00 2.120246697487603527e+00 8.899275612829480320e-01 1.779855122565896064e+00 1.701957874608536758e-01 3.403915749217073516e-01 2.103754046244901144e-01
-1.469939879759519030e+01 -2.583182509134850438e-03 1.059883159140333042e+00 2.119766318280666084e+00 8.896873716794793108e-01 1.779374743358958622e+00 1.701957874608536758e-01 3.403915749217073516e-01 2.085709601597910690e-01
-1.463927855711422765e+01 -2.637293839060150975e-03 1.059642116147788693e+00 2.119284232295577386e+00 8.894463286869349616e-01 1.778892657373869923e+00 1.701957874608536758e-01 3.403915749217073516e-01 2.066267930500622074e-01
-1.457915831663326678e+01 -2.689517639961174975e-03 1.059405392101120835e+00 2.118810784202241670e+00 8.892096046402672149e-01 1.778419209280534430e+00 1.701957874608536758e-01 3.403915749217073516e-01 2.046642830888790177e-01
-1.451903807615230413e+01 -2.740411497203222926e-03 1.059171018793339192e+00 2.118342037586678384e+00 8.889752313324855715e-01 1.777950462664971143e+00 1.701957874608536758e-01 3.403915749217073516e-01 2.026716876257636246e-01
-1.445891783567134325e+01 -2.789791184552095626e-03 1.058940376309127185e+00 2.117880752618254370e+00 8.887445888482734535e-01 1.777489177696546907e+00 1.701957874608536758e-01 3.403915749217073516e-01 2.006089535297037041e-01
-1.439879759519038060e+01 -2.837172884812248427e-03 1.058716339493521952e+00 2.117432678987043904e+00 8.885205520326682205e-01 1.777041104065336441e+00 1.701957874608536758e-01 3.403915749217073516e-01 1.985004224420939545e-01
-1.433867735470941795e+01 -2.882244154806853920e-03 1.058501073634260603e+00 2.117002147268521206e+00 8.883052861734068717e-01 1.776610572346813743e+00 1.701957874608536758e-01 3.403915749217073516e-01 1.963218814076268248e-01
-1.427855711422845708e+01 -2.925347830151878679e-03 1.058293632503855664e+00 2.116587265007711327e+00 8.880978450430019322e-01 1.776195690086003864e+00 1.701957874608536758e-01 3.403915749217073516e-01 1.941650298536138353e-01
-1.421843687374749443e+01 -2.966388292836013608e-03 1.058095160532591894e+00 2.116190321065183788e+00 8.878993730717382737e-01 1.775798746143476547e+00 1.701957874608536758e-01 3.403915749217073516e-01 1.919270339028010808e-01
-1.415831663326653356e+01 -3.005211526888177005e-03 1.057907113429784607e+00 2.115814226859569214e+00 8.877113259689309865e-01 1.775422651937861973e+00 1.701957874608536758e-01 3.403915749217073516e-01 1.896593976966722828e-01
-1.409819639278557091e+01 -3.042359540291785392e-03 1.057727608031540312e+00 2.115455216063080623e+00 8.875318205706866914e-01 1.775063641141373383e+00 1.701957874608536758e-01 3.403915749217073516e-01 1.872832714389779385e-01
