# X mode_0 mode_1 mode_2 mode_3
-1.500000000000000000e+01 2.172363328423194406e-01 1.668813756450341634e-01 4.345587989825071551e-01 1.813234925301392408e-01
-1.493987975951903735e+01 2.156363690729986571e-01 1.664102451882597533e-01 4.379290628141518371e-01 1.800243229245897802e-01
-1.487975951903807648e+01 2.139521153543869070e-01 1.659371037220833955e-01 4.413644161668544008e-01 1.787463647566752412e-01
-1.481963927855711383e+01 2.121421610015218062e-01 1.655121801837463047e-01 4.448436509015737950e-01 1.775020079131580386e-01
-1.475951903807615295e+01 2.103754046244901144e-01 1.649919630336401100e-01 4.482957151009788199e-01 1.763369172408908447e-01
-1.469939879759519030e+01 2.085709601597910690e-01 1.644985091262822496e-01 4.517936905130859326e-01 1.751368402008406933e-01
-1.463927855711422765e+01 2.066267930500622074e-01 1.639904759381565491e-01 4.553721317990706563e-01 1.740105992127106427e-01
-1.457915831663326678e+01 2.046642830888790177e-01 1.635108046957104433e-01 4.589514159019684736e-01 1.728734963134420377e-01
-1.451903807615230413e+01 2.026716876257636246e-01 1.629340755295458909e-01 4.625253799321281667e-01 1.718688569125623733e-01
-1.445891783567134325e+01 2.006089535297037041e-01 1.623900800303385294e-01 4.662092768660397457e-01 1.707916895739181040e-01
-1.439879759519038060e+01 1.985004224420939545e-01 1.618412070161169836e-01 4.698661276689818922e-01 1.697922428728071420e-01
-1.433867735470941795e+01 1.963218814076268248e-01 1.612296765114521191e-01 4.735881426545030526e-01 1.688602994264180313e-01
-1.427855711422845708e+01 1.941650298536138353e-01 1.606300123262293378e-01 4.772577294325195396e-01 1.679472283876372596e-01
-1.421843687374749443e+01 1.919270339028010808e-01 1.600018185275852156e-01 4.810319023339839628e-01 1.670392452356297686e-01
-1.415831663326653356e+01 1.896593976966722828e-01 1.593189270153973769e-01 4.848251046821550614e-01 1.661965706057753622e-01
-1.409819639278557091e+01 1.872832714389779385e-01 1.586378686568380991e-01 4.886744433948422284e-01 1.654044165093417340e-01
-1.403807615230461003e+01 1.849082616684676883e-01 1.579318312186645812e-01 4.925539687902360519e-01 1.646059383226315675e-01
-1.397795591182364738e+01 1.825173864204967245e-01 1.571754667199313504e-01 4.964301573179364935e-01 1.638769895416353761e-01
-1.391783567134268473e+01 1.800725880111626043e-01 1.563972678069911471e-01 5.003234565965999359e-01 1.632066875852463406e-01
-1.385771543086172386e+01 1.775693519883700111e-01 1.556006983302941349e-01 5.042604478766686826e-01 1.625695018046671991e-01
-1.379759519038076121e+01 1.750739935368558764e-01 1.547779367358473324e-01 5.081867199017184866e-01 1.619613498255782491e-01
-1.373747494989980034e+01 1.725130403683838021e-01 1.539372801654639578e-01 5.121677681419537498e-01 1.613819113241984626e-01
-1.367735470941883769e+01 1.699443879761085574e-01 1.530212195942520226e-01 5.161559218385408654e-01 1.608784705910984714e-01
