# X mu std 2std fstd 2fstd noisestd 2noisestd attrib
-1.500000000000000000e+01 -4.233378961430624705e-08 6.475466658192250424e-01 1.295093331638450085e+00 5.800221357208931172e-01 1.160044271441786234e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.072188429875813531e-01
-1.493987975951903735e+01 -5.462263072579744577e-08 6.475466658192247094e-01 1.295093331638449419e+00 5.800221357208927841e-01 1.160044271441785568e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.108188078220881057e-01
-1.487975951903807648e+01 -7.029719397606032077e-08 6.475466658192239322e-01 1.295093331638447864e+00 5.800221357208920070e-01 1.160044271441784014e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.145362225418194102e-01
-1.481963927855711383e+01 -9.027269928262183086e-08 6.475466658192228220e-01 1.295093331638445644e+00 5.800221357208908968e-01 1.160044271441781794e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.182449127996566762e-01
-1.475951903807615295e+01 -1.157202411352081973e-07 6.475466658192208236e-01 1.295093331638441647e+00 5.800221357208888984e-01 1.160044271441777797e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.219806079427740109e-01
-1.469939879759519030e+01 -1.478173942876128225e-07 6.475466658192176039e-01 1.295093331638435208e+00 5.800221357208856787e-01 1.160044271441771357e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.257137031886426337e-01
-1.463927855711422765e+01 -1.888596119479426062e-07 6.475466658192124969e-01 1.295093331638424994e+00 5.800221357208805717e-01 1.160044271441761143e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.295117675658111978e-01
-1.457915831663326678e+01 -2.408813804874036162e-07 6.475466658192040592e-01 1.295093331638408118e+00 5.800221357208721340e-01 1.160044271441744268e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.333810922530597409e-01
-1.451903807615230413e+01 -3.065857318978942252e-07 6.475466658191908476e-01 1.295093331638381695e+00 5.800221357208589223e-01 1.160044271441717845e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.372051207017209951e-01
-1.445891783567134325e+01 -3.898589735765920083e-07 6.475466658191694203e-01 1.295093331638338841e+00 5.800221357208374950e-01 1.160044271441674990e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.410843217762049129e-01
-1.439879759519038060e+01 -4.932140320385643203e-07 6.475466658191358915e-01 1.295093331638271783e+00 5.800221357208039663e-01 1.160044271441607933e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.449265472474620342e-01
-1.433867735470941795e+01 -6.232070371679127725e-07 6.475466658190823788e-01 1.295093331638164758e+00 5.800221357207504536e-01 1.160044271441500907e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.488346194096446196e-01
-1.427855711422845708e+01 -7.889199647569474742e-07 6.475466658189964475e-01 1.295093331637992895e+00 5.800221357206645223e-01 1.160044271441329045e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.527528503980861929e-01
-1.421843687374749443e+01 -9.921316243125059690e-07 6.475466658188641089e-01 1.295093331637728218e+00 5.800221357205321837e-01 1.160044271441064367e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.566961416114802885e-01
-1.415831663326653356e+01 -1.245998591101552141e-06 6.475466658186569413e-01 1.295093331637313883e+00 5.800221357203250161e-01 1.160044271440650032e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.606541435717303790e-01
-1.409819639278557091e+01 -1.562289662811139543e-06 6.475466658183338664e-01 1.295093331636667733e+00 5.800221357200019412e-01 1.160044271440003882e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.645528338655166900e-01
-1.403807615230461003e+01 -1.964109279083277588e-06 6.475466658178198331e-01 1.295093331635639666e+00 5.800221357194879079e-01 1.160044271438975816e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.685632823202236841e-01
-1.397795591182364738e+01 -2.461897000862655847e-06 6.475466658170229151e-01 1.295093331634045830e+00 5.800221357186909898e-01 1.160044271437381980e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.724834836189295340e-01
-1.391783567134268473e+01 -3.079074816811588009e-06 6.475466658157894573e-01 1.295093331631578915e+00 5.800221357174575321e-01 1.160044271434915064e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.764953092266554835e-01
-1.385771543086172386e+01 -3.841195645331525244e-06 6.475466658138927523e-01 1.295093331627785505e+00 5.800221357155608271e-01 1.160044271431121654e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.803874066836821610e-01
-1.379759519038076121e+01 -4.772441824755638440e-06 6.475466658110166085e-01 1.295093331622033217e+00 5.800221357126846833e-01 1.160044271425369367e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.844079092777609841e-01
-1.373747494989980034e+01 -5.906281137255523761e-06 6.475466658066880710e-01 1.295093331613376142e+00 5.800221357083561458e-01 1.160044271416712292e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.883460413374846931e-01
-1.367735470941883769e+01 -7.336399715089242221e-06 6.475466657999376929e-01 1.295093331599875386e+00 5.800221357016057677e-01 1.160044271403211535e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.922849718563311106e-01
-1.361723446893787504e+01 -9.091835928672446562e-06 6.475466657896902234e-01 1.295093331579380447e+00 5.800221356913582982e-01 1.160044271382716596e+00 6.752453009833196684e-02 1.350490601966639337e-01 5.962221000306442420e-01
-1.355711422845691416e+01 -1.120990692969053097e-05 6.475466657744579635e-01 1.295093331548915927e+00 5.800221356761260383e-01 1.160044271352252077e+00 6.752453009833196684e-02 1.350490601966639337e-01 6.001860917976703513e-01
-1.349699398797595151e+01 -1.383143481033515410e-05 6.475466657512779500e-01 1.295093331502555900e+00 5.800221356529460248e-01 1.160044271305892050e+00 6.752453009833196684e-02 1.350490601966639337e-01 6.040099072159953453e-01
-1.343687374749499064e+01 -1.703425714894737215e-05 6.475466657164824502e-01 1.295093331432964900e+00 5.800221356181505250e-01 1.160044271236301050e+00 6.752453009833196684e-02 1.350490601966639337e-01 6.079586058008709104e-01
-1.337675350701402799e+01 -2.086694748649360734e-05 6.475466656655184394e-01 1.295093331331036879e+00 5.800221355671865142e-01 1.160044271134373028e+00 6.752453009833196684e-02 1.350490601966639337e-01 6.117699974018944165e-01
-1.331663326653306711e+01 -2.566910626917419676e-05 6.475466655873670652e-01 1.295093331174734130e+00 5.800221354890351400e-01 1.160044270978070280e+00 6.752453009833196684e-02 1.350490601966639337e-01 6.155860443758452982e-01
-1.325651302605210446e+01 -3.135009374619199176e-05 6.475466654744747030e-01 1.295093330948949406e+00 5.800221353761427778e-01 1.160044270752285556e+00 6.752453009833196684e-02 1.350490601966639337e-01 6.193859927054052861e-01
-1.319639278557114181e+01 -3.830819415054918017e-05 6.475466653060991673e-01 1.295093330612198335e+00 5.800221352077672421e-01 1.160044270415534484e+00 6.752453009833196684e-02 1.350490601966639337e-01 6.231512011182570587e-01
-1.313627254509018094e+01 -4.683412410493626067e-05 6.475466650548162839e-01 1.295093330109632568e+00 5.800221349564843587e-01 1.160044269912968717e+00 6.752453009833196684e-02 1.350490601966639337e-01 6.268029475080829638e-01
-1.307615230460921829e+01 -5.702253427889681731e-05 6.475466646898087042e-01 1.295093329379617408e+00 5.800221345914767790e-01 1.160044269182953558e+00 6.752453009833196684e-02 1.350490601966639337e-01 6.305495622987364879e-01
-1.301603206412825742e+01 -6.914767099914183638e-05 6.475466641639314735e-01 1.295093328327862947e+00 5.800221340655995483e-01 1.160044268131199097e+00 6.752453009833196684e-02 1.350490601966639337e-01 6.341434010852393666e-01
-1.295591182364729477e+01 -8.383988670694888178e-05 6.475466633939849226e-01 1.295093326787969845e+00 5.800221332956529974e-01 1.160044266591305995e+00 6.752453009833196684e-02 1.350490601966639337e-01 6.377560683346135129e-01
-1.289579158316633212e+01 -1.012038160286737241e-04 6.475466622973298225e-01 1.295093324594659645e+00 5.800221321989978973e-01 1.160044264397995795e+00 6.752453009833196684e-02 1.350490601966639337e-01 6.412823749182327004e-01
