# X mode_0 mode_1 mode_2 mode_3
-1.500000000000000000e+01 1.538172706109211252e-01 2.031617707062999267e-01 1.358021156951975950e-01 5.072188429875813531e-01
-1.493987975951903735e+01 1.522319070157210075e-01 2.032734447816248180e-01 1.336758403805660134e-01 5.108188078220881057e-01
-1.487975951903807648e+01 1.505892306296568728e-01 2.033566496121448630e-01 1.315178972163787430e-01 5.145362225418194102e-01
-1.481963927855711383e+01 1.489203075232606310e-01 2.034526866928784428e-01 1.293820929842042500e-01 5.182449127996566762e-01
-1.475951903807615295e+01 1.472650983633375932e-01 2.035968735996083467e-01 1.271574200942801047e-01 5.219806079427740109e-01
-1.469939879759519030e+01 1.455758703668782461e-01 2.037115621047982661e-01 1.249988643396808125e-01 5.257137031886426337e-01
-1.463927855711422765e+01 1.438854137089355945e-01 2.038431951912292039e-01 1.227596235340240732e-01 5.295117675658111978e-01
-1.457915831663326678e+01 1.421285899929475294e-01 2.039736783817920340e-01 1.205166393722007512e-01 5.333810922530597409e-01
-1.451903807615230413e+01 1.403843560555526893e-01 2.041395730290908594e-01 1.182709502136354007e-01 5.372051207017209951e-01
-1.445891783567134325e+01 1.385912021829307506e-01 2.042966574402196311e-01 1.160278186006446915e-01 5.410843217762049129e-01
-1.439879759519038060e+01 1.368372578005892792e-01 2.044767210138400682e-01 1.137594739381086462e-01 5.449265472474620342e-01
-1.433867735470941795e+01 1.350318763308518966e-01 2.046868989325153210e-01 1.114466053269881352e-01 5.488346194096446196e-01
-1.427855711422845708e+01 1.332033804703311730e-01 2.048610406512483828e-01 1.091827284803341541e-01 5.527528503980861929e-01
-1.421843687374749443e+01 1.313260930349732236e-01 2.050948988972133291e-01 1.068828664563331587e-01 5.566961416114802885e-01
-1.415831663326653356e+01 1.294630800568380702e-01 2.053152669223432258e-01 1.045675094490883944e-01 5.606541435717303790e-01
-1.409819639278557091e+01 1.276006756876620629e-01 2.055498977714252384e-01 1.022965926753960086e-01 5.645528338655166900e-01
-1.403807615230461003e+01 1.256642508249125323e-01 2.058003407163777887e-01 9.997212613848602270e-02 5.685632823202236841e-01
-1.397795591182364738e+01 1.237320279839094483e-01 2.061012704628762682e-01 9.768321793428479116e-02 5.724834836189295340e-01
-1.391783567134268473e+01 1.217997750195250195e-01 2.063491626172263560e-01 9.535575313659315488e-02 5.764953092266554835e-01
-1.385771543086172386e+01 1.198397386839486906e-01 2.066982252480115689e-01 9.307462938435751010e-02 5.803874066836821610e-01
-1.379759519038076121e+01 1.178524410309438331e-01 2.069718161811847090e-01 9.076783351011043222e-02 5.844079092777609841e-01
-1.373747494989980034e+01 1.158364502701310361e-01 2.073069060195284474e-01 8.851060237285578169e-02 5.883460413374846931e-01
-1.367735470941883769e+01 1.138262940043167082e-01 2.076754498023820894e-01 8.621328433697005023e-02 5.922849718563311106e-01
-1.361723446893787504e+01 1.117904201041994838e-01 2.080521147310739893e-01 8.393536513408222932e-02 5.962221000306442420e-01
-1.355711422845691416e+01 1.097307683247081139e-01 2.083865691229186967e-01 8.169657075470287966e-02 6.001860917976703513e-01
-1.349699398797595151e+01 1.076996516757356276e-01 2.088109513091287450e-01 7.947948979914028211e-02 6.040099072159953453e-01
-1.343687374749499064e+01 1.056005342145240056e-01 2.092140021712043940e-01 7.722685781340071776e-02 6.079586058008709104e-01
-1.337675350701402799e+01 1.035240272945753270e-01 2.096894427830703622e-01 7.501653252045992204e-02 6.117699974018944165e-01
-1.331663326653306711e+01 1.014337032710993236e-01 2.101434951888289659e-01 7.283675716422643998e-02 6.155860443758452982e-01
-1.325651302605210446e+01 9.933808511945689534e-02 2.106114145904398050e-01 7.066450758469794424e-02 6.193859927054052861e-01
-1.319639278557114181e+01 9.723099074048002777e-02 2.111013873305523092e-01 6.851642081071060431e-02 6.231512011182570587e-01
-1.313627254509018094e+01 9.515483861153563316e-02 2.116472757047044295e-01 6.639493817567691802e-02 6.268029475080829638e-01
-1.307615230460921829e+01 9.301119608688289409e-02 2.121556384175631027e-01 6.428360319681768187e-02 6.305495622987364879e-01
-1.301603206412825742e+01 9.090235051573240799e-02 2.127358060611774515e-01 6.221844233785072537e-02 6.341434010852393666e-01
-1.295591182364729477e+01 8.878383004684259339e-02 2.132862011371371991e-01 6.017390048140669467e-02 6.377560683346135129e-01
-1.289579158316633212e+01 8.667156442592570398e-02 2.138879639230079621e-01 5.815809673283348080e-02 6.412823749182327004e-01
-1.283567134268537124e+01 8.455443234243269213e-02 2.144853411305206459e-01 5.616050254578210110e-02 6.447997239812645054e-01
-1.277555110220440859e+01 8.246583852734572229e-02 2.151539202916662452e-01 5.421015052219924774e-02 6.481700906587888333e-01
-1.271543086172344772e+01 8.037502145943463405e-02 2.158033796071349431e-01 5.230286075201184132e-02 6.515187381814185885e-01
-1.265531062124248507e+01 7.829098122781225078e-02 2.164761760413604907e-01 5.042153080505867163e-02 6.548113119257686909e-01
-1.259519038076152242e+01 7.619737914582615235e-02 2.171960497009523539e-01 4.856839367317548201e-02 6.580381774800461159e-01
-1.253507014028056155e+01 7.414536993539090626e-02 2.179323720625858940e-01 4.675305593080779365e-02 6.611692020712153228e-01
-1.247494989979959890e+01 7.207890269090920510e-02 2.186242745978574653e-01 4.497892708655538974e-02 6.643178956246779121e-01
