# X mu std 2std fstd 2fstd noisestd 2noisestd attrib
-1.500000000000000000e+01 -2.947603425614177611e-02 1.394047350073827962e+00 2.788094700147655924e+00 1.280178956361206044e+00 2.560357912722412088e+00 1.138683937126219597e-01 2.277367874252439195e-01 2.362044373202510095e-01
-1.493987975951903735e+01 -3.002244984228395405e-02 1.393504041652500636e+00 2.787008083305001271e+00 1.279635647939878718e+00 2.559271295879757435e+00 1.138683937126219597e-01 2.277367874252439195e-01 2.366929998689504266e-01
-1.487975951903807648e+01 -3.058220119898114736e-02 1.392916472537874206e+00 2.785832945075748412e+00 1.279048078825252288e+00 2.558096157650504576e+00 1.138683937126219597e-01 2.277367874252439195e-01 2.371147468312871931e-01
-1.481963927855711383e+01 -3.117964677373337087e-02 1.392247736967407112e+00 2.784495473934814225e+00 1.278379343254785194e+00 2.556758686509570389e+00 1.138683937126219597e-01 2.277367874252439195e-01 2.375913425865206208e-01
-1.475951903807615295e+01 -3.181198602182760266e-02 1.391519709788967107e+00 2.783039419577934215e+00 1.277651316076345189e+00 2.555302632152690379e+00 1.138683937126219597e-01 2.277367874252439195e-01 2.380378784518174251e-01
-1.469939879759519030e+01 -3.250435033918826211e-02 1.390708213754167755e+00 2.781416427508335509e+00 1.276839820041545837e+00 2.553679640083091673e+00 1.138683937126219597e-01 2.277367874252439195e-01 2.384969396424665156e-01
-1.463927855711422765e+01 -3.325376177801672023e-02 1.389827177480357667e+00 2.779654354960715334e+00 1.275958783767735749e+00 2.551917567535471498e+00 1.138683937126219597e-01 2.277367874252439195e-01 2.389909866145573936e-01
-1.457915831663326678e+01 -3.406676954225458520e-02 1.388852563904398485e+00 2.777705127808796970e+00 1.274984170191776567e+00 2.549968340383553134e+00 1.138683937126219597e-01 2.277367874252439195e-01 2.394897479184102951e-01
-1.451903807615230413e+01 -3.494115598704911757e-02 1.387815850540509821e+00 2.775631701081019642e+00 1.273947456827887903e+00 2.547894913655775806e+00 1.138683937126219597e-01 2.277367874252439195e-01 2.400154891375786137e-01
-1.445891783567134325e+01 -3.588712575722857040e-02 1.386711785658962137e+00 2.773423571317924274e+00 1.272843391946340219e+00 2.545686783892680438e+00 1.138683937126219597e-01 2.277367874252439195e-01 2.405451489001560750e-01
-1.439879759519038060e+01 -3.689008137539098731e-02 1.385518906715598186e+00 2.771037813431196373e+00 1.271650513002976268e+00 2.543301026005952536e+00 1.138683937126219597e-01 2.277367874252439195e-01 2.410878065970747386e-01
-1.433867735470941795e+01 -3.795919274974912661e-02 1.384247215637388839e+00 2.768494431274777678e+00 1.270378821924766921e+00 2.540757643849533842e+00 1.138683937126219597e-01 2.277367874252439195e-01 2.417467721014786575e-01
-1.427855711422845708e+01 -3.907329185194804294e-02 1.382901394209822055e+00 2.765802788419644109e+00 1.269033000497200137e+00 2.538066000994400273e+00 1.138683937126219597e-01 2.277367874252439195e-01 2.423875016433246765e-01
