# X mode_0 mode_1 mode_2 mode_3
-1.500000000000000000e+01 2.642780540089833541e-01 2.499065824493489074e-01 2.362044373202510095e-01 2.496109262214167845e-01
-1.493987975951903735e+01 2.656393951777289986e-01 2.473075858720527598e-01 2.366929998689504266e-01 2.503600190812679260e-01
-1.487975951903807648e+01 2.670386095822047667e-01 2.447568599784960552e-01 2.371147468312871931e-01 2.510897836080119849e-01
-1.481963927855711383e+01 2.683832543045914232e-01 2.422244113812409005e-01 2.375913425865206208e-01 2.518009917276470278e-01
-1.475951903807615295e+01 2.697539709117587892e-01 2.397506836281577958e-01 2.380378784518174251e-01 2.524574670082659344e-01
-1.469939879759519030e+01 2.711856792018715878e-01 2.373081408845160167e-01 2.384969396424665156e-01 2.530092402711457411e-01
-1.463927855711422765e+01 2.725883765157352534e-01 2.348918915748332281e-01 2.389909866145573936e-01 2.535287452948740694e-01
-1.457915831663326678e+01 2.740038823636902210e-01 2.325300748529479933e-01 2.394897479184102951e-01 2.539762948649515462e-01
-1.451903807615230413e+01 2.753463630871134105e-01 2.302716893068831594e-01 2.400154891375786137e-01 2.543664584684248164e-01
-1.445891783567134325e+01 2.767357598951560305e-01 2.280039981045643704e-01 2.405451489001560750e-01 2.547150931001235241e-01
-1.439879759519038060e+01 2.780820171247521122e-01 2.258277356829124505e-01 2.410878065970747386e-01 2.550024405952606710e-01
-1.433867735470941795e+01 2.793687241215293549e-01 2.237187321914510529e-01 2.417467721014786575e-01 2.551657715855408237e-01
-1.427855711422845708e+01 2.806582496691954476e-01 2.216603573571383212e-01 2.423875016433246765e-01 2.552938913303415824e-01
-1.421843687374749443e+01 2.818400557779405791e-01 2.197118682964319947e-01 2.430415237484473412e-01 2.554065521771800573e-01
-1.415831663326653356e+01 2.829822307235597134e-01 2.177692012475856420e-01 2.438052251919916313e-01 2.554433428368630965e-01
-1.409819639278557091e+01 2.840410682457251146e-01 2.159889565919988763e-01 2.445427378068834867e-01 2.554272373553925224e-01
-1.403807615230461003e+01 2.850719245712869943e-01 2.142110002619048159e-01 2.454042831943720471e-01 2.553127919724361150e-01
-1.397795591182364738e+01 2.859465195600731091e-01 2.125271377632484970e-01 2.463309631813090650e-01 2.551953794953693566e-01
-1.391783567134268473e+01 2.867653002454476074e-01 2.109101044794038649e-01 2.472751057781996664e-01 2.550494894969490001e-01
-1.385771543086172386e+01 2.874659276641747252e-01 2.093644994570589557e-01 2.483837766155179705e-01 2.547857962632484319e-01
-1.379759519038076121e+01 2.880346962549747425e-01 2.079460902828788871e-01 2.494497587659725291e-01 2.545694546961738691e-01
-1.373747494989980034e+01 2.885009643615192854e-01 2.065426074592984773e-01 2.506313481521516007e-01 2.543250800270306922e-01
-1.367735470941883769e+01 2.888224919297404103e-01 2.052574952686836429e-01 2.519104664349404166e-01 2.540095463666354747e-01
-1.361723446893787504e+01 2.889998472056508616e-01 2.040653487463247595e-01 2.532443998613985725e-01 2.536904041866257509e-01
-1.355711422845691416e+01 2.890757667782060114e-01 2.029360960593429852e-01 2.546237160187823090e-01 2.533644211436687499e-01
-1.349699398797595151e+01 2.889495676961716386e-01 2.018167619242441924e-01 2.561436413838755199e-01 2.530900289957087046e-01
-1.343687374749499064e+01 2.887735424954707697e-01 2.008036310718953055e-01 2.576748197606250623e-01 2.527480066720088625e-01
-1.337675350701402799e+01 2.883660042288865299e-01 1.998448676356111564e-01 2.594392823647559965e-01 2.523498457707463172e-01
-1.331663326653306711e+01 2.878156076965172616e-01 1.990012905773091700e-01 2.610754382628205361e-01 2.521076634633530045e-01
-1.325651302605210446e+01 2.871071443790894073e-01 1.982127972037987240e-01 2.628805453081056731e-01 2.517995131090062233e-01
-1.319639278557114181e+01 2.862885528250788680e-01 1.974570499337935936e-01 2.647709248813454597e-01 2.514834723597820232e-01
-1.313627254509018094e+01 2.853074170125354247e-01 1.967550693614654456e-01 2.667544968352984491e-01 2.511830167907005418e-01
-1.307615230460921829e+01 2.841920395450162062e-01 1.961159059185557940e-01 2.686990347704193427e-01 2.509930197660086848e-01
-1.301603206412825742e+01 2.829501120483156607e-01 1.955223713314930001e-01 2.707860306173976994e-01 2.507414860027936676e-01
-1.295591182364729477e+01 2.815550437109113346e-01 1.949530023995630079e-01 2.729138779038280394e-01 2.505780759856974238e-01
