# X mu std 2std fstd 2fstd noisestd 2noisestd attrib
-1.500000000000000000e+01 -4.710105623383328922e-08 6.844726057011932818e-01 1.368945211402386564e+00 5.968672539260772014e-01 1.193734507852154403e+00 8.760535177511612204e-02 1.752107035502322441e-01 2.748514481797112996e-01
-1.493987975951903735e+01 -6.037886998626024462e-08 6.844726057011929488e-01 1.368945211402385898e+00 5.968672539260768684e-01 1.193734507852153737e+00 8.760535177511612204e-02 1.752107035502322441e-01 2.770372041330785851e-01
-1.487975951903807648e+01 -7.741637589125491643e-08 6.844726057011919496e-01 1.368945211402383899e+00 5.968672539260758692e-01 1.193734507852151738e+00 8.760535177511612204e-02 1.752107035502322441e-01 2.793576376610101275e-01
-1.481963927855711383e+01 -9.916475305941904916e-08 6.844726057011903952e-01 1.368945211402380790e+00 5.968672539260743148e-01 1.193734507852148630e+00 8.760535177511612204e-02 1.752107035502322441e-01 2.817738411134830812e-01
-1.475951903807615295e+01 -1.267218080822229240e-07 6.844726057011877307e-01 1.368945211402375461e+00 5.968672539260716503e-01 1.193734507852143301e+00 8.760535177511612204e-02 1.752107035502322441e-01 2.842368601786989801e-01
-1.469939879759519030e+01 -1.621284555433230806e-07 6.844726057011835119e-01 1.368945211402367024e+00 5.968672539260674315e-01 1.193734507852134863e+00 8.760535177511612204e-02 1.752107035502322441e-01 2.867905356148902629e-01
-1.463927855711422765e+01 -2.055249153420106407e-07 6.844726057011770726e-01 1.368945211402354145e+00 5.968672539260609922e-01 1.193734507852121984e+00 8.760535177511612204e-02 1.752107035502322441e-01 2.893994233838760310e-01
-1.457915831663326678e+01 -2.613011927461160920e-07 6.844726057011665254e-01 1.368945211402333051e+00 5.968672539260504450e-01 1.193734507852100890e+00 8.760535177511612204e-02 1.752107035502322441e-01 2.921102611375864799e-01
-1.451903807615230413e+01 -3.316852965765695140e-07 6.844726057011494280e-01 1.368945211402298856e+00 5.968672539260333476e-01 1.193734507852066695e+00 8.760535177511612204e-02 1.752107035502322441e-01 2.949359025383666011e-01
-1.445891783567134325e+01 -4.199481985363463176e-07 6.844726057011227827e-01 1.368945211402245565e+00 5.968672539260067023e-01 1.193734507852013405e+00 8.760535177511612204e-02 1.752107035502322441e-01 2.977755797969447449e-01
-1.439879759519038060e+01 -5.299527070128350671e-07 6.844726057010803721e-01 1.368945211402160744e+00 5.968672539259642917e-01 1.193734507851928583e+00 8.760535177511612204e-02 1.752107035502322441e-01 3.007707366806738336e-01
