# X mode_0 mode_1 mode_2 mode_3
-1.500000000000000000e+01 2.758131547923532434e-01 1.623367953714925094e-01 2.748514481797112996e-01 2.869986016564429754e-01
-1.493987975951903735e+01 2.757029433998103296e-01 1.611440894630103426e-01 2.770372041330785851e-01 2.861157630041007427e-01
-1.487975951903807648e+01 2.754547429641086009e-01 1.599573651014170317e-01 2.793576376610101275e-01 2.852302542734642121e-01
-1.481963927855711383e+01 2.751496382195934287e-01 1.587515478947579550e-01 2.817738411134830812e-01 2.843249727721656184e-01
-1.475951903807615295e+01 2.748390984232454426e-01 1.575597129856420031e-01 2.842368601786989801e-01 2.833643284124136019e-01
-1.469939879759519030e+01 2.743574848755749307e-01 1.563554018418860936e-01 2.867905356148902629e-01 2.824965776676487406e-01
-1.463927855711422765e+01 2.738880226089941416e-01 1.551495363407654760e-01 2.893994233838760310e-01 2.815630176663643236e-01
-1.457915831663326678e+01 2.733248148073428307e-01 1.539801406086316604e-01 2.921102611375864799e-01 2.805847834464390012e-01
-1.451903807615230413e+01 2.726498274792631404e-01 1.527246714345028844e-01 2.949359025383666011e-01 2.796895985478672908e-01
-1.445891783567134325e+01 2.720020035172017736e-01 1.514977819538248227e-01 2.977755797969447449e-01 2.787246347320286310e-01
-1.439879759519038060e+01 2.711428603251291869e-01 1.502960222806609403e-01 3.007707366806738336e-01 2.777903807135360670e-01
-1.433867735470941795e+01 2.702948531227748474e-01 1.490447549889710177e-01 3.037970092502824127e-01 2.768633826379716112e-01
-1.427855711422845708e+01 2.692903355640097196e-01 1.478226880656556552e-01 3.069390442923751738e-01 2.759479320779594791e-01
-1.421843687374749443e+01 2.683235630045500142e-01 1.465773506384479841e-01 3.101422865875292922e-01 2.749567997694726817e-01
-1.415831663326653356e+01 2.671150530223082020e-01 1.452998435421794798e-01 3.134639118412038683e-01 2.741211915943083666e-01
-1.409819639278557091e+01 2.659442555266013919e-01 1.440422274902645183e-01 3.168230693376958840e-01 2.731904476454381503e-01
-1.403807615230461003e+01 2.645615117757837975e-01 1.427604071591938861e-01 3.203597651981234251e-01 2.723183158668990300e-01
-1.397795591182364738e+01 2.632142685232263801e-01 1.414710186573414352e-01 3.239074205924289962e-01 2.714072922270032162e-01
-1.391783567134268473e+01 2.616872667915275952e-01 1.402054452541760532e-01 3.275790999794880864e-01 2.705281879748083207e-01
-1.385771543086172386e+01 2.601437843971594055e-01 1.388481507002294890e-01 3.313106903682689897e-01 2.696973745343421158e-01
-1.379759519038076121e+01 2.584576615924772947e-01 1.375273713587407687e-01 3.351643181820724293e-01 2.688506488667094518e-01
-1.373747494989980034e+01 2.566054048611284832e-01 1.362316194492099175e-01 3.391140510310758915e-01 2.680489246585857632e-01
-1.367735470941883769e+01 2.547892140458327681e-01 1.348847981633480297e-01 3.431122310708489276e-01 2.672137567199702191e-01
-1.361723446893787504e+01 2.528054073985492312e-01 1.335428632251151326e-01 3.472259212693626917e-01 2.664258081069730277e-01
-1.355711422845691416e+01 2.507330462762421552e-01 1.321736922300090766e-01 3.514236619011591456e-01 2.656695995925896780e-01
-1.349699398797595151e+01 2.485410097260881135e-01 1.307917647204624167e-01 3.557243890773816308e-01 2.649428364760677557e-01
-1.343687374749499064e+01 2.462827932358775951e-01 1.294232224984697699e-01 3.601267478931001187e-01 2.641672363725524608e-01
-1.337675350701402799e+01 2.438795889374873738e-01 1.280253529462388740e-01 3.646387417829888844e-01 2.634563163332849234e-01
-1.331663326653306711e+01 2.414270774863888913e-01 1.266173014515956374e-01 3.692334858892107330e-01 2.627221351728047938e-01
-1.325651302605210446e+01 2.388723338593912171e-01 1.251805093879012898e-01 3.738871353548565146e-01 2.620600213978509507e-01
-1.319639278557114181e+01 2.362194414026828060e-01 1.237260923338980717e-01 3.786818109269592947e-01 2.613726553364598693e-01
-1.313627254509018094e+01 2.334594105664071217e-01 1.222612517386145459e-01 3.835063607155482779e-01 2.607729769794299712e-01
-1.307615230460921829e+01 2.305960864829597057e-01 1.207903542520705337e-01 3.884647708125988363e-01 2.601487884523708827e-01
-1.301603206412825742e+01 2.276617331048828019e-01 1.193271409702649916e-01 3.934527384940432748e-01 2.595583874308090011e-01
-1.295591182364729477e+01 2.246401567720815173e-01 1.178263217764752430e-01 3.985408877279841278e-01 2.589926337234592091e-01
-1.289579158316633212e+01 2.215196232615538885e-01 1.163315958781793724e-01 4.036941447638954239e-01 2.584546360963714262e-01
-1.283567134268537124e+01 2.182810936212283281e-01 1.147915177534270803e-01 4.089591594265773455e-01 2.579682291987672738e-01
-1.277555110220440859e+01 2.149750049537827168e-01 1.132539004621046785e-01 4.143737715222749474e-01 2.573973230618377683e-01
-1.271543086172344772e+01 2.116241565845640438e-01 1.116770493990478785e-01 4.196828958911832386e-01 2.570158981252049224e-01
-1.265531062124248507e+01 2.081506215849994457e-01 1.101217239774642392e-01 4.251793598018823728e-01 2.565482946356539284e-01
-1.259519038076152242e+01 2.046104145314020240e-01 1.085279213412938537e-01 4.306711514486739611e-01 2.561905126786301889e-01
-1.253507014028056155e+01 2.009658450022974996e-01 1.069200036693015027e-01 4.363621560435635982e-01 2.557519952848373856e-01
-1.247494989979959890e+01 1.973321192257737056e-01 1.053130969883673967e-01 4.419190047700808921e-01 2.554357790157780750e-01
-1.241482965931863802e+01 1.935573548361463614e-01 1.036968197725591512e-01 4.476763529580802259e-01 2.550694724332142616e-01
-1.235470941883767537e+01 1.897487742538618571e-01 1.020464830446931592e-01 4.535161697681899806e-01 2.546885729332549198e-01
