# X mode_0 mode_1 mode_2 mode_3
-1.500000000000000000e+01 1.911833091687638042e-01 2.368878689067581422e-01 2.663567304455928264e-01 3.055720914788853104e-01
-1.493987975951903735e+01 1.896565474895489101e-01 2.349722124081721208e-01 2.680350001158808837e-01 3.073362399863981409e-01
-1.487975951903807648e+01 1.882506711353304774e-01 2.330813007146759486e-01 2.695839901761668544e-01 3.090840379738266641e-01
-1.481963927855711383e+01 1.869921695037846110e-01 2.313782983350081424e-01 2.709628663722071229e-01 3.106666657890000960e-01
-1.475951903807615295e+01 1.857675164128388678e-01 2.297527052083318533e-01 2.722835397257612478e-01 3.121962386530680589e-01
-1.469939879759519030e+01 1.847467253423378253e-01 2.283212951572976546e-01 2.733664875318174148e-01 3.135654919685469944e-01
-1.463927855711422765e+01 1.837707373183645465e-01 2.270548843118799232e-01 2.743937166571737141e-01 3.147806617125818440e-01
-1.457915831663326678e+01 1.829490742852209195e-01 2.259475074000692751e-01 2.753422486263528701e-01 3.157611696883567687e-01
-1.451903807615230413e+01 1.823018313194346707e-01 2.249690811639896149e-01 2.761484966224686532e-01 3.165805908941070612e-01
-1.445891783567134325e+01 1.817846513146270937e-01 2.241911601631917106e-01 2.769416820922419031e-01 3.170825064299392371e-01
-1.439879759519038060e+01 1.814310115670122181e-01 2.235662989610304185e-01 2.777198668352336974e-01 3.172828226367236937e-01
-1.433867735470941795e+01 1.811932312761848629e-01 2.231406808872333225e-01 2.785280029587842709e-01 3.171380848777974881e-01
-1.427855711422845708e+01 1.811464324147361860e-01 2.228400575075408785e-01 2.793327227152748726e-01 3.166807873624480352e-01
-1.421843687374749443e+01 1.812839371655158849e-01 2.227039098596687583e-01 2.802317024935097600e-01 3.157804504813055413e-01
-1.415831663326653356e+01 1.816273694589072285e-01 2.227989969574473428e-01 2.811214177858962215e-01 3.144522157977491794e-01
-1.409819639278557091e+01 1.821542190832622088e-01 2.229722859190586826e-01 2.822244301291124136e-01 3.126490648685665286e-01
-1.403807615230461003e+01 1.828726321917777398e-01 2.232942454389429399e-01 2.832946967537108840e-01 3.105384256155684364e-01
-1.397795591182364738e+01 1.838752538077957355e-01 2.237923606170703350e-01 2.844436172658537099e-01 3.078887683092803029e-01
-1.391783567134268473e+01 1.850180581720402284e-01 2.243169144334675458e-01 2.858300625534377915e-01 3.048349648410544899e-01
-1.385771543086172386e+01 1.864521424817608131e-01 2.249613129613924900e-01 2.873023831760062041e-01 3.012841613808404650e-01
-1.379759519038076121e+01 1.880518581513446197e-01 2.256860063889759016e-01 2.888778752980466491e-01 2.973842601616329406e-01
-1.373747494989980034e+01 1.898891135866813684e-01 2.264382876058626259e-01 2.906597286737540586e-01 2.930128701337019193e-01
-1.367735470941883769e+01 1.919424852159434536e-01 2.272603151907490182e-01 2.924802089969640306e-01 2.883169905963435253e-01
-1.361723446893787504e+01 1.942129248015291021e-01 2.280768223063475986e-01 2.945001675283302478e-01 2.832100853637929960e-01
-1.355711422845691416e+01 1.967681059582561121e-01 2.288887710210414650e-01 2.964423217029638069e-01 2.779008013177385883e-01
-1.349699398797595151e+01 1.994873559924436046e-01 2.296567582552990483e-01 2.985321378604263720e-01 2.723237478918310028e-01
-1.343687374749499064e+01 2.023983275316093566e-01 2.303645905941884842e-01 3.006854765878649305e-01 2.665516052863372565e-01
-1.337675350701402799e+01 2.054918613890674428e-01 2.309917296509644558e-01 3.028595614317908247e-01 2.606568475281771380e-01
-1.331663326653306711e+01 2.088784530457117039e-01 2.315408617579287898e-01 3.049284476867488713e-01 2.546522375096107460e-01
-1.325651302605210446e+01 2.124561993923254899e-01 2.320616495018643366e-01 3.068927352225420124e-01 2.485894158832681888e-01
-1.319639278557114181e+01 2.160769137826051012e-01 2.324560104515396852e-01 3.088966108598682481e-01 2.425704649059870210e-01
-1.313627254509018094e+01 2.198929415310660329e-01 2.327162677857988193e-01 3.107236770004647153e-01 2.366671136826704047e-01
-1.307615230460921829e+01 2.239324836605282032e-01 2.328652829380528644e-01 3.123918725837410704e-01 2.308103608176778898e-01
-1.301603206412825742e+01 2.280708312547090333e-01 2.328949755969196012e-01 3.138684359228064435e-01 2.251657572255649775e-01
-1.295591182364729477e+01 2.323677057546655877e-01 2.327867184793845357e-01 3.151104406684684389e-01 2.197351350974815487e-01
-1.289579158316633212e+01 2.367960318610621007e-01 2.325210404929958785e-01 3.161466242008922345e-01 2.145363034450498418e-01
-1.283567134268537124e+01 2.412334507578834664e-01 2.322392885924153549e-01 3.168686217912911607e-01 2.096586388584101845e-01
-1.277555110220440859e+01 2.458815770924170641e-01 2.317581978484840044e-01 3.173611895023362162e-01 2.049990355567627986e-01
-1.271543086172344772e+01 2.504570131804531585e-01 2.312337742865388790e-01 3.175600856741460642e-01 2.007491268588619815e-01
-1.265531062124248507e+01 2.550905002013689193e-01 2.305883120518314733e-01 3.174577212865825615e-01 1.968634664602168793e-01
-1.259519038076152242e+01 2.598262343697075871e-01 2.298221975088689528e-01 3.170468791566494748e-01 1.933046889647738742e-01
-1.253507014028056155e+01 2.644472936846509747e-01 2.290363114776478304e-01 3.163863794453187217e-01 1.901300153923824177e-01
-1.247494989979959890e+01 2.691590963612331966e-01 2.281008225684965918e-01 3.154156466400485637e-01 1.873244344302216480e-01
-1.241482965931863802e+01 2.738034163868095505e-01 2.270897877266123133e-01 3.142841376900088468e-01 1.848226581965693449e-01
-1.235470941883767537e+01 2.783584788986646075e-01 2.259919129258460557e-01 3.128381959725900496e-01 1.828114122028992039e-01
-1.229458917835671272e+01 2.828430460935075774e-01 2.248102474457777111e-01 3.112009952452833295e-01 1.811457112154314097e-01
-1.223446893787575185e+01 2.871570300234767559e-01 2.235818353093335376e-01 3.094386482999336163e-01 1.798224863672561180e-01
-1.217434869739478920e+01 2.913796620711918695e-01 2.222461312615301443e-01 3.075242529298740091e-01 1.788499537374040327e-01
-1.211422845691382832e+01 2.954993474192899039e-01 2.208022035144290018e-01 3.054391708635965097e-01 1.782592782026844458e-01
-1.205410821643286567e+01 2.993438686352338785e-01 2.192998871565414176e-01 3.033869550266509729e-01 1.779692891815737033e-01
-1.199398797595190302e+01 3.030385023998274918e-01 2.177062142238209708e-01 3.012760472961869551e-01 1.779792360801646933e-01
-1.193386773547094215e+01 3.064945895846696855e-01 2.160499902504006697e-01 2.991117523081866514e-01 1.783436678567429101e-01
-1.187374749498997950e+01 3.097796467398769016e-01 2.142819274016312947e-01 2.970229416886094320e-01 1.789154841698823994e-01
