# X mode_0 mode_1 mode_2 mode_3
-1.500000000000000000e+01 2.719011332845708839e-01 3.124512755853769974e-01 2.250278633401392447e-01 1.906197277899128184e-01
-1.493987975951903735e+01 2.695479138411818743e-01 3.114768259042531851e-01 2.271469936719823224e-01 1.918282665825826183e-01
-1.487975951903807648e+01 2.674983600940015194e-01 3.101176181260416054e-01 2.293246870183543173e-01 1.930593347616024746e-01
-1.481963927855711383e+01 2.657804310564754746e-01 3.083497988787943789e-01 2.315455835373106397e-01 1.943241865274195623e-01
-1.475951903807615295e+01 2.643611002277941879e-01 3.062881310591935580e-01 2.338101839290115391e-01 1.955405847840007150e-01
-1.469939879759519030e+01 2.632178888797616634e-01 3.039854072970820109e-01 2.361269135265740560e-01 1.966697902965822697e-01
-1.463927855711422765e+01 2.621569188172759857e-01 3.015584463766315393e-01 2.386005310279307456e-01 1.976841037781618404e-01
-1.457915831663326678e+01 2.613154204506301093e-01 2.989602060978614473e-01 2.410948495841981620e-01 1.986295238673103369e-01
-1.451903807615230413e+01 2.603854972867977180e-01 2.963589806110479841e-01 2.437978294215164543e-01 1.994576926806378714e-01
-1.445891783567134325e+01 2.595967625549026048e-01 2.936376810127644399e-01 2.465250906990771596e-01 2.002404657332557958e-01
-1.439879759519038060e+01 2.587554331733518675e-01 2.910345214827212978e-01 2.493259846465927798e-01 2.008840606973340548e-01
-1.433867735470941795e+01 2.578997161076133637e-01 2.884389418838382846e-01 2.521401524641300740e-01 2.015211895444183610e-01
-1.427855711422845708e+01 2.568934756133161024e-01 2.859758695695809871e-01 2.550323125307558669e-01 2.020983422863471546e-01
-1.421843687374749443e+01 2.559399590611009523e-01 2.836699591731146608e-01 2.577475714213888769e-01 2.026425103443955378e-01
-1.415831663326653356e+01 2.549321819267507117e-01 2.814455464787210537e-01 2.603663611613709628e-01 2.032559104331572997e-01
-1.409819639278557091e+01 2.539652532783840400e-01 2.793984978162366017e-01 2.628014313762088716e-01 2.038348175291705144e-01
-1.403807615230461003e+01 2.530205893731988787e-01 2.776246993615370529e-01 2.648849092732435406e-01 2.044698019920205001e-01
-1.397795591182364738e+01 2.522290497909840945e-01 2.760198912584784225e-01 2.666063698818549321e-01 2.051446890686825786e-01
-1.391783567134268473e+01 2.516539982982906043e-01 2.745832038373512973e-01 2.678203426866916925e-01 2.059424551776663226e-01
-1.385771543086172386e+01 2.512706278627168111e-01 2.733715340301071661e-01 2.685127334281253719e-01 2.068451046790507342e-01
-1.379759519038076121e+01 2.512667985239839807e-01 2.723927464807776588e-01 2.685202944368508260e-01 2.078201605583876455e-01
-1.373747494989980034e+01 2.515043334388055718e-01 2.715166940745374347e-01 2.680093486978342154e-01 2.089696237888226671e-01
-1.367735470941883769e+01 2.521443575570933571e-01 2.709081166837550847e-01 2.667570166246739927e-01 2.101905091344773990e-01
-1.361723446893787504e+01 2.531234469943045018e-01 2.703629915884148693e-01 2.648779897427832597e-01 2.116355716744973692e-01
-1.355711422845691416e+01 2.545009426456512069e-01 2.699846504846051265e-01 2.623284348258067555e-01 2.131859720439368555e-01
-1.349699398797595151e+01 2.561800423315042652e-01 2.696676558306677074e-01 2.591772682011265760e-01 2.149750336367013126e-01
-1.343687374749499064e+01 2.582410366217618991e-01 2.693842890210537133e-01 2.555300030885439000e-01 2.168446712686405431e-01
-1.337675350701402799e+01 2.605285209154252213e-01 2.691458900177927660e-01 2.514056464652297818e-01 2.189199426015522310e-01
-1.331663326653306711e+01 2.629819982123626776e-01 2.688408409828804690e-01 2.469678751834661623e-01 2.212092856212906355e-01
-1.325651302605210446e+01 2.656660658853508550e-01 2.684723116916711283e-01 2.423136421261312679e-01 2.235479802968466934e-01
-1.319639278557114181e+01 2.683236238913658256e-01 2.680905961380008473e-01 2.374998686993458619e-01 2.260859112712874097e-01
-1.313627254509018094e+01 2.710010493767474604e-01 2.676287511212708248e-01 2.327153389744948675e-01 2.286548605274868196e-01
-1.307615230460921829e+01 2.735436613394796046e-01 2.670965304088217529e-01 2.280206797883871928e-01 2.313391284633114220e-01
-1.301603206412825742e+01 2.758580850820077646e-01 2.665513182786230506e-01 2.235049639873559479e-01 2.340856326520132369e-01
-1.295591182364729477e+01 2.779820038033591900e-01 2.658147803251282859e-01 2.192913858664716498e-01 2.369118300050409021e-01
-1.289579158316633212e+01 2.797647788133029723e-01 2.651104428545960068e-01 2.154339266063725333e-01 2.396908517257283766e-01
-1.283567134268537124e+01 2.811583844617261962e-01 2.644517294054818946e-01 2.119049720239413737e-01 2.424849141088504800e-01
-1.277555110220440859e+01 2.821294917852200657e-01 2.637831615048079614e-01 2.088453985561106452e-01 2.452419481538612722e-01
-1.271543086172344772e+01 2.826768186017554196e-01 2.631360324038673482e-01 2.062031391924760704e-01 2.479840098019013006e-01
-1.265531062124248507e+01 2.827371066677308309e-01 2.626555429772122752e-01 2.039791593990171181e-01 2.506281909560397203e-01
-1.259519038076152242e+01 2.822948533590008968e-01 2.622905502329600513e-01 2.022669886536294925e-01 2.531476077544095316e-01
-1.253507014028056155e+01 2.814522607487173200e-01 2.620009421756502865e-01 2.009540936090698504e-01 2.555927034665625430e-01
-1.247494989979959890e+01 2.801113582725814344e-01 2.619064764982482751e-01 1.999536747228391753e-01 2.580284905063310874e-01
-1.241482965931863802e+01 2.784288143290421513e-01 2.619275603985935508e-01 1.993052041222350412e-01 2.603384211501292844e-01
-1.235470941883767537e+01 2.763958619838719488e-01 2.621108250064980161e-01 1.989015362474828574e-01 2.625917767621471222e-01
-1.229458917835671272e+01 2.740854436688175966e-01 2.624292224253277350e-01 1.987318565731187869e-01 2.647534773327359092e-01
-1.223446893787575185e+01 2.714525325513862941e-01 2.629712342027794580e-01 1.987242178676584814e-01 2.668520153781758220e-01
-1.217434869739478920e+01 2.687979822323400270e-01 2.635062613674431509e-01 1.987734785532912773e-01 2.689222778469256281e-01
-1.211422845691382832e+01 2.660128498601672664e-01 2.643138092111653181e-01 1.988866005469890064e-01 2.707867403816784924e-01
-1.205410821643286567e+01 2.632973449443434810e-01 2.650284177964821186e-01 1.990049411089147569e-01 2.726692961502596435e-01
-1.199398797595190302e+01 2.607075352615947361e-01 2.658892209711829491e-01 1.990077165704399464e-01 2.743955271967823406e-01
-1.193386773547094215e+01 2.582528879919100961e-01 2.668074051114441847e-01 1.989447966853594152e-01 2.759949102112862485e-01
-1.187374749498997950e+01 2.561732328468762643e-01 2.677599195334186555e-01 1.987249040071237538e-01 2.773419436125812987e-01
-1.181362725450901863e+01 2.543966163249141710e-01 2.686879084594132050e-01 1.983940063631874917e-01 2.785214688524850768e-01
-1.175350701402805598e+01 2.530670515083957572e-01 2.695781486798051740e-01 1.979384363091986343e-01 2.794163635026005732e-01
-1.169338677354709333e+01 2.522462312538503726e-01 2.705078049642985483e-01 1.973981798120938436e-01 2.798477839697571246e-01
-1.163326653306613245e+01 2.519278752925511733e-01 2.714617639007039229e-01 1.966918282136001228e-01 2.799185325931448087e-01
-1.157314629258517158e+01 2.521350084698131266e-01 2.724022947716046028e-01 1.959669161781727731e-01 2.794957805804095807e-01
-1.151302605210420893e+01 2.528354477296029801e-01 2.733713086057825703e-01 1.953273381763426797e-01 2.784659054882718254e-01
-1.145290581162324628e+01 2.540898106532517020e-01 2.744371517294981189e-01 1.946285380256941311e-01 2.768444995915559925e-01
-1.139278557114228363e+01 2.558496080462839828e-01 2.754603370024524822e-01 1.940826017799216208e-01 2.746074531713419975e-01
-1.133266533066132276e+01 2.579322837647040623e-01 2.766416098158026027e-01 1.937142336617201088e-01 2.717118727577731430e-01
-1.127254509018036188e+01 2.603148332310824542e-01 2.779493038928725901e-01 1.935172588780448566e-01 2.682186039980000158e-01
-1.121242484969939923e+01 2.628889977629135788e-01 2.793703768383666852e-01 1.935985958571635746e-01 2.641420295415562447e-01
-1.115230460921843658e+01 2.655234578891782493e-01 2.809114604926923886e-01 1.940314948720997246e-01 2.595335867460296653e-01
-1.109218436873747571e+01 2.680675782194699153e-01 2.826941301409808815e-01 1.947294585203884210e-01 2.545088331191607267e-01
-1.103206412825651306e+01 2.703734547585314729e-01 2.845391407242168214e-01 1.959168622391506409e-01 2.491705422781009815e-01
-1.097194388777555218e+01 2.722967145712052450e-01 2.865810442906039923e-01 1.974666429283202518e-01 2.436555982098705664e-01
-1.091182364729458953e+01 2.736870895743981347e-01 2.887822385207566289e-01 1.994206681879269749e-01 2.381100037169182893e-01
-1.085170340681362688e+01 2.744611672249470669e-01 2.910924949295136122e-01 2.018510748314553405e-01 2.325952630140840638e-01
-1.079158316633266423e+01 2.744859140240850093e-01 2.934308579113278359e-01 2.047509643906725574e-01 2.273322636739146529e-01
-1.073146292585170336e+01 2.736404487142056752e-01 2.958967583599276252e-01 2.080635556341542125e-01 2.223992372917125149e-01
-1.067134268537074249e+01 2.720040444547431324e-01 2.983117923753550449e-01 2.116826918245878209e-01 2.180014713453138631e-01
-1.061122244488977984e+01 2.694633176351490245e-01 3.006995196022376193e-01 2.157365824777263408e-01 2.141005802848869322e-01
-1.055110220440881719e+01 2.661297974519750142e-01 3.029042801702044319e-01 2.200357109271565970e-01 2.109302114506640125e-01
-1.049098196392785631e+01 2.619990836340695406e-01 3.049520231228152189e-01 2.245965187982406075e-01 2.084523744448746885e-01
-1.043086172344689366e+01 2.571947943533292591e-01 3.067392635792719480e-01 2.292173881160199100e-01 2.068485539513788274e-01
-1.037074148296593279e+01 2.518291400188431006e-01 3.081441145239320889e-01 2.340304847463548499e-01 2.059962607108699884e-01
-1.031062124248497014e+01 2.460327656645713845e-01 3.092004933914306308e-01 2.386882886760393341e-01 2.060784522679586783e-01
-1.025050100200400749e+01 2.399381227992210819e-01 3.097430100874553061e-01 2.432757342734022665e-01 2.070431328399214566e-01
-1.019038076152304662e+01 2.336078988624656627e-01 3.097871091550320477e-01 2.475990497888554964e-01 2.090059421936467099e-01
-1.013026052104208397e+01 2.272980830500929694e-01 3.093102570928244477e-01 2.516269252403201540e-01 2.117647346167624012e-01
-1.007014028056112309e+01 2.210345810626016538e-01 3.082206807180210006e-01 2.552626276358436197e-01 2.154821105835336703e-01
-1.001002004008016044e+01 2.149919377065836190e-01 3.065842866304999692e-01 2.584501965196393525e-01 2.199735791432771426e-01
