# X sample_0 sample_1 sample_2 sample_3 sample_4 sample_5 sample_6 sample_7 sample_8 sample_9
-2.500000000000000000e+00 1.949906250776348438e-01 1.574241909538136863e-01 -1.900616867432317891e-01 1.881558817720235116e-02 -6.865380512751927122e-02 2.886574746254517709e-01 3.704670198834264516e-01 1.984235248950795838e-01 1.715978836495170301e-01 -2.634582621089855414e-01
-2.487468671679197829e+00 2.089180058443332322e-01 1.710729130895891625e-01 -2.395091993976731781e-01 3.434446755291862413e-02 -6.944294034722142683e-02 2.945775855162540702e-01 3.773997757592820745e-01 1.842249161294313431e-01 1.996687339385890825e-01 -2.685228478908918692e-01
-2.474937343358396102e+00 2.201149764175393264e-01 1.832869930758623256e-01 -3.028314089778135765e-01 5.430374228807255399e-02 -6.743855731716084934e-02 2.944976053304468322e-01 3.860755580162150147e-01 1.651367328432162274e-01 2.335289539514737722e-01 -2.693860311423585951e-01
-2.462406015037593932e+00 2.339532672439576799e-01 1.979347743048770480e-01 -3.879543836300294868e-01 8.249864650261957977e-02 -6.174511475275643035e-02 2.851665553140815268e-01 3.917917595797925645e-01 1.345319673742265687e-01 2.731637965051972872e-01 -2.620361991804290858e-01
-2.449874686716792205e+00 2.452219899250910329e-01 2.105444030009122336e-01 -5.043546672681670229e-01 1.173473139515853469e-01 -4.905470447702019871e-02 2.501340911846767767e-01 3.890990554016059422e-01 6.972953805245091230e-02 3.217637240860518055e-01 -2.393626042753466965e-01
-2.437343358395990034e+00 2.427999933565004598e-01 2.118428489774433487e-01 -5.749735413619534441e-01 1.326580312607723022e-01 -4.415627683160372463e-02 2.048120209203168063e-01 3.826316825258817000e-01 2.097132612827024012e-02 3.397813080859145574e-01 -2.162832809829705605e-01
-2.424812030075187863e+00 2.453891959407329404e-01 2.121031484040252491e-01 -5.441876214292352687e-01 1.259766119580505161e-01 -4.568904387579419968e-02 2.279465675413736570e-01 3.872524554781915374e-01 4.440778926006586774e-02 3.345863026793515216e-01 -2.266209453921705086e-01
-2.412280701754386136e+00 2.300167696725050615e-01 1.917249216273610724e-01 -3.490468707932779524e-01 7.047196554815605973e-02 -6.439521139241047298e-02 2.918299493550248758e-01 3.909689975096151682e-01 1.483539881681188444e-01 2.578561752347486302e-01 -2.666274706610840539e-01
-2.399749373433583965e+00 1.764414511516047557e-01 1.389168531840252185e-01 -1.150902964176111626e-01 -8.218013016302951751e-03 -6.635323732465017721e-02 2.721064007923313377e-01 3.504168279032233158e-01 2.088972908200692202e-01 1.295674692816766171e-01 -2.489372492823549443e-01
-2.387218045112781795e+00 1.354546336449069244e-01 1.031613517415357895e-01 1.561548886732757983e-02 -3.751663668223591264e-02 -4.397260642279568477e-02 2.343354860442329601e-01 2.946441711923985518e-01 2.067600939533953686e-01 4.913556246485359380e-02 -2.041547700969280066e-01
-2.374686716791980068e+00 1.157387417438273391e-01 8.533684531140281471e-02 7.723388763351934916e-02 -4.778014840420562875e-02 -2.253586328917593987e-02 2.063970683269696904e-01 2.575163063061366997e-01 1.957413104877905596e-01 1.383287505979772201e-02 -1.671150281143793659e-01
-2.362155388471177897e+00 1.160507674765420549e-01 8.492370720547318119e-02 7.801669900078822550e-02 -4.638054591462095755e-02 -2.548552113581031495e-02 2.080989962913190605e-01 2.562269306628525700e-01 1.969747885125076592e-01 1.306933226173662491e-02 -1.661657134613090392e-01
-2.349624060150375726e+00 1.671385542276495328e-01 1.288748620730404137e-01 -8.307331996366663918e-02 -1.439279012109831273e-02 -6.135391562946435062e-02 2.648087711431726388e-01 3.405874081637895734e-01 2.106232373259611657e-01 1.103578454416583032e-01 -2.418356124639382820e-01
-2.337092731829573999e+00 1.912043132670904755e-01 1.757420258684045111e-01 -7.059721721440573861e-01 1.416772329550858023e-01 -3.868066645178213497e-02 -1.410324487185764079e-03 3.620135454617759430e-01 -1.218621954045158856e-01 3.436656831624185782e-01 -1.318896903237737617e-01
-2.324561403508771829e+00 -3.272564064840732811e-01 -1.932776343750776116e-01 -3.706146153168881630e-01 -3.109140363573014154e-01 1.818052192807788955e-03 -1.091122464889363375e+00 4.114537035931160602e-01 -4.828924015523211599e-01 -6.949549209990651955e-02 5.332856005750081368e-02
-2.312030075187970102e+00 -3.823577942324197232e-01 -2.180913987003326449e-01 -2.542960877844163692e-01 -4.008852090312813865e-01 6.059675600658826627e-02 -1.146995145406213945e+00 4.245416993707431530e-01 -5.240185124887087875e-01 -1.491598523709428414e-01 7.369284039613577253e-02
-2.299498746867167931e+00 -3.949984653470895446e-01 -2.063173042275456837e-01 -5.761449953166673799e-02 -5.055779258205130855e-01 1.802119976384420064e-01 -1.108480279382784817e+00 4.259859381756704866e-01 -5.818694263504150532e-01 -2.700502968876473120e-01 1.284903992370247661e-01
-2.286967418546365760e+00 -2.216817570208437227e-01 -1.602118302294607277e-01 1.410356090438817100e-01 -4.731050253570187603e-01 3.102774258137483421e-01 -8.415690664219837025e-01 3.909168636609640646e-01 -6.182907406810824735e-01 -3.733447931024890254e-01 2.049082437334107665e-01
-2.274436090225564033e+00 -3.172954192489173264e-02 -1.697228310509067972e-01 2.122000395115664351e-01 -3.501778771827015468e-01 3.440720556182088052e-01 -6.374212386223256921e-01 3.394571200286791712e-01 -6.101384500523517884e-01 -4.036476496667787961e-01 2.219636333661781646e-01
-2.261904761904761862e+00 2.918497844305956157e-01 -2.823595812322792220e-01 2.282628151215500556e-01 -4.873163204369402451e-02 3.003651506604714250e-01 -3.788501339761399245e-01 1.961789487370160789e-01 -5.518189562244172341e-01 -4.350458828011442014e-01 1.136981856078948250e-01
-2.249373433583960136e+00 4.267044503823044788e-01 -3.806993455760571687e-01 1.075587196068193835e-01 3.387409181524295709e-01 1.277711202291256787e-01 -2.744904413486187744e-01 -3.738974282264709986e-02 -3.000223954731907616e-01 -4.367076332104400938e-01 -2.545999027716088770e-01
-2.236842105263157965e+00 2.363856944264011994e-01 -1.280444320668868707e-01 1.148619693278059711e-01 5.262181150409672714e-01 3.028142184949541953e-03 -2.965677400916149620e-01 -5.614522184841143349e-02 6.842135561182671570e-03 -2.014529488133928459e-01 -3.104950327376245212e-01
-2.224310776942355794e+00 1.837885048249818243e-01 5.192510537454713554e-02 2.104104613008188907e-01 5.712652325620628524e-01 -2.874124488688561876e-03 -2.535160586419843987e-01 3.437974463850482915e-02 9.654985700513582514e-02 -2.666853720723639382e-02 -1.487444889908347279e-01
-2.211779448621554067e+00 2.055538557854111881e-01 1.104826892347427758e-01 2.788830253875482224e-01 5.827699294123361851e-01 3.535821845923130258e-02 -1.890377654133472141e-01 1.144851263122430435e-01 1.047509838129545429e-01 4.246636666299012652e-02 -1.361430714531002006e-02
-2.199248120300751896e+00 2.417082354049724102e-01 1.226566127909500120e-01 3.184999079258719612e-01 5.821164584537686926e-01 7.828529460562665132e-02 -1.352200375264572818e-01 1.690301999922224074e-01 9.633199798308771100e-02 6.278145152777149518e-02 7.476530068776647553e-02
-2.186716791979949726e+00 2.726704153973895650e-01 1.142782233973361344e-01 3.407544528882921475e-01 5.798164520159548863e-01 1.116325186573215583e-01 -9.172700446809244068e-02 2.071405146780526674e-01 8.664330785195563378e-02 6.574536515840641304e-02 1.298681168921990980e-01
-2.174185463659147999e+00 2.908211052760222848e-01 1.068000708669717275e-01 3.503505975662378202e-01 5.810605290399120104e-01 1.283902418013530000e-01 -7.115056953716854260e-02 2.218418358956820435e-01 8.590557735786343019e-02 6.810676988736008575e-02 1.548841116188748313e-01
-2.161654135338345828e+00 3.020830052085494710e-01 1.002762441319490910e-01 3.542297583063269140e-01 5.815943340982022702e-01 1.450677332165780653e-01 -5.358599347734569612e-02 2.345860293393648432e-01 8.141351876053497250e-02 6.603695576892013031e-02 1.754466841214563644e-01
-2.149122807017543657e+00 3.149282688539504771e-01 8.714406222612851305e-02 3.586288138213615251e-01 5.821531632153597036e-01 1.563611420176987954e-01 -4.162471983471787568e-02 2.454629800275677509e-01 8.034484952599126040e-02 6.186495879876808407e-02 1.913602279979301213e-01
-2.136591478696741930e+00 3.052269568401338451e-01 9.360312137848972314e-02 3.570348385676384018e-01 5.803423255472378584e-01 1.484016204323952981e-01 -4.792699542715350008e-02 2.399589670660851604e-01 8.120842637765129934e-02 6.379990378898690861e-02 1.812447345565619539e-01
-2.124060150375939759e+00 3.083030282689064872e-01 9.115428083124949010e-02 3.558812827647133137e-01 5.824306046815012072e-01 1.499183409359720609e-01 -4.498383941828194843e-02 2.418318207420527277e-01 7.990032387019598004e-02 6.377321912347862221e-02 1.836698377459343168e-01
-2.111528822055138033e+00 3.063255551014810174e-01 9.427311294538805175e-02 3.579495101477458974e-01 5.809361148960174859e-01 1.477284358051971780e-01 -5.027198319463675735e-02 2.400886705098887186e-01 8.125947925427258467e-02 6.372595206377419663e-02 1.804617246245970308e-01
