# X sample_0 sample_1 sample_2 sample_3 sample_4 sample_5 sample_6 sample_7 sample_8 sample_9
-2.500000000000000000e+00 1.633732222807146583e-01 1.102797833810708755e-01 -1.985231539016396596e-02 3.323940536586936223e-02 4.525470638839654974e-02 1.282955160561508878e-01 5.409378059548529405e-02 6.923496343546819976e-02 -1.338364757671406391e-03 9.884397910549402866e-02
-2.487468671679197829e+00 3.119801691969394386e-01 2.462444717050829568e-01 1.613648559000053218e-01 1.195679200038810841e-01 1.857852270046850274e-01 2.572704049595986864e-01 1.519680863785759783e-01 2.243006733298702482e-01 1.357124645372819183e-01 2.359644869004507428e-01
-2.474937343358396102e+00 4.292595551650405516e-01 3.769940261249811186e-01 3.339226591497625463e-01 1.949934344651943485e-01 3.159679860804651685e-01 3.526948271521007094e-01 2.349722576904745008e-01 3.670510491531560615e-01 2.646415481155109384e-01 3.571454875811146401e-01
-2.462406015037593932e+00 5.133084707339733432e-01 4.970064972826264693e-01 4.894601788318022617e-01 2.492843758428456291e-01 4.294173117075530954e-01 4.172823071770165315e-01 3.032677033081839779e-01 4.922187657180743803e-01 3.691093015923619380e-01 4.506537828387580102e-01
-2.449874686716792205e+00 5.607994987914197704e-01 5.856413423033648424e-01 6.255651332389913222e-01 2.768973707287610830e-01 5.207341884196663440e-01 4.472783076418705983e-01 3.459795024317441348e-01 5.885936070726537350e-01 4.441457956094188586e-01 5.045665450504450700e-01
-2.437343358395990034e+00 5.632738413609534867e-01 6.417405027560547648e-01 7.221232526645705585e-01 2.735089769350775302e-01 5.898771874559497475e-01 4.456540383530570026e-01 3.570869230088279389e-01 6.494632903283719116e-01 4.824561259198926755e-01 5.192830471893429278e-01
-2.424812030075187863e+00 5.295535150845973593e-01 6.580701678788051234e-01 7.773492736564444616e-01 2.455989347023190272e-01 6.327528098796135758e-01 4.067114498532836686e-01 3.328375096677579914e-01 6.669297237221352148e-01 4.842114773087639046e-01 4.873148900739753819e-01
-2.412280701754386136e+00 4.641418390107546754e-01 6.307516927720593358e-01 7.801322856343611001e-01 1.900472803120129006e-01 6.383918640146233336e-01 3.418995358226651349e-01 2.737308373625135793e-01 6.340177593329250350e-01 4.467203191589455558e-01 4.210045654341739718e-01
-2.399749373433583965e+00 3.743034231796669165e-01 5.624751577281067449e-01 7.217967325287170111e-01 1.227971809194376984e-01 6.099343251822002543e-01 2.517874995695544293e-01 1.829766055652490564e-01 5.495766900011356260e-01 3.712737796927115252e-01 3.230995991027317271e-01
-2.387218045112781795e+00 2.633116270058752373e-01 4.603419612891017088e-01 6.031515760746266608e-01 4.537557185479890176e-02 5.395560320631477280e-01 1.444751157968622024e-01 6.674603441410725813e-02 4.237968885846367106e-01 2.621963723780280642e-01 2.084346755761453951e-01
-2.374686716791980068e+00 1.392177231568317297e-01 3.293531475104716777e-01 4.326584799263468728e-01 -3.220499766236761818e-02 4.290720939432049463e-01 3.035458717219591263e-02 -6.420961953790083054e-02 2.580469891277407668e-01 1.306475475779882711e-01 8.414098308865534948e-02
-2.362155388471177897e+00 8.237409888657953871e-03 1.798638707561825145e-01 2.166316196287557949e-01 -1.123851626263737691e-01 2.872146671493564507e-01 -8.936741852770818673e-02 -2.005153576400440230e-01 6.867887168507766371e-02 -2.027292881248569933e-02 -3.474288143566922615e-02
-2.349624060150375726e+00 -1.237901037040217561e-01 3.055266745576756815e-02 -2.571496599908255215e-02 -1.875704362877115283e-01 1.203243611642509370e-01 -1.970880152200070456e-01 -3.363261918525611849e-01 -1.250851901088693707e-01 -1.734586043311476533e-01 -1.445000370597134265e-01
-2.337092731829573999e+00 -2.502233779275840897e-01 -1.094553586188812266e-01 -2.731656921203491351e-01 -2.575527483735414180e-01 -5.258924844663284692e-02 -2.876917410711464229e-01 -4.606708878129942564e-01 -3.017195880542871689e-01 -3.210965557745842358e-01 -2.369226544863427264e-01
-2.324561403508771829e+00 -3.669083518191413318e-01 -2.287193993289538263e-01 -5.025425041309105056e-01 -3.199668606802739124e-01 -2.193051805427879697e-01 -3.539881597708238736e-01 -5.661605014415939108e-01 -4.488833554100374323e-01 -4.536988530004046338e-01 -3.122269346499402243e-01
-2.312030075187970102e+00 -4.651769731886561399e-01 -3.254954316336189368e-01 -6.956105252238682368e-01 -3.771280171696165251e-01 -3.594730113415002815e-01 -3.957636379599873688e-01 -6.457079987906276797e-01 -5.531650530313352299e-01 -5.536598317613502518e-01 -3.650178542260292258e-01
-2.299498746867167931e+00 -5.423828077458592301e-01 -3.966654543082797080e-01 -8.370105939192556965e-01 -4.208718689686601344e-01 -4.635458538190869726e-01 -4.117804684371207946e-01 -6.963424974239869059e-01 -6.102536264459084148e-01 -6.259891680532612135e-01 -4.016275736972461097e-01
-2.286967418546365760e+00 -5.950332541631498939e-01 -4.381156127376923393e-01 -9.109339853125453246e-01 -4.599790592910988352e-01 -5.205379045240103864e-01 -4.020488089816240951e-01 -7.098827427836653658e-01 -6.217528938940031225e-01 -6.590608647681734933e-01 -4.190085480284484465e-01
-2.274436090225564033e+00 -6.196932127004908253e-01 -4.631060545835163911e-01 -9.225207544916532720e-01 -4.816814741092826924e-01 -5.298891665184612965e-01 -3.723754839058871502e-01 -6.912495062021606351e-01 -5.927938530745961998e-01 -6.564870826734172660e-01 -4.187889553820216548e-01
-2.261904761904761862e+00 -6.180049268505112270e-01 -4.656299306921850012e-01 -8.730824643996534240e-01 -4.825259537412779909e-01 -5.031436679152988534e-01 -3.285375110708173563e-01 -6.337114096089883075e-01 -5.333702317186819197e-01 -6.192870584449408078e-01 -4.030748192482497272e-01
-2.249373433583960136e+00 -5.871782638525427922e-01 -4.410653049218389299e-01 -7.744557825387505812e-01 -4.625675645639792388e-01 -4.373089538507257679e-01 -2.738608081565087060e-01 -5.474770411185255758e-01 -4.517211598965289454e-01 -5.566549680296667413e-01 -3.677271777766914496e-01
-2.236842105263157965e+00 -5.289754564158760664e-01 -3.942487688405548751e-01 -6.438438422326580035e-01 -4.098571047892505814e-01 -3.484343767508039647e-01 -2.113088238436127142e-01 -4.369419776905916208e-01 -3.576398603851596025e-01 -4.702232971254147742e-01 -3.170392007693141889e-01
-2.224310776942355794e+00 -4.431654755409573099e-01 -3.137457695258552004e-01 -4.928841657209838134e-01 -3.301262164907254326e-01 -2.431383238096019306e-01 -1.438579133648261177e-01 -3.092403662847656998e-01 -2.573833687009510207e-01 -3.638546665292766713e-01 -2.474125324206027932e-01
-2.211779448621554067e+00 -3.286567817894397447e-01 -2.021793399385446166e-01 -3.300232161705812794e-01 -2.143163729061435818e-01 -1.343767672601652585e-01 -6.555992665113714868e-02 -1.697920394020248913e-01 -1.563126771770969869e-01 -2.444186908393904956e-01 -1.617688373494071130e-01
-2.199248120300751896e+00 -1.874787590204692600e-01 -6.103764218533062197e-02 -1.665861390893710325e-01 -7.475101904199227265e-02 -2.354787850986245212e-02 1.675955344771142691e-02 -2.639267599412456478e-02 -5.701876660773294581e-02 -1.212377175934423457e-01 -6.493124857638796210e-02
-2.186716791979949726e+00 -2.985281255382629673e-02 1.112442004653994426e-01 -7.548198663609673176e-03 8.272864891608161519e-02 8.956631088927359541e-02 1.024965390784023656e-01 1.158672705625214405e-01 4.192509171522466882e-02 4.041065160193105243e-03 3.290872102114827946e-02
-2.174185463659147999e+00 1.423314759476119185e-01 2.940329499125935997e-01 1.439102291513243426e-01 2.374813134293497774e-01 1.969998599408468443e-01 1.861781822323488045e-01 2.489117770346439273e-01 1.369687825023712113e-01 1.261048607075744843e-01 1.300578135234489729e-01
-2.161654135338345828e+00 3.146061435818198748e-01 4.755662828118535912e-01 2.855264576570258339e-01 3.844020884623450818e-01 3.006521572541405174e-01 2.629967670285501269e-01 3.693453650431359203e-01 2.221364563659510849e-01 2.338077819851267225e-01 2.176693969340755264e-01
-2.149122807017543657e+00 4.700941536593204462e-01 6.342234835723379316e-01 4.072530737835978742e-01 5.018929083446641570e-01 3.947270999347584630e-01 3.239487827222668481e-01 4.696019929637438306e-01 2.967889726960510344e-01 3.250869128099259653e-01 2.868556108888010714e-01
-2.136591478696741930e+00 5.930769387635199674e-01 7.550364234657090945e-01 5.126643283386458361e-01 5.824156072317547839e-01 4.809726757781360162e-01 3.678119963668945447e-01 5.497855381456865365e-01 3.585133058016374275e-01 3.919917043888020425e-01 3.400403507728200214e-01
-2.124060150375939759e+00 6.743537451787267045e-01 8.321492210654545252e-01 5.953574447731959651e-01 6.154717369787948700e-01 5.531414337915241397e-01 3.893435057457236281e-01 6.040598128710369386e-01 4.002218632352795291e-01 4.298046913313295914e-01 3.737324681479186061e-01
-2.111528822055138033e+00 6.959420136116312161e-01 8.473217735153504293e-01 6.467497501088592671e-01 5.997651170535118759e-01 6.057100072071277541e-01 3.868199436693431914e-01 6.299009449752426271e-01 4.179281094343044733e-01 4.377383780866362373e-01 3.834828661957900842e-01
-2.098997493734335862e+00 6.654816269808789819e-01 8.072344384516678684e-01 6.771142696326353239e-01 5.389098494911686021e-01 6.386714771602647334e-01 3.600310788450464261e-01 6.319356590385768468e-01 4.126358858186925938e-01 4.096738816414102757e-01 3.693091500368532176e-01
-2.086466165413533691e+00 5.822033493550576866e-01 7.139327936739190417e-01 6.772888262137899407e-01 4.378530671858080203e-01 6.515757688332944886e-01 3.090365450364310207e-01 6.055069301044083696e-01 3.843698224566434174e-01 3.529920439807873178e-01 3.317597889766112362e-01
-2.073934837092731964e+00 4.497990925044478283e-01 5.766575920297611901e-01 6.552311320737375100e-01 3.137105542697078420e-01 6.369506273786205153e-01 2.354353831110737871e-01 5.540447809001252111e-01 3.272300656729685286e-01 2.686533279559765175e-01 2.678809429521935570e-01
-2.061403508771929793e+00 2.863944751685503221e-01 4.074168963646617181e-01 6.101439549130298623e-01 1.726009461361277531e-01 5.978197585122682067e-01 1.428674019236698955e-01 4.724942117113610229e-01 2.523384643907522484e-01 1.662203751862656176e-01 1.795024294961463096e-01
-2.048872180451128067e+00 1.026314593921875268e-01 2.173053012561683150e-01 5.474328541846611440e-01 2.857328844744569385e-02 5.373782672314337816e-01 3.466787327877035585e-02 3.683182681105761080e-01 1.595196569412631327e-01 5.901143395729603613e-02 6.429143249695959406e-02
-2.036340852130325896e+00 -8.493304441328897170e-02 1.759603734864760571e-02 4.680853361187106154e-01 -1.101893832910953858e-01 4.590714405389327846e-01 -8.421437441011241087e-02 2.498148420348029752e-01 6.150964253334839649e-02 -5.448446613221723245e-02 -7.013513946948962685e-02
-2.023809523809523725e+00 -2.659936198431182008e-01 -1.754429877823721617e-01 3.819360247310461531e-01 -2.356681270274026962e-01 3.597457423543608535e-01 -2.071842097754539314e-01 1.220335468525427514e-01 -4.084087060404362202e-02 -1.628426681983242974e-01 -2.131535615879903145e-01
-2.011278195488721998e+00 -4.178206854200027243e-01 -3.483213584044025923e-01 2.874596261696822364e-01 -3.415474713906108684e-01 2.518387882809293155e-01 -3.242121991072672849e-01 -5.577162954546577289e-03 -1.398615110612974610e-01 -2.572259009787533635e-01 -3.549480497522126132e-01
