# X sample_0 sample_1 sample_2 sample_3 sample_4 sample_5 sample_6 sample_7 sample_8 sample_9
-2.500000000000000000e+00 -3.641588204525107730e-02 5.862302528244348748e-02 1.751696648439056703e-01 -2.285384241443026432e-01 1.080905244191746828e+00 9.887167891364401218e-02 7.943931671270684225e-01 -1.734266390726375007e-01 -5.130183229583159532e-01 -1.589848185571405004e-01
-2.487468671679197829e+00 5.958337720082490518e-02 1.386534006792236595e-01 5.178654253119600870e-02 -1.849849377039992637e-01 1.005563835293592057e+00 1.189487458239808781e-01 6.411902329755223562e-01 -1.854000871287428687e-01 -6.369152284007989495e-01 -1.723769898263556311e-01
-2.474937343358396102e+00 1.391115108171312453e-01 2.063724779677241772e-01 -8.869000058891385319e-02 -1.336608648002056698e-01 9.281888551603314497e-01 1.524790083006022645e-01 4.743823803470783584e-01 -1.976668701375095261e-01 -7.451957231403230075e-01 -1.889119478115224571e-01
-2.462406015037593932e+00 2.075904828758107223e-01 2.462921937234787417e-01 -2.297209487349790580e-01 -7.476894064979060228e-02 8.554541888235135394e-01 2.006346393794514460e-01 3.049350979772057491e-01 -2.157293493776997750e-01 -8.364329263971099770e-01 -2.042084043511622760e-01
-2.449874686716792205e+00 2.606597112830900675e-01 2.695620417602875851e-01 -3.674536911617131141e-01 -1.218025948646558887e-02 7.950237946802239941e-01 2.594710507963807755e-01 1.440847986375214385e-01 -2.292932964215793623e-01 -9.077149559452541983e-01 -2.129199887049532114e-01
-2.437343358395990034e+00 2.970737000997174526e-01 2.610209788377155227e-01 -4.935157202788230668e-01 5.805888958746052708e-02 7.441587802205338331e-01 3.162422074286982410e-01 -4.589305107905783387e-03 -2.396517680983386578e-01 -9.646384251301458601e-01 -2.168318785155156636e-01
-2.424812030075187863e+00 3.163074888805619267e-01 2.303796310811599968e-01 -5.943659455288436977e-01 1.226816920024396129e-01 7.037771194608689607e-01 3.756616900075122611e-01 -1.315145984624395137e-01 -2.466170924956451460e-01 -1.007568958740629572e+00 -2.148372426638147092e-01
-2.412280701754386136e+00 3.206931602095359213e-01 1.788945175417882560e-01 -6.733698876009401868e-01 1.825267239096763361e-01 6.671111684055153201e-01 4.305754300560499237e-01 -2.349933679619221061e-01 -2.470097709538686126e-01 -1.037225375879486267e+00 -2.070515624716586789e-01
-2.399749373433583965e+00 3.142093477069402563e-01 1.164651261887395539e-01 -7.289985562597049995e-01 2.330419742517914061e-01 6.351207855860931950e-01 4.718514461821153305e-01 -3.093614333255365612e-01 -2.435852839567529127e-01 -1.051517847594873656e+00 -1.987818637059341753e-01
-2.387218045112781795e+00 2.946761084279809761e-01 4.696018939913540469e-02 -7.547495162196513618e-01 2.699357825286975432e-01 6.007444952405421867e-01 4.995048574490357218e-01 -3.571027182410899115e-01 -2.316823983601745685e-01 -1.054183546697062157e+00 -1.954036917740727408e-01
