# X mu var std 2std fstd 2fstd
0.000000000000000000e+00 6.697232727924165019e-01 3.643903501426237757e-03 1.695402238519701510e-01 3.390804477039403020e-01 6.036475380075891073e-02 1.207295076015178215e-01
3.344481605351170509e-03 7.366710962091207460e-01 2.554130477197158466e-03 1.597138760133818280e-01 3.194277520267636561e-01 5.053840596217057390e-02 1.010768119243411478e-01
6.688963210702341018e-03 7.904798086035719207e-01 1.852675442068518752e-03 1.522181865322666527e-01 3.044363730645333055e-01 4.304271648105540554e-02 8.608543296211081108e-02
1.003344481605351196e-02 8.304776637788576776e-01 1.431020822816986282e-03 1.470043059150993592e-01 2.940086118301987184e-01 3.782883586388809810e-02 7.565767172777619620e-02
1.337792642140468204e-02 8.562568598063414749e-01 1.199900813541376898e-03 1.438150545397898772e-01 2.876301090795797544e-01 3.463958448857862304e-02 6.927916897715724609e-02
1.672240802675585211e-02 8.676796047391174271e-01 1.089268132052900739e-03 1.421795324080318279e-01 2.843590648160636558e-01 3.300406235682057376e-02 6.600812471364114753e-02
2.006688963210702392e-02 8.648768444062451266e-01 1.047100638968068154e-03 1.415344045047446098e-01 2.830688090094892195e-01 3.235893445353335562e-02 6.471786890706671125e-02
2.341137123745819226e-02 8.482397162822397085e-01 1.037324481338974813e-03 1.413829921747614404e-01 2.827659843495228809e-01 3.220752212355018629e-02 6.441504424710037258e-02
2.675585284280936407e-02 8.184040472961034984e-01 1.037163811058283702e-03 1.413804977807177621e-01 2.827609955614355242e-01 3.220502772950651488e-02 6.441005545901302975e-02
3.010033444816053588e-02 7.762284567588975115e-01 1.034228074213383586e-03 1.413348866226197542e-01 2.826697732452395084e-01 3.215941657140850007e-02 6.431883314281700015e-02
3.344481605351170422e-02 7.227668481127359490e-01 1.023619698475419781e-03 1.411695272880704177e-01 2.823390545761408355e-01 3.199405723685915665e-02 6.398811447371831329e-02
3.678929765886287256e-02 6.592362655016976714e-01 1.005293905041559910e-03 1.408818401531570230e-01 2.817636803063140460e-01 3.170637010194576194e-02 6.341274020389152388e-02
4.013377926421404784e-02 5.869812450535379922e-01 9.818364325800965631e-04 1.405097393514533888e-01 2.810194787029067776e-01 3.133426930024213464e-02 6.266853860048426927e-02
