# X mu var std 2std fstd 2fstd
0.000000000000000000e+00 9.762519442580831486e-01 7.769035468510621101e-02 3.787298955711536630e-01 7.574597911423073260e-01 2.787298955711536297e-01 5.574597911423072594e-01
3.344481605351170509e-03 9.906751265295238307e-01 6.054990361131046273e-02 3.460689001302490464e-01 6.921378002604980928e-01 2.460689001302490131e-01 4.921378002604980262e-01
6.688963210702341018e-03 1.001446066775464994e+00 4.554681410010313902e-02 3.134169958089166319e-01 6.268339916178332638e-01 2.134169958089166264e-01 4.268339916178332527e-01
1.003344481605351196e-02 1.008336762554574495e+00 3.293333625498701123e-02 2.814754425672714166e-01 5.629508851345428333e-01 1.814754425672713833e-01 3.629508851345427667e-01
1.337792642140468204e-02 1.011144511660716505e+00 2.291977895374675001e-02 2.513927969017903941e-01 5.027855938035807881e-01 1.513927969017903885e-01 3.027855938035807770e-01
1.672240802675585211e-02 1.009694875584287388e+00 1.566691564618599708e-02 2.251675502923421446e-01 4.503351005846842892e-01 1.251675502923421390e-01 2.503351005846842781e-01
2.006688963210702392e-02 1.003844359937323905e+00 1.127961143224870399e-02 2.062055150745417120e-01 4.124110301490834241e-01 1.062055150745416926e-01 2.124110301490833852e-01
2.341137123745819226e-02 9.934827718055542212e-01 9.801946637996272749e-03 1.990047808845425148e-01 3.980095617690850296e-01 9.900478088454250924e-02 1.980095617690850185e-01
2.675585284280936407e-02 9.785352193988867686e-01 1.121405995617696938e-02 2.058964586573931166e-01 4.117929173147862332e-01 1.058964586573931110e-01 2.117929173147862221e-01
3.010033444816053588e-02 9.589637251743641233e-01 1.543087123876107913e-02 2.242210579521889402e-01 4.484421159043778804e-01 1.242210579521889208e-01 2.484421159043778415e-01
3.344481605351170422e-02 9.347684296236380419e-01 2.230277335351488199e-02 2.493411308163792084e-01 4.986822616327584168e-01 1.493411308163792028e-01 2.986822616327584057e-01
3.678929765886287256e-02 9.059883689807971541e-01 3.161830767189122149e-02 2.778153752404195487e-01 5.556307504808390973e-01 1.778153752404195709e-01 3.556307504808391418e-01
4.013377926421404784e-02 8.727018160629715915e-01 4.310876242224481736e-02 3.076264973991634233e-01 6.152529947983268466e-01 2.076264973991634177e-01 4.152529947983268355e-01
4.347826086956521618e-02 8.350261791774767905e-01 5.645456091267903043e-02 3.376016854163266245e-01 6.752033708326532491e-01 2.376016854163265912e-01 4.752033708326531825e-01
4.682274247491638453e-02 7.931174594176572112e-01 7.129324077785670344e-02 3.670079414134655993e-01 7.340158828269311986e-01 2.670079414134656215e-01 5.340158828269312430e-01
