# X mu var std 2std fstd 2fstd
0.000000000000000000e+00 6.697389005436534815e-01 3.644039978536850466e-03 1.695424465131580571e-01 3.390848930263161143e-01 6.036588422724254582e-02 1.207317684544850916e-01
3.344481605351170509e-03 7.366807841490360387e-01 2.554301032501260504e-03 1.597166556030163442e-01 3.194333112060326885e-01 5.054009331710083291e-02 1.010801866342016658e-01
6.688963210702341018e-03 7.904841260439600115e-01 1.852831292279311093e-03 1.522210891421757750e-01 3.044421782843515500e-01 4.304452685626026370e-02 8.608905371252052741e-02
1.003344481605351196e-02 8.304773407459190571e-01 1.431139315115459443e-03 1.470069642810762356e-01 2.940139285621524712e-01 3.783040199516071039e-02 7.566080399032142079e-02
1.337792642140468204e-02 8.562527506307247016e-01 1.199979870890988121e-03 1.438172878974119939e-01 2.876345757948239878e-01 3.464072561149648261e-02 6.928145122299296521e-02
1.672240802675585211e-02 8.676726453711798293e-01 1.089318979926812148e-03 1.421813949612497630e-01 2.843627899224995259e-01 3.300483267533425857e-02 6.600966535066851715e-02
2.006688963210702392e-02 8.648680058832353135e-01 1.047140252119604931e-03 1.415361088235233267e-01 2.830722176470466533e-01 3.235954653760780148e-02 6.471909307521560295e-02
2.341137123745819226e-02 8.482299570615405848e-01 1.037369069632476659e-03 1.413847766051303800e-01 2.827695532102607601e-01 3.220821431921485484e-02 6.441642863842970967e-02
2.675585284280936407e-02 8.183942672661401740e-01 1.037224306762396520e-03 1.413825292293624525e-01 2.827650584587249050e-01 3.220596694344693423e-02 6.441193388689386845e-02
3.010033444816053588e-02 7.762194556371682097e-01 1.034308076455381364e-03 1.413372226717872771e-01 2.826744453435745541e-01 3.216066038587176573e-02 6.432132077174353146e-02
3.344481605351170422e-02 7.227592906470224898e-01 1.023715787007883904e-03 1.411721211497310446e-01 2.823442422994620893e-01 3.199555886381551945e-02 6.399111772763103889e-02
3.678929765886287256e-02 6.592306554281449626e-01 1.005397769337723624e-03 1.408845702545300504e-01 2.817691405090601009e-01 3.170800796861454607e-02 6.341601593722909214e-02
4.013377926421404784e-02 5.869779091695624951e-01 9.819379642445613676e-04 1.405124516820147051e-01 2.810249033640294103e-01 3.133588939609918689e-02 6.267177879219837378e-02
4.347826086956521618e-02 5.074349827521044132e-01 9.568434832344374641e-04 1.401094490447428731e-01 2.802188980894857462e-01 3.093288675882736871e-02 6.186577351765473742e-02
4.682274247491638453e-02 4.220865062631016240e-01 9.333697708349686373e-04 1.397276632617391046e-01 2.794553265234782091e-01 3.055110097582358283e-02 6.110220195164716567e-02
5.016722408026755980e-02 3.324292737895979677e-01 9.138467644713155202e-04 1.394064608049531695e-01 2.788129216099063390e-01 3.022989851903766512e-02 6.045979703807533023e-02
