# Z qmu qsqrt 2qsqrt
5.352139776462163656e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.367096973977323271e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.302111172330420452e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.662686720728846046e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.118620016131335770e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.084906534307344517e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.985267143143152446e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.843459695823267019e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.973564993815674851e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.627877917045179923e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.730709016950060963e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.048930188596163049e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.040640655099674128e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.973911843516132442e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.454343066694688380e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.331646574509092296e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.340717287914514610e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.302122966431264184e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.969687261532609979e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.730708768675002673e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.352139787221704692e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.663040617691316947e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.909743141575096642e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.605607948778094984e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.994604265090389350e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.834350906900067413e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.307658619037875725e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.917675396126866313e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
