# X mu var std 2std fstd 2fstd
0.000000000000000000e+00 1.079787507422134585e+00 2.822666613063073981e-03 1.831230253209588654e-01 3.662460506419177309e-01 5.312877387125618245e-02 1.062575477425123649e-01
3.344481605351170509e-03 1.030370078426635194e+00 2.352399103016988846e-03 1.784957885698495728e-01 3.569915771396991455e-01 4.850153712014691060e-02 9.700307424029382120e-02
6.688963210702341018e-03 9.787975619916167158e-01 1.963229661817056382e-03 1.743025989907366902e-01 3.486051979814733803e-01 4.430834754103402801e-02 8.861669508206805601e-02
1.003344481605351196e-02 9.252048729039215047e-01 1.646216818787182845e-03 1.705678490075626663e-01 3.411356980151253326e-01 4.057359755785999722e-02 8.114719511571999444e-02
1.337792642140468204e-02 8.697342488144368389e-01 1.392713420961699811e-03 1.673133272817982353e-01 3.346266545635964706e-01 3.731907583209557316e-02 7.463815166419114633e-02
1.672240802675585211e-02 8.125347792163596372e-01 1.194426331743825287e-03 1.645547249959928848e-01 3.291094499919857697e-01 3.456047354629020879e-02 6.912094709258041758e-02
2.006688963210702392e-02 7.537619023287998044e-01 1.043472496409902917e-03 1.622970763479976153e-01 3.245941526959952306e-01 3.230282489829493231e-02 6.460564979658986462e-02
2.341137123745819226e-02 6.935768719482423572e-01 9.324302357232028271e-04 1.605299721014770975e-01 3.210599442029541950e-01 3.053572065177442146e-02 6.107144130354884293e-02
2.675585284280936407e-02 6.321461965020757079e-01 8.543847161088802267e-04 1.592241114580721928e-01 3.184482229161443856e-01 2.922986000836952716e-02 5.845972001673905433e-02
3.010033444816053588e-02 5.696410527002085944e-01 8.029666577606953126e-04 1.583309177631682663e-01 3.166618355263365325e-01 2.833666631346558676e-02 5.667333262693117352e-02
3.344481605351170422e-02 5.062366763303338679e-01 7.723834782846772384e-04 1.577860394145795819e-01 3.155720788291591639e-01 2.779178796487691283e-02 5.558357592975382566e-02
3.678929765886287256e-02 4.421117328790072909e-01 7.574422259057911333e-04 1.575159197477145334e-01 3.150318394954290668e-01 2.752166829801186085e-02 5.504333659602372170e-02
4.013377926421404784e-02 3.774476707841669110e-01 7.535638292208712841e-04 1.574453685348209120e-01 3.148907370696418240e-01 2.745111708511825330e-02 5.490223417023650659e-02
4.347826086956521618e-02 3.124280602325102962e-01 7.567883760042359853e-04 1.575040383628039109e-01 3.150080767256078218e-01 2.750978691310123486e-02 5.501957382620246972e-02
4.682274247491638453e-02 2.472379205087209542e-01 7.637713271126944647e-04 1.576306645149449515e-01 3.152613290298899029e-01 2.763641306524228583e-02 5.527282613048457166e-02
5.016722408026755980e-02 1.820630389800614590e-01 7.717707685956920471e-04 1.577750140129530187e-01 3.155500280259060375e-01 2.778076256325034965e-02 5.556152512650069930e-02
5.351170568561872815e-02 1.170892848599295599e-01 7.786260008253442777e-04 1.578981221637334453e-01 3.157962443274668907e-01 2.790387071403077276e-02 5.580774142806154553e-02
5.685618729096989649e-02 5.250192093750569861e-02 7.827279530450148570e-04 1.579715271041514935e-01 3.159430542083029869e-01 2.797727565444882436e-02 5.595455130889764872e-02
6.020066889632107177e-02 -1.151508351479263101e-02 7.829820906068984954e-04 1.579760685923919383e-01 3.159521371847838767e-01 2.798181714268925882e-02 5.596363428537851764e-02
6.354515050167224011e-02 -7.477973543574983895e-02 7.787646458079500178e-04 1.579006063855940556e-01 3.158012127711881112e-01 2.790635493589139343e-02 5.581270987178278686e-02
6.688963210702340845e-02 -1.371126930627362128e-01 7.698731476135645124e-04 1.577408394852353457e-01 3.154816789704706914e-01 2.774658803553266620e-02 5.549317607106533240e-02
7.023411371237457679e-02 -1.983379302307127223e-01 7.564723470259160365e-04 1.574982938257956100e-01 3.149965876515912200e-01 2.750404237609293742e-02 5.500808475218587484e-02
7.357859531772574513e-02 -2.582833867484738422e-01 7.390367303652389808e-04 1.571794814536080775e-01 3.143589629072161551e-01 2.718523000390541192e-02 5.437046000781082383e-02
7.692307692307692735e-02 -3.167816017816048046e-01 7.182908798004650208e-04 1.567952006829008149e-01 3.135904013658016298e-01 2.680094923319815969e-02 5.360189846639631939e-02
8.026755852842809569e-02 -3.736703272534448450e-01 6.951489773789898408e-04 1.563599294682742613e-01 3.127198589365485226e-01 2.636567801857160262e-02 5.273135603714320524e-02
8.361204013377926403e-02 -4.287931183738826202e-01 6.706547545967112001e-04 1.558912542607754359e-01 3.117825085215508718e-01 2.589700281107277374e-02 5.179400562214554748e-02
8.695652173913043237e-02 -4.819998985210622866e-01 6.459231639539542158e-04 1.554092699221325813e-01 3.108185398442651626e-01 2.541501847242992260e-02 5.083003694485984519e-02
9.030100334448160071e-02 -5.331474958324523561e-01 6.220849925870908237e-04 1.549358831643097012e-01 3.098717663286194024e-01 2.494163171460702169e-02 4.988326342921404338e-02
9.364548494983276905e-02 -5.821001490073143270e-01 6.002355523870850362e-04 1.544939565986852836e-01 3.089879131973705673e-01 2.449970514898261106e-02 4.899941029796522213e-02
9.698996655518395127e-02 -6.287299799839715098e-01 5.813884679555236801e-04 1.541062498728015540e-01 3.082124997456031079e-01 2.411199842309889527e-02 4.822399684619779053e-02
1.003344481605351196e-01 -6.729174313284960185e-01 5.664354464069987216e-04 1.537941557857918917e-01 3.075883115715837834e-01 2.379990433608922609e-02 4.759980867217845218e-02
1.036789297658862880e-01 -7.145516663580505634e-01 5.561127546067634597e-04 1.535762945038310345e-01 3.071525890076620691e-01 2.358204305412835503e-02 4.716408610825671005e-02
