# X mu var std 2std fstd 2fstd
0.000000000000000000e+00 6.920856304214498822e-01 3.250736888109607720e-03 1.616046946353716374e-01 3.232093892707432747e-01 5.701523382491391345e-02 1.140304676498278269e-01
3.344481605351170509e-03 7.503694741281606850e-01 2.302041720077490153e-03 1.525690577249534663e-01 3.051381154499069326e-01 4.797959691449574932e-02 9.595919382899149863e-02
6.688963210702341018e-03 7.964291369767553253e-01 1.673908171557169722e-03 1.455028836880069565e-01 2.910057673760139130e-01 4.091342287754923951e-02 8.182684575509847902e-02
1.003344481605351196e-02 8.297906176269268519e-01 1.285489918567492588e-03 1.404431903036010010e-01 2.808863806072020020e-01 3.585372949314328400e-02 7.170745898628656800e-02
1.337792642140468204e-02 8.501890595848219379e-01 1.066509435966371717e-03 1.372469168651838933e-01 2.744938337303677867e-01 3.265745605472618329e-02 6.531491210945236658e-02
1.672240802675585211e-02 8.575713148453687484e-01 9.586082880389445917e-04 1.355508607794343179e-01 2.711017215588686358e-01 3.096139996897660784e-02 6.192279993795321569e-02
2.006688963210702392e-02 8.520936248653959710e-01 9.159451911044806964e-04 1.348540472293149883e-01 2.697080944586299767e-01 3.026458641885728176e-02 6.052917283771456353e-02
2.341137123745819226e-02 8.341145132217575586e-01 9.050056019604551822e-04 1.346727718310294919e-01 2.693455436620589838e-01 3.008331102057177492e-02 6.016662204114354984e-02
2.675585284280936407e-02 8.041831255417205560e-01 9.036563534110664394e-04 1.346503382662317949e-01 2.693006765324635898e-01 3.006087745577408141e-02 6.012175491154816281e-02
3.010033444816053588e-02 7.630233857770445383e-01 8.995507086552925876e-04 1.345819716865963023e-01 2.691639433731926045e-01 2.999251087613860611e-02 5.998502175227721223e-02
3.344481605351170422e-02 7.115144589103593598e-01 8.880539963276173898e-04 1.343896956472440951e-01 2.687793912944881902e-01 2.980023483678639548e-02 5.960046967357279096e-02
3.678929765886287256e-02 6.506681144416111007e-01 8.699087318867623157e-04 1.340836760379690573e-01 2.681673520759381146e-01 2.949421522751134728e-02 5.898843045502269455e-02
4.013377926421404784e-02 5.816036688743738692e-01 8.488833503816864846e-04 1.337250636080949406e-01 2.674501272161898813e-01 2.913560279763723060e-02 5.827120559527446120e-02
4.347826086956521618e-02 5.055212460580426059e-01 8.296456237774645255e-04 1.333930304464848449e-01 2.667860608929696897e-01 2.880356963602713830e-02 5.760713927205427659e-02
4.682274247491638453e-02 4.236741296781267319e-01 8.160694007329113682e-04 1.331563892546029082e-01 2.663127785092058164e-01 2.856692844414518775e-02 5.713385688829037551e-02
5.016722408026755980e-02 3.373409914618104577e-01 8.101244264349403762e-04 1.330521456176739781e-01 2.661042912353479561e-01 2.846268480721627844e-02 5.692536961443255689e-02
5.351170568561872815e-02 2.477987618041097018e-01 8.114204960335866896e-04 1.330749043919360608e-01 2.661498087838721216e-01 2.848544358147836117e-02 5.697088716295672234e-02
5.685618729096989649e-02 1.562968675581550004e-01 8.173890095596042646e-04 1.331794767174068472e-01 2.663589534348136945e-01 2.859001590694913025e-02 5.718003181389826051e-02
6.020066889632107177e-02 6.403349664771290639e-02 8.239989140459745912e-04 1.332948420837655745e-01 2.665896841675311491e-01 2.870538127330787836e-02 5.741076254661575673e-02
6.354515050167224011e-02 -2.786553620902389866e-02 8.268320415233872686e-04 1.333441481070253287e-01 2.666882962140506574e-01 2.875468729656761868e-02 5.750937459313523736e-02
6.688963210702340845e-02 -1.183648504900577519e-01 8.222954504656905875e-04 1.332651552303961706e-01 2.665303104607923412e-01 2.867569441993847446e-02 5.735138883987694891e-02
7.023411371237457679e-02 -2.065341301216862824e-01 8.087328872305191369e-04 1.330276901370265330e-01 2.660553802740530660e-01 2.843822932656882296e-02 5.687645865313764593e-02
7.357859531772574513e-02 -2.915590883805615485e-01 7.872168840915951590e-04 1.326468463638480200e-01 2.652936927276960399e-01 2.805738555339030646e-02 5.611477110678061292e-02
7.692307692307692735e-02 -3.727486590862207350e-01 7.618553098927327615e-04 1.321911873849445362e-01 2.643823747698890725e-01 2.760172657448683661e-02 5.520345314897367323e-02
8.026755852842809569e-02 -4.495384306973939093e-01 7.395245180894968436e-04 1.317836608922673680e-01 2.635673217845347360e-01 2.719420008180966492e-02 5.438840016361932983e-02
8.361204013377926403e-02 -5.214904591242303100e-01 7.290346739036747663e-04 1.315901029121499255e-01 2.631802058242998510e-01 2.700064210169222587e-02 5.400128420338445173e-02
8.695652173913043237e-02 -5.882897043563676265e-01 7.398278787786826110e-04 1.317892379929767321e-01 2.635784759859534643e-01 2.719977718251902557e-02 5.439955436503805114e-02
9.030100334448160071e-02 -6.497374317948928502e-01 7.803921549543056582e-04 1.325249607156734066e-01 2.650499214313468133e-01 2.793549990521568618e-02 5.587099981043137237e-02
9.364548494983276905e-02 -7.057419985165958032e-01 8.566314072062791718e-04 1.338577270250164153e-01 2.677154540500328306e-01 2.926826621455871566e-02 5.853653242911743132e-02
9.698996655518395127e-02 -7.563075054042005529e-01 9.704536781872765468e-04 1.357415663281795748e-01 2.714831326563591496e-01 3.115210551772185782e-02 6.230421103544371564e-02
1.003344481605351196e-01 -8.015208367712883808e-01 1.118822739431441209e-03 1.380382685535065102e-01 2.760765371070130203e-01 3.344880774304880011e-02 6.689761548609760022e-02
1.036789297658862880e-01 -8.415376292529720414e-01 1.293462382662015787e-03 1.405541988556877342e-01 2.811083977113754684e-01 3.596473804523002415e-02 7.192947609046004831e-02
