# Z qmu qsqrt 2qsqrt
1.544701612502198951e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.901497296934482439e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.436305671202758871e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.999698326108014124e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.018941358570698813e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.064527065329557487e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.885501962352770011e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.245410706920229538e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.245290084005783837e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.018928772775106989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.245330230094512214e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.600653811778699365e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.600591617291366897e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.245384731549931789e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.901432034728807841e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.544743005674362180e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
8.245340050197905168e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.192114108353768298e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.064531978950730207e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.766021948613225812e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.600646161968725001e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.901486601561577339e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.192113935802055380e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.134424437061920754e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.600351498110593074e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
6.436178377805604756e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.544655699996642095e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.018935110663256011e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.018939160551615750e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.885391920129905530e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.702844017527523679e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.299729717601609380e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.954511040584234083e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
